,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,BGL,HDFS,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,18.0,112.0,6.0,46.0,100.0,68.0,34.0,43.0,328.0,24.0,33.0,105.0,14.0,71.615
ground_templates,8.0,118.0,6.0,50.0,114.0,75.0,43.0,46.0,341.0,26.0,36.0,120.0,14.0,76.692
GA,0.526,0.69,1.0,0.967,0.956,0.642,0.807,0.889,0.833,0.789,0.922,0.966,1.0,0.845
PA,0.0,0.179,0.978,0.504,0.379,0.187,0.112,0.648,0.335,0.413,0.379,0.423,0.443,0.383
FGA,0.538,0.93,1.0,0.854,0.841,0.895,0.675,0.809,0.918,0.88,0.87,0.827,1.0,0.849
PTA,0.0,0.554,0.667,0.565,0.45,0.412,0.265,0.442,0.335,0.458,0.636,0.352,0.286,0.417
RTA,0.0,0.525,0.667,0.52,0.395,0.373,0.209,0.413,0.323,0.423,0.583,0.308,0.286,0.387
FTA,0.0,0.539,0.667,0.542,0.421,0.392,0.234,0.427,0.329,0.44,0.609,0.329,0.286,0.401
