,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,BGL,HDFS,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,16.0,335.0,29.0,76.0,241.0,480.0,41.0,229.0,695.0,40.0,249.0,294.0,45.0,213.077
ground_templates,11.0,338.0,29.0,89.0,236.0,156.0,48.0,74.0,626.0,38.0,236.0,320.0,46.0,172.846
GA,0.692,0.778,1.0,0.993,0.922,0.862,0.821,0.792,0.941,0.707,0.888,0.923,1.0,0.871
PA,0.521,0.114,0.256,0.82,0.587,0.342,0.141,0.734,0.332,0.033,0.419,0.414,0.915,0.433
FGA,0.519,0.749,1.0,0.885,0.91,0.45,0.697,0.389,0.871,0.872,0.878,0.73,0.967,0.763
PTA,0.438,0.325,0.276,0.697,0.548,0.133,0.341,0.122,0.281,0.15,0.406,0.279,0.556,0.35
RTA,0.636,0.322,0.276,0.596,0.559,0.41,0.292,0.378,0.312,0.158,0.428,0.256,0.543,0.397
FTA,0.519,0.324,0.276,0.642,0.553,0.201,0.315,0.185,0.295,0.154,0.416,0.267,0.549,0.361
