,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,BGL,HDFS,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,57.0,441.0,29.0,77.0,322.0,27997.0,7221.0,321.0,3928.0,40.0,259.0,414.0,46.0,3165.538
ground_templates,11.0,338.0,29.0,89.0,236.0,156.0,48.0,74.0,626.0,38.0,236.0,320.0,46.0,172.846
GA,0.692,0.686,1.0,0.994,0.921,0.862,0.752,0.793,0.761,0.707,0.888,0.919,0.999,0.844
PA,0.688,0.111,0.727,0.843,0.541,0.312,0.029,0.721,0.357,0.586,0.394,0.407,0.621,0.487
FGA,0.206,0.778,1.0,0.904,0.785,0.01,0.007,0.309,0.229,0.872,0.861,0.624,0.935,0.578
PTA,0.105,0.229,0.517,0.662,0.332,0.002,0.001,0.093,0.04,0.475,0.394,0.171,0.609,0.279
RTA,0.545,0.299,0.517,0.573,0.453,0.353,0.146,0.405,0.251,0.5,0.432,0.222,0.609,0.408
FTA,0.176,0.259,0.517,0.614,0.384,0.004,0.002,0.152,0.069,0.487,0.412,0.193,0.609,0.298
