,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,439.0,162.0,6.0,57.0,136.0,72.0,60.0,49.0,357.0,83.0,50.0,180.0,121.0,14.0,127.571
ground_templates,8.0,118.0,6.0,50.0,114.0,75.0,43.0,46.0,341.0,26.0,36.0,149.0,120.0,14.0,81.857
GA,0.526,0.243,1.0,0.995,0.814,0.741,0.534,0.98,0.874,0.647,0.925,0.957,0.97,1.0,0.8
PA,0.526,0.271,0.994,0.993,0.822,0.772,0.526,0.951,0.712,0.43,0.773,0.895,0.968,0.943,0.755
FGA,0.031,0.786,1.0,0.916,0.824,0.939,0.816,0.926,0.914,0.349,0.791,0.821,0.913,1.0,0.788
PTA,0.0,0.444,0.667,0.561,0.456,0.486,0.15,0.469,0.342,0.145,0.42,0.383,0.306,0.286,0.365
RTA,0.0,0.61,0.667,0.64,0.544,0.467,0.209,0.5,0.358,0.462,0.583,0.463,0.308,0.286,0.435
FTA,0.0,0.514,0.667,0.598,0.496,0.476,0.175,0.484,0.35,0.22,0.488,0.419,0.307,0.286,0.391
