,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0
identified_templates,27.0,723.0,63.0,119.0,1462.0,180.0,48.0,125.0,874.0,4497.0,400621.0,,621.0,47.0,31492.846
ground_templates,11.0,338.0,29.0,89.0,236.0,156.0,48.0,74.0,626.0,38.0,236.0,,320.0,46.0,172.846
GA,0.496,0.268,0.544,0.982,0.634,0.446,1.0,0.789,0.855,0.438,0.827,,0.483,1.0,0.674
PA,0.626,0.162,0.924,0.994,0.744,0.927,0.516,0.949,0.674,0.494,0.784,,0.944,0.948,0.745
FGA,0.263,0.402,0.435,0.663,0.221,0.756,1.0,0.663,0.708,0.009,0.001,,0.525,0.968,0.509
PTA,0.259,0.177,0.143,0.496,0.094,0.394,0.292,0.288,0.225,0.003,0.0,,0.143,0.574,0.238
RTA,0.636,0.379,0.31,0.663,0.581,0.455,0.292,0.486,0.315,0.342,0.462,,0.278,0.587,0.445
FTA,0.368,0.241,0.196,0.567,0.161,0.423,0.292,0.362,0.263,0.006,0.001,,0.189,0.581,0.281
