EventId,EventTemplate,Occurrences
070de4aa,generating <*>,721
1b700d02,iar <*> dear <*>,208
1ae4a1e2,<*> floating point alignment exceptions,121
6265c739,<*> double-hummer alignment exceptions,109
cb2160e4,CE sym <*> at <*> mask <*>,92
125fee2b,"<*> total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",70
38a7307d,data TLB error interrupt,60
92420707,0 microseconds spent in the rbs signal handler during 0 calls. 0 microseconds was the maximum time for a single instance of a correctable ddr.,50
3aa50e45,instruction cache parity error corrected,42
e3703b8d,"idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",34
d2c9db9b,data storage interrupt,30
11b69b8b,ciod: generated <*> core files for program <*>,30
a31b789f,instruction address: <*>,21
57138c88,"ciod: Error loading <*> invalid or missing program image, No such file or directory",21
cc8ff6de,program interrupt: <*> <*>,20
7c363edf,"ciod: Error loading <*> invalid or missing program image, Permission denied",19
4983ff07,ciod: LOGIN <*> failed: No such file or directory,18
c65da9e1,"ciod: Error loading <*> invalid or missing program image, Exec format error",17
d3e73bc3,"<*> ddr errors(s) detected and corrected on rank 0, symbol <*> bit <*>",17
b0de29a2,"ciod: Received signal 15, code=0, errno=0, <*>",15
147cfcff,total of <*> ddr error(s) detected and corrected,13
ad69fd32,ciod: Error reading message prefix on CioStream socket to <*> <*> <*> <*> <*>,11
9851467f,data store interrupt caused by <*>,10
f9d6f989,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to <*> Link has been severed,9
19083ffd,Node card VPD check: <*> node in processor card slot <*> do not match. VPD ecid <*> found <*>,9
f80a5ed5,Lustre mount FAILED : <*> : point /p/gb1,8
ac8a6999,data address: 0x00000002,7
9d143d9b,"Kernel detected <*> integer alignment exceptions <*> iar 0x00544ea8, dear <*> <*> iar 0x00544eb8, dear <*> <*> iar 0x00544ea8, dear <*> <*> iar 0x00544eb8, dear <*> <*> iar 0x00544ee0, dear <*> <*> iar 0x00544ef0, dear <*> <*> iar 0x00544ee0, dear <*> <*> iar 0x00544ef0, dear <*>",7
cce08081,exception syndrome register: <*>,6
a2335b6b,Node card is not fully functional,6
e19f7ea0,core configuration register: 0x00002000,6
71fcff11,"<*> ddr error(s) detected and corrected on rank 0, symbol <*> over <*> seconds",6
f3eed4bf,data cache search parity error detected. attempting to correct,6
9d5d6232,Can not get assembly information for node card,6
5a695884,MACHINE CHECK DCR read timeout (mc=e08x iar 0x00000000 lr 0xc00045a4),6
130bb340,rts: kernel terminated for reason <*>,6
f28dcd0f,auxiliary processor.........................0,4
ed0daeee,"Error receiving packet on tree network, expecting type 57 instead of type 3 <*> <*> 00000002 00000000) <*> PSR1=00000000 PRXF=00000002 PIXF=00000007",4
74814646,machine check: i-fetch......................0,4
5ceb0a30,Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The 2.5 volt rail is OK. The 1.5 volt rail is OK.,4
8df7ac9e,total of <*> ddr error(s) detected and corrected over <*> seconds,4
ae9a7a4f,data address space................0,4
23b2adc8,floating pt ex mode <*> enable......0,4
ff52c40c,<*>,3
d6e5f01c,<*> torus receiver <*> input pipe error(s) (dcr <*> detected and corrected,3
2355b700,ciod: pollControlDescriptors: Detected the debugger died.,3
df88d884,program interrupt: fp cr field .............0,3
150b1306,ciod: failed to read message prefix on control stream (CioStream socket to <*>,3
4a855bbd,floating point instr. enabled.....1,3
4f884f50,machine state register: 0x00002000,3
3777cdd1,icache prefetch <*>,3
0d02c0e2,program interrupt,3
825e06cc,"critical input interrupt (unit=0x0b <*> warning for <*> <*> wire, suppressing further interrupts of same type",2
220716fc,rts panic! - stopping execution,2
afd081b3,<*> tree receiver 2 in re-synch state event(s) (dcr 0x019a) detected,2
ea3efa0b,suppressing further interrupts of same type,2
4496b375,ciod: Error creating node map from file <*> <*> <*> <*>,2
cec4c1e9,New ido chip inserted into the database: <*> <*> <*> <*>,2
55addd29,guaranteed <*> cache block <*>,2
4e762dc7,Kernel detected <*> integer alignment exceptions <*> iar <*> dear <*> iar <*> dear <*> iar <*> dear <*> iar <*> dear <*> iar <*> dear <*> iar <*> dear <*> iar <*> dear <*> iar <*> dear <*>,2
228fcad4,disable store gathering..................0,2
