low_row_index,mapped_drain_index,drain_eventid,uni_row_index,uni_eventid_original,uni_eventtemplate,drain_LineId
0,0,3aa50e45,0,45,instruction cache parity error corrected,1
1,4,6265c739,1,22,<*> double-hummer alignment exceptions,5
2,7,cb2160e4,2,64,CE sym <*> at <*> mask <*>,8
3,8,150b1306,3,50,ciod: failed to read message prefix on control stream (CioStream socket to <*>,9
4,11,070de4aa,4,27,generating <*>,12
5,31,9f7cd7e7,5,54,force load/store <*>,32
6,68,a553aad2,6,76,ciod: cpu <*> at treeaddr <*> sent unrecognized message <*>,69
7,84,4983ff07,7,41,ciod: LOGIN <*> failed: No such file or directory,85
8,88,d3e73bc3,8,79,<*> ddr errors(s) detected and corrected on rank <*> symbol <*> bit <*>,89
9,103,38a7307d,9,89,data TLB error interrupt,104
10,164,473b1afe,10,2,ciod: Message code <*> is not <*> or <*>,165
11,165,d2c9db9b,11,11,data storage interrupt,166
12,173,a31b789f,12,48,instruction address: <*>,174
13,204,ac8a6999,13,63,data address: <*>,205
14,206,74814646,14,32,machine check: <*>,207
15,208,cc8ff6de,15,0,program interrupt: illegal <*>,209
16,231,cce08081,16,99,exception syndrome register: <*>,232
17,240,9851467f,17,8,data store interrupt caused by <*>,241
18,249,40c9c002,18,42,store <*>,250
19,251,4f884f50,19,100,machine state register: <*>,252
20,253,6a308701,20,20,problem state <*>,254
21,256,4a855bbd,21,92,floating point instr. <*>,257
22,259,f28dcd0f,22,35,auxiliary <*>,260
23,260,511c1d0d,23,47,machine check <*>,261
24,262,23b2adc8,24,4,floating pt ex mode <*>,263
25,264,2ec4bdb1,25,80,debug interrupt <*>,265
26,266,3971a417,26,10,byte ordering <*>,267
27,268,ae9a7a4f,27,14,data address <*>,269
28,271,e19f7ea0,28,1,core configuration register: <*>,272
29,273,39f84cff,29,75,program interrupt: fp cr <*>,274
30,274,55addd29,30,91,guaranteed instruction cache block <*>,275
31,276,df88d884,31,85,program interrupt: fp cr field <*>,277
32,282,3777cdd1,32,58,icache prefetch <*>,283
33,288,198c56f7,33,98,wait state <*>,289
34,289,1c2a9320,34,12,critical input interrupt <*>,290
35,293,f7c382bd,35,78,special purpose registers:,294
36,294,d7cb53a5,36,66,<*>,295
37,295,af999985,37,25,rts internal error,296
38,298,fe410cc8,38,7,debug wait <*>,299
39,300,940724cb,39,59,instruction address <*>,301
40,310,228fcad4,40,70,disable store <*>,311
41,314,147cfcff,41,95,total of <*> ddr error(s) detected and corrected,315
42,361,57138c88,42,74,"ciod: Error loading <*> invalid or missing program image, No such file or directory",362
43,362,4496b375,43,46,ciod: Error creating node map from file <*> No child processes,363
44,432,0d02c0e2,44,26,program interrupt,433
45,457,a2335b6b,45,72,Node card is not fully functional,458
46,521,34832905,46,60,Ido chip status changed: <*> status=M Fri Jul <*> PDT <*>,522
47,522,9d5d6232,47,90,Can not get assembly information for node card,523
48,596,46c02138,48,104,ciod: Missing or invalid fields on line <*> of node map file <*>,597
49,597,d6e5f01c,49,16,<*> torus receiver z+ input pipe error(s) (dcr <*> detected and corrected,598
50,621,088bafb1,50,37,ciod: duplicate canonical-rank <*> to logical-rank <*> mapping at line <*> of node map file <*>,622
51,822,220716fc,51,88,rts panic! - stopping execution,823
