EventId,EventTemplate,Occurrences
5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,314
dc2c74b7,PacketResponder <*> for block <*> terminating,311
46003790,Received block <*> of size <*> from /<*>,291
bbb51b95,Receiving block <*> src: /<*> dest: /<*>,291
dba996ef,Deleting block <*> file <*>,263
d63ef163,BLOCK* NameSystem.delete: <*> is added to invalidSet of <*>,224
3d91fa85,BLOCK* NameSystem.allocateBlock: <*> <*>,114
4dec0816,<*> Served block <*> to /<*>,79
a333d363,<*>:Got exception while serving <*> to /<*>:,79
32777b38,Verification succeeded for <*>,20
609472d0,BLOCK* ask <*> to delete  <*>,4
40651754,<*> Starting thread to transfer block <*> to <*>,1
728076ac,BLOCK* ask <*> to replicate <*> to datanode(s) <*>,1
d6b7b743,Received block <*> src: <*> dest: <*> of size <*>,1
04137b95,BLOCK* ask <*> to delete <*>,1
626085d5,<*> Served block <*> to <*>,1
38b5ad97,<*> exception while serving <*> to <*>,1
21f3a511,BLOCK* NameSystem.allocateBlock: <*>,1
09a53393,Receiving block <*> src: <*> dest: <*>,1
e3df2680,Received block <*> of size <*> from <*>,1
68a0b1bc,Received block <*> src: /<*> dest: /<*> of size 67108864,1
