low_row_index,mapped_drain_index,drain_eventid,uni_row_index,uni_eventid_original,uni_eventtemplate,drain_LineId
0,0,dc2c74b7,0,2,PacketResponder <*> for block <*> terminating,1
1,2,5d5de21c,1,12,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,3
2,9,46003790,2,6,Received block <*> of size <*> from <*>,10
3,11,bbb51b95,3,8,Receiving block <*> src: <*> dest: <*>,12
4,15,3d91fa85,4,7,BLOCK* NameSystem.allocateBlock: <*>,16
5,28,32777b38,5,9,Verification succeeded for <*>,29
6,72,dba996ef,6,5,Deleting block <*> file <*>,73
7,73,4dec0816,7,3,<*> Served block <*> to <*>,74
8,77,a333d363,8,0,<*> exception while serving <*> to <*>,78
9,291,d63ef163,9,11,BLOCK* NameSystem.delete: <*> is added to invalidSet of <*>,292
10,911,40651754,10,4,<*> Starting thread to transfer block <*> to <*>,912
11,927,04137b95,11,10,BLOCK* ask <*> to delete  <*>,928
12,1438,68a0b1bc,12,1,Received block <*> src: <*> dest: <*> of size <*>,1439
13,1578,98012f03,13,10,BLOCK* ask <*> to delete  <*>,1579
14,1580,98012f03,14,10,BLOCK* ask <*> to delete  <*>,1581
15,1764,728076ac,15,13,BLOCK* ask <*> to replicate <*> to datanode(s) <*>,1765
16,1900,415a1760,16,10,BLOCK* ask <*> to delete  <*>,1901
