EventId,EventTemplate,Occurrences
9050ee25,Linkerror event interval expired,394
92f0ab0d,<*>,292
fea08751,normal,206
7b83d3f0,warning,205
75101dcd,running,162
1257c799,NIFF: node <*> has detected an available network connection on network <*> via interface ee0,91
8cfafe98,configured out,91
95b8bff4,Fan speeds ( <*> **** <*> ),77
8d336518,boot  (command <*>,67
28889bc4,wait  (command <*>,66
b02b9741,not responding,60
551adf73,link errors remain current,56
bafedd1e,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node <*>,36
97e2eb74,ClusterFileSystem: There is no server for ServerFileSystem domain <*>,32
3458891f,Link error,26
7e85bcb6,critical,20
61326117,blocked,15
38884487,Fan speeds ( <*> **** <*> ),13
a8108a6e,ServerFileSystem: ServerFileSystem domain <*> is full,12
bca6441c,Component State Change: Component <*> is in the unavailable state <*>,12
b09e9fef,Command has completed successfully,11
db5aa7f9,Link in reset,9
c76a5e84,active,5
78fe0fa3,psu failure\ <*>,5
defee58d,Targeting <*> and <*> child of command <*>,5
13afdb97,Link error on broadcast tree <*>,4
ffd891af,halt  (command <*>,3
868b6038,Targeting <*> and <*>,2
76727c51,bootGenvmunix  (command <*>,2
3b219fff,Temperature <*> exceeds warning threshold,2
b6d38bd5,clusterAddMember  (command <*>,2
34e03c38,NIFF: node <*> detected a failed network connection on network <*> via interface alt0,2
2794dcdf,Targeting <*> and <*>,1
1793c40e,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok>,1
f8d968b5,Targeting <*> and <*>,1
e5e34e3d,risBoot  (command <*>,1
e13d082a,power/control problem,1
1ee85f6c,starting,1
252f035f,not-responding,1
86d6833d,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,1
c46cea30,boot (command <*> Error: HALT asserted\  cannot continue,1
13856549,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,1
291f390d,ServerFileSystem: An ServerFileSystem domain panic has occurred on <*>,1
3b38bec1,closing,1
445dbb18,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok>,1
488fc71a,risBoot (command <*> Error: Timed out while waiting for SRM prompt: <ABORT code completed>,1
bde73f88,Failed subcommands <*>,1
