low_row_index,mapped_drain_index,drain_eventid,uni_row_index,uni_eventid_original,uni_eventtemplate,drain_LineId
0,0,bca6441c,0,10,Component State Change: Component <*> is in the unavailable state <*>,1
1,12,b6d38bd5,1,32,clusterAddMember  (command <*>,13
2,14,e5e34e3d,2,17,risBoot  (command <*>,15
3,15,76727c51,3,34,bootGenvmunix  (command <*>,16
4,16,8d336518,4,25,boot  (command <*>,17
5,20,28889bc4,5,31,wait  (command <*>,21
6,22,ffd891af,6,2,halt  (command <*>,23
7,153,b09e9fef,7,24,Command has completed successfully,154
8,163,defee58d,8,37,Targeting <*> and <*> child of command <*>,164
9,165,2794dcdf,9,13,Targeting <*> and <*>,166
10,168,868b6038,10,13,Targeting <*> and <*>,169
11,169,f8d968b5,11,13,Targeting <*> and <*>,170
12,172,78fe0fa3,12,18,psu failure\ <*>,173
13,177,3b219fff,13,41,Temperature <*> exceeds warning threshold,178
14,179,97e2eb74,14,14,ClusterFileSystem: There is no server for ServerFileSystem domain <*>,180
15,211,34e03c38,15,9,NIFF: node <*> detected a failed network connection on network <*> via interface alt0,212
16,213,291f390d,16,21,ServerFileSystem: An ServerFileSystem domain panic has occurred on <*>,214
17,214,95b8bff4,17,27,Fan speeds ( <*> **** <*> ),215
18,291,38884487,18,27,Fan speeds ( <*> **** <*> ),292
19,305,e13d082a,19,40,power/control problem,306
20,306,3458891f,20,19,Link error,307
21,310,db5aa7f9,21,22,Link in reset,311
22,318,13afdb97,22,36,Link error on broadcast tree <*>,319
23,322,a8108a6e,23,4,ServerFileSystem: ServerFileSystem domain <*> is full,323
24,334,bafedd1e,24,6,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node <*>,335
25,370,75101dcd,25,0,running,371
26,371,75101dcd,26,0,running,372
27,372,75101dcd,27,0,running,373
28,373,75101dcd,28,0,running,374
29,374,75101dcd,29,0,running,375
30,375,75101dcd,30,0,running,376
31,376,75101dcd,31,0,running,377
32,377,61326117,32,33,blocked,378
33,378,61326117,33,33,blocked,379
34,379,75101dcd,34,0,running,380
35,380,75101dcd,35,0,running,381
36,381,b02b9741,36,15,not responding,382
37,383,8cfafe98,37,11,configured out,384
38,384,75101dcd,38,0,running,385
39,385,75101dcd,39,0,running,386
40,386,75101dcd,40,0,running,387
41,389,75101dcd,41,0,running,390
42,394,75101dcd,42,0,running,395
43,395,75101dcd,43,0,running,396
44,396,75101dcd,44,0,running,397
45,397,75101dcd,45,0,running,398
46,401,445dbb18,46,35,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok>,402
47,402,75101dcd,47,0,running,403
48,403,75101dcd,48,0,running,404
49,404,75101dcd,49,0,running,405
50,405,75101dcd,50,0,running,406
51,406,75101dcd,51,0,running,407
52,407,75101dcd,52,0,running,408
53,408,75101dcd,53,0,running,409
54,410,75101dcd,54,0,running,411
55,411,c76a5e84,55,16,active,412
56,413,75101dcd,56,0,running,414
57,414,75101dcd,57,0,running,415
58,418,75101dcd,58,0,running,419
59,421,75101dcd,59,0,running,422
60,422,75101dcd,60,0,running,423
61,425,75101dcd,61,0,running,426
62,428,1793c40e,62,35,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok>,429
63,431,75101dcd,63,0,running,432
64,438,75101dcd,64,0,running,439
65,439,75101dcd,65,0,running,440
66,440,75101dcd,66,0,running,441
67,446,75101dcd,67,0,running,447
68,449,75101dcd,68,0,running,450
69,451,c76a5e84,69,16,active,452
70,452,75101dcd,70,0,running,453
71,453,75101dcd,71,0,running,454
72,455,75101dcd,72,0,running,456
73,457,75101dcd,73,0,running,458
74,458,75101dcd,74,0,running,459
75,459,61326117,75,33,blocked,460
76,462,75101dcd,76,0,running,463
77,466,75101dcd,77,0,running,467
78,467,75101dcd,78,0,running,468
79,468,75101dcd,79,0,running,469
80,470,75101dcd,80,0,running,471
81,471,75101dcd,81,0,running,472
82,474,75101dcd,82,0,running,475
83,475,75101dcd,83,0,running,476
84,477,75101dcd,84,0,running,478
85,478,75101dcd,85,0,running,479
86,488,75101dcd,86,0,running,489
87,489,75101dcd,87,0,running,490
88,494,75101dcd,88,0,running,495
89,495,75101dcd,89,0,running,496
90,497,75101dcd,90,0,running,498
91,501,75101dcd,91,0,running,502
92,502,75101dcd,92,0,running,503
93,505,75101dcd,93,0,running,506
94,507,75101dcd,94,0,running,508
95,509,75101dcd,95,0,running,510
96,510,75101dcd,96,0,running,511
97,515,75101dcd,97,0,running,516
98,516,75101dcd,98,0,running,517
99,517,75101dcd,99,0,running,518
100,519,75101dcd,100,0,running,520
101,520,75101dcd,101,0,running,521
102,524,75101dcd,102,0,running,525
103,525,75101dcd,103,0,running,526
104,526,75101dcd,104,0,running,527
105,527,61326117,105,33,blocked,528
106,528,61326117,106,33,blocked,529
