EventId,EventTemplate,Occurrences
c8ced535,Address change detected. Old: <*> New: <*>,476
56587bea,Failed to renew lease for <*> for <*> seconds.  Will retry shortly ...,326
3670935b,Progress of TaskAttempt <*> is : <*>,289
b4ff2357,ERROR IN CONTACTING RM.,147
ca099a77,Retrying connect to server: <*> Already tried <*> time(s); retry policy is <*> MILLISECONDS),146
bae0e03b,"Recalculating schedule, <*>",131
773f4a2b,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,130
6659e8b0,Resolved <*> to <*>,39
63fbbb87,<*> TaskAttempt Transitioned from UNASSIGNED to ASSIGNED,28
d39a94e7,<*> Task Transitioned from NEW to SCHEDULED,25
9f1747b1,Processing the event EventType: CONTAINER_REMOTE_LAUNCH for container <*> taskAttempt <*>,13
fc9ef42a,Opening proxy : <*>,13
3be0b589,<*> Task Transitioned from SCHEDULED to RUNNING,11
5e5f5ff9,Assigned container <*> to <*>,10
60675cee,JVM with ID : <*> asked for a task,10
6e3a6141,Auth successful for <*> (auth:SIMPLE),10
ffb8e2a9,After Scheduling: <*> ScheduledMaps:9 <*>,10
a337d65e,getResources() for <*> release= <*>,10
2a1c144a,JVM with ID: <*> given task: <*>,10
c1fd6443,TaskAttempt: <*> using containerId: <*> on NM: <*>,10
0f71bb1f,Got allocated containers <*>,10
df347da1,Launching <*>,10
e215e532,ATTEMPT_START <*>,10
4f591581,Shuffle port returned by ContainerManager for <*> : <*>,10
3a2b3aef,Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,9
811a1e12,Diagnostics report from <*> Error: java.net.NoRouteToHostException: No Route to Host from  <*> to <*> failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see:  http://wiki.apache.org/hadoop/NoRouteToHost,4
54c1158e,Before Scheduling: <*>,4
7ced323b,Default file system <*>,3
6e67aefd,<*> Transitioned from NEW to INITED,3
da04743d,KILLING <*>,3
8825a75c,Processing the event EventType: JOB_SETUP,3
4b92c03b,After Scheduling: <*>,2
916d4a74,Using callQueue class java.util.concurrent.LinkedBlockingQueue,2
fdd0db5a,<*>,2
fb4ab5cb,Task cleanup failed for attempt <*>,2
e617839d,getResources() for <*> release= <*>,2
0c5b0a59,IPC Server listener on <*> starting,2
ccc17099,IPC Server Responder: starting,2
c9ebd122,The <*> file on the remote FS is <*>,2
192d0e3e,Starting Socket Reader <*> for port <*>,2
c5e95c21,adding path spec: /mapreduce/*,2
ba0e1b89,Received completed container <*>,2
2b7f7e1e,<*> failures on node <*>,2
ae2086c0,Added filter AM_PROXY_FILTER <*> to context mapreduce,2
