low_row_index,mapped_drain_index,drain_eventid,uni_row_index,uni_eventid_original,uni_eventtemplate,drain_LineId
0,0,82ea09ae,0,26,Created MRAppMaster for application <*>,1
1,1,3c5bb15c,1,80,Executing with tokens:,2
2,2,92acadf7,2,18,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: <*>",3
3,3,0594ecc2,3,42,Using mapred newApiCommitter.,4
4,4,c0c8618d,4,65,OutputCommitter set in config null,5
5,5,d79644a2,5,33,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,6
6,6,3a2b3aef,6,83,Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,7
7,14,7ced323b,7,17,Default file system <*>,15
8,17,3a03968c,8,96,Emitting job history data to the timeline server is not enabled,18
9,19,ca7d7941,9,8,loaded properties from <*>,20
10,20,9e8ad6ab,10,14,Scheduled snapshot period at <*> second(s).,21
11,21,fc657c96,11,71,MRAppMaster metrics system started,22
12,22,d3121b5d,12,73,Adding job token for <*> to jobTokenSecretManager,23
13,23,38c14f3b,13,7,Not uberizing <*> because: not enabled; too many maps; too much input;,24
14,24,fb51feed,14,41,Input size for job <*> = <*> Number of splits = <*>,25
15,25,58cb7afe,15,84,Number of reduces for job <*> = <*>,26
16,26,6e67aefd,16,27,<*> Transitioned from NEW to INITED,27
17,27,09f888b9,17,28,"MRAppMaster launching normal, <*> job <*>",28
18,28,916d4a74,18,47,Using callQueue class java.util.concurrent.LinkedBlockingQueue,29
19,29,192d0e3e,19,60,Starting Socket Reader <*> for port <*>,30
20,30,8c4d0a72,20,53,Adding protocol <*> to the server,31
21,31,e8090e05,21,81,Instantiated MRClientService at <*>,32
22,32,ccc17099,22,57,IPC Server Responder: starting,33
23,33,0c5b0a59,23,50,IPC Server listener on <*> starting,34
24,34,a79a1702,24,70,Logging to <*> via <*>,35
25,35,0859dbfb,25,13,Http request log for http.requests.mapreduce is not defined,36
26,36,a8927e0e,26,56,Added global filter 'safety' <*>,37
27,37,ae2086c0,27,34,Added filter AM_PROXY_FILTER <*> to context mapreduce,38
28,39,c5e95c21,28,63,adding path spec: /mapreduce/*,40
29,41,dcd06e1a,29,78,Jetty bound to port <*>,42
30,42,6b77fa65,30,82,<*>,43
31,43,fc38bf1a,31,77,Extract <*> to <*>,44
