EventId,EventTemplate,Occurrences
3e662616,<*>,273
93067dc4,onStandStepChanged <*>,260
e0a83abb,getTodayTotalDetailSteps = <*>,242
cbcd504a,calculateAltitudeWithCache <*>,241
9300ea38,calculateCaloriesWithCache <*>,241
b0190ab5,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,161
5cdf7db4,REPORT : <*>,136
252628f5,onReceive action: android.intent.action.SCREEN_ON,34
b8f897f8,flush sensor data,17
d941da54,new date <*>,17
5fed72bf,getBinderPackageName packageName = com.huawei.health,8
d67137ee,getTodaySportData <*>,6
f257f214,"initUserPrivacy the userPrivacy switch is open, start push user data!",5
e4156b58,"initDataPrivacy the dataPrivacy switch is open, start push health data!",5
8764d489,sendSyncFailedBroadcast,5
38085a58,initDataPrivacy the dataPrivacy is true,5
3f9b4da2,ifCanSync not! no cloud version,5
1d4b8a6f,initUserPrivacy the userPrivacy is true,5
b26107b2,startSync hiSyncOption = <*> = <*> who = <*>,5
6e805a4c,needAutoSync autoSyncSwitch is open,5
3996af7c,upLoadOneMinuteDataToEngine <*>,5
5c7637ce,timeStamp <*>,5
c0df8ce6,checkInsertStatus stepSum or calorieSum is enough,4
042e0769,saveStatData() type <*> = <*> = <*> is <*>,4
9b0d93a6,stepSyncOrNot appSynTimes is <*>,3
3ba40b70,startTimer start autoSync,3
960958ed,startListenerChange subscribeList = <*>,2
1809a7f0,bulkSaveDetailHiHealthData() size = <*> = <*>,2
c6841826,insertHiHealthData() checkAppType  <*> appID = <*>,2
dc24d800,saveHealthDetailData() deviceID = <*>,2
aa1d16b4,getDiffTotalSteps= <*>,2
034409f5,insertHiHealthData() end totalTime = <*>,2
40f31420,getTodayBasicStandardSteps= <*>,2
9ef024f5,saveHealthDetailData() saveOneDetailData fail hiHealthData = <*> = <*>,2
7c62ae10,stepSyncOrNot appSynTimes is <*> statsyncTimes is <*>,2
46c87663,"insertHiHealthData() size = 4,app = <*> Data Type = <*> = com.huawei.health,writeStatType = <*>",2
540df4b1,"checkFirstSyncByType no such data in db ,type is <*> deviceCode is <*>",2
