low_row_index,mapped_drain_index,drain_eventid,uni_row_index,uni_eventid_original,uni_eventtemplate,drain_LineId
0,0,93067dc4,0,65,onStandStepChanged <*>,1
1,1,3e662616,1,44,<*>,2
2,2,252628f5,2,14,onReceive action: android.intent.action.SCREEN_ON,3
3,3,b0190ab5,3,57,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,4
4,4,b8f897f8,4,12,flush sensor data,5
5,5,e0a83abb,5,13,getTodayTotalDetailSteps = <*>,6
6,6,a61adff4,6,44,<*>,7
7,8,9300ea38,7,3,calculateCaloriesWithCache <*>,9
8,9,cbcd504a,8,40,calculateAltitudeWithCache <*>,10
9,10,5cdf7db4,9,23,REPORT : <*>,11
10,16,8b4aebf1,10,44,<*>,17
11,23,2f354e84,11,44,<*>,24
12,30,0eff0698,12,44,<*>,31
13,37,fa67cd9f,13,44,<*>,38
14,44,b79a01c7,14,44,<*>,45
15,51,e6723eaa,15,44,<*>,52
16,58,a7a2ad5b,16,44,<*>,59
17,68,441b824d,17,44,<*>,69
18,71,03a21551,18,4,isScreenOn true,72
19,72,ffb006b5,19,34,"screen status unknown,think screen on",73
20,78,f6c76fb8,20,44,<*>,79
21,88,5ed39ecc,21,44,<*>,89
22,95,c7cd2259,22,44,<*>,96
23,102,ee50d75f,23,44,<*>,103
24,109,79972429,24,44,<*>,110
25,116,0dd728a7,25,44,<*>,117
26,123,c2864c0d,26,44,<*>,124
27,130,c3fa669a,27,44,<*>,131
28,137,2e8c2dfa,28,44,<*>,138
29,144,530ac75a,29,44,<*>,145
30,151,feee0827,30,44,<*>,152
31,158,6621ffba,31,44,<*>,159
32,165,55e1e479,32,44,<*>,166
33,172,e8591fbb,33,44,<*>,173
34,179,25fc5903,34,44,<*>,180
35,186,11b8eab9,35,44,<*>,187
36,193,3540dbd8,36,44,<*>,194
37,200,c5f34138,37,44,<*>,201
38,207,6421317f,38,44,<*>,208
39,214,02d29f24,39,44,<*>,215
40,221,1a599fea,40,44,<*>,222
41,228,1c06eca7,41,44,<*>,229
42,235,6dc04569,42,44,<*>,236
43,242,2e5d5591,43,44,<*>,243
44,249,6635193f,44,44,<*>,250
45,256,2dc093d5,45,44,<*>,257
46,263,0da5c16c,46,44,<*>,264
47,270,94574c83,47,44,<*>,271
48,277,4c0a0c49,48,44,<*>,278
49,284,ab4d2713,49,44,<*>,285
50,291,1545ee7d,50,44,<*>,292
51,298,093bd3bc,51,44,<*>,299
52,305,3a89c991,52,44,<*>,306
53,313,220c6d5d,53,44,<*>,314
54,318,3e662616,54,44,<*>,319
55,320,a536e5e4,55,44,<*>,321
56,325,3e662616,56,44,<*>,326
57,327,16e3a3ff,57,44,<*>,328
58,331,3e662616,58,44,<*>,332
59,333,96a56840,59,44,<*>,334
60,338,3e662616,60,44,<*>,339
61,340,cf6d7626,61,44,<*>,341
62,345,3e662616,62,44,<*>,346
63,347,e8eaba0f,63,44,<*>,348
64,352,3e662616,64,44,<*>,353
65,354,6bec8724,65,44,<*>,355
66,359,3e662616,66,44,<*>,360
67,361,560f79f4,67,44,<*>,362
68,366,3e662616,68,44,<*>,367
69,368,7550903f,69,44,<*>,369
70,373,3e662616,70,44,<*>,374
71,375,4295ca8c,71,44,<*>,376
72,380,3e662616,72,44,<*>,381
73,382,b200aec0,73,44,<*>,383
74,387,3e662616,74,44,<*>,388
75,389,d2d94e27,75,44,<*>,390
76,394,3e662616,76,44,<*>,395
77,396,688c16fb,77,44,<*>,397
78,401,3e662616,78,44,<*>,402
79,403,54057645,79,44,<*>,404
80,407,3e662616,80,44,<*>,408
81,409,d5c26f88,81,44,<*>,410
82,414,3e662616,82,44,<*>,415
83,416,ba411c2a,83,44,<*>,417
84,421,3e662616,84,44,<*>,422
85,423,e2276a84,85,44,<*>,424
86,428,3e662616,86,44,<*>,429
87,430,0b17170a,87,44,<*>,431
88,435,3e662616,88,44,<*>,436
89,437,d4bbe308,89,44,<*>,438
90,442,3e662616,90,44,<*>,443
91,444,32a5d976,91,44,<*>,445
92,449,3e662616,92,44,<*>,450
93,451,71c57d39,93,44,<*>,452
94,456,3e662616,94,44,<*>,457
95,458,803158d8,95,44,<*>,459
96,463,3e662616,96,44,<*>,464
97,465,0cdc4275,97,44,<*>,466
98,470,3e662616,98,44,<*>,471
99,472,d1f695c7,99,44,<*>,473
100,477,3e662616,100,44,<*>,478
101,479,41a51257,101,44,<*>,480
102,484,3e662616,102,44,<*>,485
103,486,85f105bd,103,44,<*>,487
104,491,3e662616,104,44,<*>,492
105,493,1862dbd2,105,44,<*>,494
106,498,3e662616,106,44,<*>,499
107,500,5bf2aee4,107,44,<*>,501
108,505,3e662616,108,44,<*>,506
109,507,1e5bef65,109,44,<*>,508
110,512,3e662616,110,44,<*>,513
111,514,c74d5c11,111,44,<*>,515
112,519,3e662616,112,44,<*>,520
113,521,50a2de27,113,44,<*>,522
114,526,3e662616,114,44,<*>,527
115,528,860d40b4,115,44,<*>,529
116,533,3e662616,116,44,<*>,534
117,535,6d5498e0,117,44,<*>,536
118,540,3e662616,118,44,<*>,541
119,542,38fbedd0,119,44,<*>,543
120,547,3e662616,120,44,<*>,548
121,549,542f6049,121,44,<*>,550
122,554,3e662616,122,44,<*>,555
123,556,99246e64,123,44,<*>,557
124,561,3e662616,124,44,<*>,562
125,564,0a133f16,125,44,<*>,565
126,569,3e662616,126,44,<*>,570
127,571,7fe4dc5a,127,44,<*>,572
128,576,3e662616,128,44,<*>,577
129,578,5e7c652b,129,44,<*>,579
130,583,3e662616,130,44,<*>,584
131,585,862eefb7,131,44,<*>,586
132,590,3e662616,132,44,<*>,591
133,592,779cf8db,133,44,<*>,593
134,597,3e662616,134,44,<*>,598
135,599,52e43acf,135,44,<*>,600
136,604,3e662616,136,44,<*>,605
137,606,3de974e4,137,44,<*>,607
138,611,3e662616,138,44,<*>,612
139,613,f08d9d00,139,44,<*>,614
140,618,3e662616,140,44,<*>,619
141,620,fab2955d,141,44,<*>,621
142,625,3e662616,142,44,<*>,626
143,627,e0b37ed5,143,44,<*>,628
144,632,3e662616,144,44,<*>,633
145,634,5a11b9a8,145,44,<*>,635
146,639,3e662616,146,44,<*>,640
147,641,4a75944f,147,44,<*>,642
148,646,3e662616,148,44,<*>,647
149,648,8d0699ec,149,44,<*>,649
150,653,3e662616,150,44,<*>,654
151,655,1c2837a7,151,44,<*>,656
152,660,3e662616,152,44,<*>,661
153,662,751048d1,153,44,<*>,663
154,667,3e662616,154,44,<*>,668
155,669,68db493b,155,44,<*>,670
156,674,3e662616,156,44,<*>,675
157,676,04f1ea7d,157,44,<*>,677
158,681,3e662616,158,44,<*>,682
159,683,3e662616,159,44,<*>,684
160,688,d6bb1135,160,44,<*>,689
161,694,3e662616,161,44,<*>,695
162,696,c339c432,162,44,<*>,697
163,700,0635a938,163,28,flushTempCacheToDB by stand,701
164,701,719fba2b,164,1,Alarm uploadStaticsToDB <*>,702
165,702,0da159ce,165,66,writeDataToDB size <*>,703
166,703,3996af7c,166,52,upLoadOneMinuteDataToEngine <*>,704
167,708,5fed72bf,167,48,getBinderPackageName packageName = com.huawei.health,709
168,710,824b3d7b,168,64,"getAppContext() isAppValid health or wear, packageName = com.huawei.health",711
169,711,3e662616,169,44,<*>,712
170,714,c6841826,170,20,insertHiHealthData() checkAppType  <*> appID = <*>,715
171,715,46c87663,171,59,"insertHiHealthData() size = 4,app = <*> Data Type = <*> = com.huawei.health,writeStatType = <*>",716
172,716,dc24d800,172,56,saveHealthDetailData() deviceID = <*>,717
173,717,042e0769,173,41,saveStatData() type <*> = <*> = <*> is <*>,718
174,718,d941da54,174,46,new date <*>,719
175,721,9ef024f5,175,50,saveHealthDetailData() saveOneDetailData fail hiHealthData = <*> = <*>,722
176,727,1809a7f0,176,39,bulkSaveDetailHiHealthData() size = <*> = <*>,728
177,728,960958ed,177,29,startListenerChange subscribeList = <*>,729
178,729,514abfb6,178,33,"insertHiHealthData() bulkSaveDetailHiHealthData fail errorCode = 4,errorMessage = ERR_DATA_INSERT",730
179,730,034409f5,179,42,insertHiHealthData() end totalTime = <*>,731
180,731,da883d28,180,8,uploadStaticsToDB() onResult  type = <*> obj=true,732
181,732,161ba043,181,21,uploadStaticsToDB failed message=true,733
182,733,c0df8ce6,182,51,checkInsertStatus stepSum or calorieSum is enough,734
183,738,7c62ae10,183,15,stepSyncOrNot appSynTimes is <*> statsyncTimes is <*>,739
184,739,03c259bc,184,6,"startInsertSportSync start auto sync,app is <*>",740
185,741,540df4b1,185,49,"checkFirstSyncByType no such data in db ,type is <*> deviceCode is <*>",742
186,742,f034e86a,186,36,"startInsertSportSync first <*> steps sync,do all sync",743
187,744,b26107b2,187,63,startSync hiSyncOption = <*> = <*> who = <*>,745
188,747,6e805a4c,188,0,needAutoSync autoSyncSwitch is open,748
189,749,e4156b58,189,24,"initDataPrivacy the dataPrivacy switch is open, start push health data!",750
190,750,38085a58,190,61,initDataPrivacy the dataPrivacy is true,751
191,751,f257f214,191,58,"initUserPrivacy the userPrivacy switch is open, start push user data!",752
192,752,1d4b8a6f,192,5,initUserPrivacy the userPrivacy is true,753
193,753,3f9b4da2,193,17,ifCanSync not! no cloud version,754
194,754,8764d489,194,9,sendSyncFailedBroadcast,755
195,769,b13a454b,195,35,saveRealTimeHealthDatasStat() size = <*> = <*>,770
196,772,c2e9ad21,196,47,InsertCallBack() onSuccess  type = <*> data=true,773
197,773,ff3ee216,197,16,InsertEvent success <*>,774
198,774,a49593ba,198,44,<*>,775
199,775,042d7a7a,199,60,setWriteDBLastDataMinute success,776
200,776,b3d6ad7f,200,18,flush2DB result success,777
201,778,1990adb0,201,44,<*>,779
202,794,8764d489,202,9,sendSyncFailedBroadcast,795
203,797,3e662616,203,44,<*>,798
204,799,d71b744e,204,44,<*>,800
205,804,3e662616,205,44,<*>,805
206,806,d9948f7e,206,44,<*>,807
207,811,3e662616,207,44,<*>,812
208,814,b040fd7f,208,44,<*>,815
209,819,3e662616,209,44,<*>,820
210,821,d23395ff,210,44,<*>,822
211,826,3e662616,211,44,<*>,827
212,828,293dfba1,212,44,<*>,829
213,833,3e662616,213,44,<*>,834
214,835,20fd691e,214,44,<*>,836
215,840,3e662616,215,44,<*>,841
216,842,514a7149,216,44,<*>,843
217,847,3e662616,217,44,<*>,848
218,849,ce0860cc,218,44,<*>,850
219,854,3e662616,219,44,<*>,855
220,856,8b307123,220,44,<*>,857
221,861,3e662616,221,44,<*>,862
222,863,c47c5d4e,222,44,<*>,864
223,868,3e662616,223,44,<*>,869
224,870,4bf5e05f,224,44,<*>,871
225,875,3e662616,225,44,<*>,876
226,877,ea0d7701,226,44,<*>,878
227,882,3e662616,227,44,<*>,883
228,884,d452366d,228,44,<*>,885
229,889,3e662616,229,44,<*>,890
230,891,9f2872a5,230,44,<*>,892
231,896,3e662616,231,44,<*>,897
232,898,1d2280f8,232,44,<*>,899
233,902,3e662616,233,44,<*>,903
234,904,842792e0,234,44,<*>,905
235,911,3e662616,235,44,<*>,912
236,912,3e662616,236,44,<*>,913
237,913,3e662616,237,44,<*>,914
238,914,3e662616,238,44,<*>,915
239,915,3e662616,239,44,<*>,916
240,920,c68fe76b,240,44,<*>,921
241,926,3e662616,241,44,<*>,927
242,929,494b61a0,242,44,<*>,930
243,933,3e662616,243,44,<*>,934
244,935,df238bda,244,44,<*>,936
245,939,3e662616,245,44,<*>,940
246,941,f84aac1d,246,44,<*>,942
247,945,3e662616,247,44,<*>,946
248,947,53df3215,248,44,<*>,948
249,956,3e662616,249,44,<*>,957
250,957,3e662616,250,44,<*>,958
251,958,3e662616,251,44,<*>,959
252,959,3e662616,252,44,<*>,960
253,960,3e662616,253,44,<*>,961
254,961,3e662616,254,44,<*>,962
255,966,1cf025d7,255,44,<*>,967
256,972,3e662616,256,44,<*>,973
257,974,2382a92b,257,44,<*>,975
258,979,3e662616,258,44,<*>,980
259,981,6524fe32,259,44,<*>,982
260,989,3e662616,260,44,<*>,990
261,990,3e662616,261,44,<*>,991
262,992,4e84078b,262,44,<*>,993
263,998,3e662616,263,44,<*>,999
264,999,5c7637ce,264,11,timeStamp <*>,1000
265,1001,2475596e,265,44,<*>,1002
266,1005,3ba40b70,266,37,startTimer start autoSync,1006
267,1007,9b0d93a6,267,53,stepSyncOrNot appSynTimes is <*>,1008
268,1014,8764d489,268,9,sendSyncFailedBroadcast,1015
269,1017,3e662616,269,44,<*>,1018
270,1019,8d1d93ff,270,44,<*>,1020
271,1024,3e662616,271,44,<*>,1025
272,1029,98c8b747,272,44,<*>,1030
273,1035,3e662616,273,44,<*>,1036
274,1037,f6baec14,274,44,<*>,1038
275,1045,3e662616,275,44,<*>,1046
276,1047,ddd3ce33,276,44,<*>,1048
277,1053,3e662616,277,44,<*>,1054
278,1054,3e662616,278,44,<*>,1055
