EventId,EventTemplate,Occurrences
ce8d323b,connection from <*> <*> at <*> <*> <*> <*> 2005,821
4c379b7b,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= <*> <*>,371
27624832,session closed for user <*>,123
09789b2b,session opened for user <*> by <*>,123
b780997e,check pass; user unknown,117
d8976837,authentication failure; logname= uid=0 euid=0 <*> ruser= <*>,117
a757c0c2,ALERT exited abnormally with [1],42
acbfe003,connection from <*> (host8.topspot.net) at Sun Jul <*>,28
dea5ca56,Kerberos authentication failed,23
a82d5ea6,notify question section contains no SOA,16
d9f1af4c,Authentication failed from <*> (<*>): Software caused connection abort,14
d5077f59,connection from <*> at Sun Jul <*>,9
a344f63f,connection from <*> at Sat Jul  <*>,8
6f97e9d4,restart.,7
f6e13a4d,Authentication failed from <*> (<*>): Permission denied in replay cache code,7
e05fcc23,cupsd shutdown succeeded,6
adc372d2,cupsd startup succeeded,6
b9fb5f01,connection from <*> at Fri Jul <*>,5
213394cc,connection from <*> () at Thu Jul  7 <*>,4
e0dd8927,connection from <*> (aml-sfh-3310b.adsl.wanadoo.nl) at Sun Jul <*>,4
d067d507,connection from <*> at Mon Jul <*>,4
ee259d46,getpeername (ftpd): Transport endpoint is not connected,4
455b1aee,connection from <*> (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul <*>,3
8b4b5ce5,connection from <*> (82-68-222-194.dsl.in-addr.zen.co.uk) at Sun Jul <*>,3
3d002f62,removing device node <*>,3
3010ee21,connection from <*> at <*> Jul <*>,3
961489c4,creating device node <*>,3
33f00fa7,connection from <*> at Sat Jul <*>,2
aae79ab5,connection from <*> (dsl-082-083-227-067.arcor-ip.net) at Sun Jul <*>,2
3341794d,connection from <*> at Tue Jul <*>,2
9d565cd5,connection from <*> (82-68-222-195.dsl.in-addr.zen.co.uk) at Sun Jul <*>,2
0f5f997d,BIOS-e820: <*> - <*> (reserved),2
78fd03f6,connection from <*> at <*> Jul  <*>,2
c3b81172,connection from <*> () at Tue Jul  5 <*>,2
bb1c03d0,usbcore: registered <*> driver usbfs,1
60696e47,POSIX conformance testing by UNIFIX,1
5315a7c8,Starting pcmcia:  succeeded,1
73904f45,Linux Plug and Play Support <*> (c) Adam Belay,1
cf383357,ACPI: Interpreter disabled.,1
1ee2f7d8,ACPI: Subsystem revision <*>,1
e17c0a25,mtrr: <*>,1
e0661b3c,"There is already a security framework initialized, register_security failed.",1
0f556ff9,PCI: Using configuration type <*>,1
02be0e02,"PCI: PCI BIOS revision <*> entry at 0xfc0ce, last <*>",1
a31006da,Failure registering capabilities with the kernel,1
4b75bf96,selinux_register_security:  Registering secondary module capability,1
4af88f8f,NET: Registered protocol family <*>,1
00c09a87,rpc.idmapd startup succeeded,1
48a493b0,Capability LSM initialized,1
1d8fe60a,Enabling fast FPU save and restore... done.,1
b54f3664,Initializing random number generator:  succeeded,1
ec04e27e,Dentry cache hash table entries: <*> (order: <*> bytes),1
a3498f8a,Inode-cache hash table entries: <*> (order: <*> bytes),1
95fbebcc,Mount-cache hash table entries: <*> (order: <*> bytes),1
6a1f008b,CPU: <*> I cache: <*> D cache: <*>,1
24b81ade,CPU: L2 cache: <*>,1
53650236,Intel machine check architecture supported.,1
0dfe904f,Checking 'hlt' instruction... OK.,1
82fa90e1,Intel machine check reporting enabled on <*>,1
b47e70f3,CPU: Intel Pentium III (Coppermine) stepping <*>,1
5de744ee,Enabling unmasked SIMD FPU exception support... done.,1
900d1a03,authentication failure; logname= <*> tty=NODEVssh ruser= <*>,1
f1205e3c,usbcore: registered new driver <*>,1
cafc1bbd,ACPI: ACPI tables contain no PCI IRQ routing entries,1
bb8d8276,Real Time Clock Driver <*>,1
2e3d6c0c,isapnp: No Plug & Play device found,1
2bf1954b,isapnp: Scanning for PnP cards...,1
66c5c678,pci_hotplug: PCI Hot Plug PCI Core version: <*>,1
2b566107,Initializing Cryptographic API,1
aa644c07,SELinux:  Registering netfilter hooks,1
e9247df3,Dquot-cache hash table entries: <*> (order <*> bytes),1
