low_row_index,mapped_drain_index,drain_eventid,uni_row_index,uni_eventid_original,uni_eventtemplate,drain_LineId
0,0,d8976837,0,123,authentication failure; logname= <*> tty=NODEVssh ruser= <*>,1
1,1,b780997e,1,88,check pass; user unknown,2
2,3,4c379b7b,2,133,authentication failure; logname= <*> tty=NODEVssh ruser= <*>  user=root,4
3,13,09789b2b,3,101,session opened for user <*> by <*>,14
4,14,27624832,4,125,session closed for user <*>,15
5,15,a757c0c2,5,31,ALERT exited abnormally with <*>,16
6,82,ce8d323b,6,42,connection from <*> (24-54-76-216.bflony.adelphia.net) at Fri Jun <*>,83
7,135,57c497f6,7,23,User unknown timed out after <*> seconds at Sat Jun <*>,136
8,143,e05fcc23,8,96,cupsd shutdown succeeded,144
9,144,adc372d2,9,106,cupsd startup succeeded,145
10,145,6f97e9d4,10,56,restart.,146
11,166,4f67b71e,11,21,Received SNMP packet(s) from <*>,167
12,371,e05fcc23,12,96,cupsd shutdown succeeded,372
13,372,adc372d2,13,106,cupsd startup succeeded,373
14,373,6f97e9d4,14,56,restart.,374
15,538,f6e13a4d,15,50,Authentication failed from <*> Permission denied in replay cache code,539
16,539,dea5ca56,16,108,Kerberos authentication failed,540
17,541,dea5ca56,17,108,Kerberos authentication failed,542
18,543,dea5ca56,18,108,Kerberos authentication failed,544
19,545,dea5ca56,19,108,Kerberos authentication failed,546
20,547,dea5ca56,20,108,Kerberos authentication failed,548
21,549,dea5ca56,21,108,Kerberos authentication failed,550
22,552,d9f1af4c,22,86,Authentication failed from <*> Software caused connection abort,553
23,553,dea5ca56,23,108,Kerberos authentication failed,554
24,554,dea5ca56,24,108,Kerberos authentication failed,555
25,555,dea5ca56,25,108,Kerberos authentication failed,556
26,557,dea5ca56,26,108,Kerberos authentication failed,558
27,559,dea5ca56,27,108,Kerberos authentication failed,560
28,561,dea5ca56,28,108,Kerberos authentication failed,562
29,563,dea5ca56,29,108,Kerberos authentication failed,564
30,565,dea5ca56,30,108,Kerberos authentication failed,566
31,567,dea5ca56,31,108,Kerberos authentication failed,568
32,569,dea5ca56,32,108,Kerberos authentication failed,570
33,571,dea5ca56,33,108,Kerberos authentication failed,572
34,575,dea5ca56,34,108,Kerberos authentication failed,576
35,577,dea5ca56,35,108,Kerberos authentication failed,578
36,580,dea5ca56,36,108,Kerberos authentication failed,581
37,581,dea5ca56,37,108,Kerberos authentication failed,582
38,582,dea5ca56,38,108,Kerberos authentication failed,583
39,583,dea5ca56,39,108,Kerberos authentication failed,584
40,627,ce8d323b,40,122,connection from <*> at Fri Jul  <*>,628
41,628,ce8d323b,41,122,connection from <*> at Fri Jul  <*>,629
42,629,ce8d323b,42,122,connection from <*> at Fri Jul  <*>,630
43,630,ce8d323b,43,122,connection from <*> at Fri Jul  <*>,631
44,631,ce8d323b,44,122,connection from <*> at Fri Jul  <*>,632
45,632,ce8d323b,45,122,connection from <*> at Fri Jul  <*>,633
46,633,ce8d323b,46,122,connection from <*> at Fri Jul  <*>,634
47,634,ce8d323b,47,122,connection from <*> at Fri Jul  <*>,635
48,635,ce8d323b,48,122,connection from <*> at Fri Jul  <*>,636
49,636,ce8d323b,49,122,connection from <*> at Fri Jul  <*>,637
50,637,ce8d323b,50,122,connection from <*> at Fri Jul  <*>,638
51,638,ce8d323b,51,122,connection from <*> at Fri Jul  <*>,639
52,639,ce8d323b,52,122,connection from <*> at Fri Jul  <*>,640
53,640,ce8d323b,53,122,connection from <*> at Fri Jul  <*>,641
54,641,ce8d323b,54,122,connection from <*> at Fri Jul  <*>,642
55,642,ce8d323b,55,122,connection from <*> at Fri Jul  <*>,643
56,643,ce8d323b,56,122,connection from <*> at Fri Jul  <*>,644
57,644,ce8d323b,57,122,connection from <*> at Fri Jul  <*>,645
58,645,ce8d323b,58,122,connection from <*> at Fri Jul  <*>,646
59,646,ce8d323b,59,122,connection from <*> at Fri Jul  <*>,647
60,647,ce8d323b,60,122,connection from <*> at Fri Jul  <*>,648
61,648,ce8d323b,61,122,connection from <*> at Fri Jul  <*>,649
62,649,ce8d323b,62,122,connection from <*> at Fri Jul  <*>,650
63,711,e05fcc23,63,96,cupsd shutdown succeeded,712
64,712,adc372d2,64,106,cupsd startup succeeded,713
65,713,6f97e9d4,65,56,restart.,714
66,717,ce8d323b,66,7,connection from <*> (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 <*>,718
67,718,ce8d323b,67,7,connection from <*> (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 <*>,719
68,719,ce8d323b,68,7,connection from <*> (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 <*>,720
69,720,ce8d323b,69,7,connection from <*> (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 <*>,721
70,721,ce8d323b,70,7,connection from <*> (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 <*>,722
71,722,ce8d323b,71,7,connection from <*> (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 <*>,723
72,723,ce8d323b,72,7,connection from <*> (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 <*>,724
73,724,ce8d323b,73,7,connection from <*> (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 <*>,725
74,725,ce8d323b,74,7,connection from <*> (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 <*>,726
75,726,ce8d323b,75,7,connection from <*> (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 <*>,727
76,727,ce8d323b,76,7,connection from <*> (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 <*>,728
77,728,ce8d323b,77,7,connection from <*> (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 <*>,729
78,729,ce8d323b,78,7,connection from <*> (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 <*>,730
79,730,ce8d323b,79,7,connection from <*> (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 <*>,731
80,731,ce8d323b,80,7,connection from <*> (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 <*>,732
81,732,ce8d323b,81,7,connection from <*> (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 <*>,733
82,733,ce8d323b,82,7,connection from <*> (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 <*>,734
83,734,ce8d323b,83,7,connection from <*> (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 <*>,735
84,735,ce8d323b,84,7,connection from <*> (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 <*>,736
