EventId,EventTemplate,Occurrences
8c3389f0,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring.",165
3a1142a3,Cocoa scripting error for <*> four character codes must be four characters long.,71
dff6d2b2,AppleCamIn::systemWakeCall - messageType = <*>,56
fe0771c3,dnssd_clientstub ConnectToServer: connect()-> No of tries: <*>,44
b7aaf5db,Thermal pressure state: <*> Memory pressure state: <*>,39
3813df52,Location icon should now be in state 'Inactive',37
fea8a7f7,<*> - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>,36
f1885a0f,CCFile::captureLogRun Skipping current file Dir file <*> Current File <*>,31
19147422,<*> deny network-outbound <*>,29
9cdbf8d2,Sandbox: <*> network-outbound <*>,29
55561498,ARPT: <*> wl0: MDNS: IPV6 Addr: <*>,28
ca501184,send_datagram_available_ping: pid <*> failed to act on a ping it dequeued before timing out.,26
d8cfefd6,<*> <<<< Boss >>>> figPlaybackBossPrerollCompleted: unexpected preroll-complete notification,23
2d0d617f,CCFile::captureLogRun() Exiting CCFile::captureLogRun,22
a5714044,AppleThunderboltGenericHAL::earlyWake - complete - took <*> milliseconds,22
86f9b3d4,en0: channel changed to <*>,20
016decae,AppleCamIn::wakeEventHandlerThread,20
6a6d7984,<*> Setting the AWDL operation mode from AUTO to SUSPENDED,20
60a574ff,CCFile::captureLog Received Capture notice id: <*> reason = <*>,20
b7844740,-[ISGenerateImageOp generateImageWithCompletion:] Failed to composit image for descriptor <ISBindingImageDescriptor: <*>,20
54c05f44,tcp_connection_handle_connect_conditions_bad <*> failed: <*> - No network route,18
209c69a9,-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record.,17
e61842f1,ARPT: <*> System Sleep,17
a12012c8,"NETWORK: requery, <*> items, fQueryRetries, <*> fLastRetryTimestamp, <*>",17
4a019d20,CCFile::captureLog,17
3a8476ad,en0: BSSID changed to <*>,16
1ca51907,<*> observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,16
39189f14,ARPT: <*> WWEN[disable],16
9061729d,Previous sleep cause: <*>,15
3f143fab,Received Capture Event,15
92121a91,<*> Resuming AWDL,15
04f0e432,<*> - power up complete - took <*> us,15
b9b132a2,"Path not allowed in target domain: type = pid, path = /System/Library/StagedFrameworks/Safari/SafariShared.framework/Versions/A/XPCServices/com.apple.Safari.SearchHelper.xpc/Contents/MacOS/com.apple.Safari.SearchHelper error = <*> The specified service did not ship in the requestor's bundle, origin = <*>",15
f09b7e9d,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from <*> to <*>,15
5d3b8c8e,AppleCamIn::handleWakeEvent_gated,15
832283b9,Captive: CNPluginHandler en0: Evaluating,15
7562e40d,KeychainGetICDPStatus: keychain: <*>,14
cb6d7ba7,-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (null) <*> (null)/(null) opts=(null) <*> from=(null)/(null) (UABestAppSuggestionManager.m <*>,14
1b7a983d,dnssd_clientstub ConnectToServer: connect() failed <*> Socket:4 <*> Operation not permitted,13
9a054d77,-[NETClientConnection effectiveBundleID] using process name apsd as bundle ID (this is expected for daemons without bundle ID,13
4d69df78,Error returned from iconservicesagent: (null),13
de1b8e5e,AirPort: Link Up on en0,13
61cb43e6,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error <*> ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",12
1bf3d457,USBMSC Identifier (non-unique): <*>,12
46365224,ARPT: <*> WWEN[enable],12
883aa790,ARPT: <*> System Wake - Full Wake/ Dark Wake / Maintenance wake,12
8f8ef862,ARPT: <*> WWEN[enabled],12
e3b61a44,<*> - retries = <*>,11
7c9ca2b5,"<*> Suspending AWDL, enterQuietMode(true)",11
c5de5950,RTC: PowerByCalendarDate setting ignored,11
a0672ef8,ARPT: <*> wl0: setup_keepalive: interval <*> retry_interval <*> retry_count <*>,11
