low_row_index,mapped_drain_index,drain_eventid,uni_row_index,uni_eventid_original,uni_eventtemplate,drain_LineId
0,0,fea8a7f7,0,165,<*> - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>,1
1,1,b7aaf5db,1,146,Thermal pressure state: <*> Memory pressure state: <*>,2
2,2,bf6f5aee,2,104,<*> dealloc,3
3,3,8f8ef862,3,157,ARPT: <*> WWEN[enabled],4
4,4,39189f14,4,60,ARPT: <*> WWEN[disable],5
5,5,1e62c609,5,137,mDNS_DeregisterInterface: Frequent transitions for interface awdl0 <*>,6
6,6,f713d2b6,6,235,"ARPT: <*> IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': <*>",7
7,7,13c2a597,7,38,ARPT: <*> wl0: wl_update_tcpkeep_seq: Original Seq: <*> Ack: <*> Win size: <*>,8
8,8,548a9986,8,6,ARPT: <*> ARPT: Wake Reason: Wake on Scan offload,9
9,9,1ca51907,9,260,<*> observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,10
10,10,92121a91,10,69,<*> Resuming AWDL,11
11,12,8d0bbd5d,11,216,"ARPT: <*> wl0: MDNS: <*> SRV Recs, <*> TXT Recs",13
12,13,dff6d2b2,12,291,AppleCamIn::systemWakeCall - messageType = <*>,14
13,14,91eeaa24,13,295,"setting hostname to ""authorMacBook-Pro.local""",15
14,15,8c3389f0,14,237,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring.",16
15,16,2fe4ad5c,15,232,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams <*>,17
16,17,a097cfec,16,95,<*> <<<< CRABS >>>> crabsFlumeHostAvailable: <*> Byte flume reports host available again.,18
17,19,92121a91,17,69,<*> Resuming AWDL,20
18,20,005b6de9,18,300,AirPort: Link Down on awdl0. Reason <*> (Unspecified).,21
19,22,70e478c0,19,215,PM response took <*> ms <*> powerd),23
20,24,8f5dffe0,20,119,"ARPT: <*> wl0: Roamed or switched channel, reason <*> bssid <*> last RSSI <*>",25
21,27,f09b7e9d,21,145,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from <*> to <*>,28
22,30,7c9ca2b5,22,206,"<*> Suspending AWDL, enterQuietMode(true)",31
23,31,8274cb77,23,24,"network_reachability_changed : network is not reachable, netbiosd is shutting down",32
24,32,2d0d617f,24,254,CCFile::captureLogRun() Exiting CCFile::captureLogRun,33
25,35,19147422,25,175,<*> deny network-outbound <*>,36
26,36,92121a91,26,69,<*> Resuming AWDL,37
27,37,55561498,27,154,ARPT: <*> wl0: MDNS: IPV6 Addr: <*>,38
28,38,de1b8e5e,28,28,AirPort: Link Up on en0,39
29,41,9cdbf8d2,29,39,Sandbox: <*> network-outbound <*>,42
30,43,46365224,30,156,ARPT: <*> WWEN[enable],44
