EventId,EventTemplate,Occurrences
bd2f529c,"<*> ""GET <*>HTTP<*>status: <*> len: <*> time: <*>.<*>",930
7bc5d64e,Active base files: /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,81
d7d096ad,"image <*>dd<*>-<*>c<*>-<*>fbb-<*>c<*>-<*>fbe<*>b<*> at (<*>in use: on this node <*> local, <*> on other nodes sharing this instance storage",81
8970be39,image <*>dd<*>-<*>c<*>-<*>fbb-<*>c<*>-<*>fbe<*>b<*> at (<*>checking,81
e7c5c93a,"<*> ""POST <*>HTTP<*>status: <*> len: <*> time: <*>.<*>",63
a7a4ff84,Unknown base file: /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,29
6a30fe6e,Removable base files: /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,29
6206c58c,[instance: <*> Took <*> seconds to build instance.,22
944eaae0,[instance: <*> Took <*> seconds to spawn the instance on the hypervisor.,22
11014179,[instance: <*> Instance spawned successfully.,22
16f9f039,Creating event <*> for instance <*>,22
a44f2c0c,[instance: <*> During sync_power_state the instance has a pending task (spawning). Skip.,22
17cee22d,[instance: <*> VM Started (Lifecycle Event),22
66acd71e,HTTP exception thrown: No instances found for any event,21
b07a374b,"<*> ""DELETE <*>HTTP<*>status: <*> len: <*> time: <*>.<*>",21
a18e4187,"[instance: <*> Total memory: <*> MB, used: <*> MB",21
7c13f9ad,"[instance: <*> Total disk: <*> GB, used: <*> GB",21
9981588e,[instance: <*> Took <*> seconds to deallocate network for instance.,21
61ff7648,[instance: <*> Deletion of <*> complete,21
b81be278,[instance: <*> Deleting instance files <*>,21
60c42758,"[instance: <*> Attempting claim: memory <*> MB, disk <*> GB, vcpus <*> CPU",21
8b0cbaf4,"[instance: <*> disk limit not specified, defaulting to unlimited",21
2ab23ae3,[instance: <*> Claim successful,21
f5f5f70f,Removing base or swap file: /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,20
304a219c,Auditing locally available compute resources for node cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us,14
f436579e,"Total usable vcpus: <*>, total allocated vcpus: <*>",14
5935193a,Final resource view: name=cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us phys_ram=<*>MB used_ram=<*>MB phys_disk=<*>GB used_disk=<*>GB total_vcpus=<*> used_vcpus=<*> pci_stats=[],14
9d6775a4,Compute_service record updated for cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us:cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us,14
13866240,Base or swap file too young to remove: /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,8
a8257450,[instance: <*>e<*>cc<*>f-<*>cb<*>-<*>d<*>-<*>c-f<*>a<*>d<*>f<*>c<*>] VM <*> (Lifecycle Event),4
