low_row_index,mapped_drain_index,drain_eventid,uni_row_index,uni_eventid_original,uni_eventtemplate,drain_LineId
0,0,bd2f529c,0,14,10.11.10.1 <*> status: <*> len: <*> time: <*>,1
1,6,8068b26f,1,11,[instance: <*> VM Started (Lifecycle Event),7
2,8,3afc63a5,2,26,[instance: <*> During sync_power_state the instance has a pending task (spawning). Skip.,9
3,11,8970be39,3,16,image <*> at <*> checking,12
4,12,d7d096ad,4,0,"image <*> at <*> in use: on this node <*> local, <*> on other nodes sharing this instance storage",13
5,13,7bc5d64e,5,28,Active base files: <*>,14
6,20,16f9f039,6,24,Creating event <*> for instance <*>,21
7,21,e7c5c93a,7,30,"<*> ""POST <*> status: <*> len: <*> time: <*>",22
8,23,71bd50f3,8,23,[instance: <*> Instance spawned successfully.,24
9,24,5cc17dae,9,31,[instance: <*> Took <*> seconds to spawn the instance on the hypervisor.,25
10,29,f98bbe57,10,17,[instance: <*> Took <*> seconds to build instance.,30
11,33,304a219c,11,29,Auditing locally available compute resources for node <*>,34
12,34,f436579e,12,1,Total usable vcpus: <*> total allocated vcpus: <*>,35
13,35,5935193a,13,25,Final resource view: <*> pci_stats=[],36
14,36,9d6775a4,14,20,Compute_service record updated for <*>,37
15,44,b07a374b,15,19,"<*> ""DELETE <*> status: <*> len: <*> time: <*>",45
16,46,f805aa5e,16,5,[instance: <*> Terminating instance,47
17,50,8abec95e,17,15,[instance: <*> Deleting instance files <*>,51
18,51,000f9337,18,6,[instance: <*> Deletion of <*> complete,52
19,54,70efa87f,19,32,[instance: <*> Took <*> seconds to deallocate network for instance.,55
20,56,a7a4ff84,20,21,Unknown base file: <*>,57
21,57,6a30fe6e,21,33,Removable base files: <*>,58
22,58,f5f5f70f,22,3,Removing base or swap file: <*>,59
23,59,66acd71e,23,27,HTTP exception thrown: No instances found for any event,60
24,63,aa780d87,24,4,"[instance: <*> Attempting claim: memory <*> MB, disk <*> GB, vcpus <*> CPU",64
25,64,c16e0b8a,25,8,"[instance: <*> Total memory: <*> MB, used: <*> MB",65
26,66,de4e8cbf,26,13,"[instance: <*> Total disk: <*> GB, used: <*> GB",67
27,67,a6adbd82,27,7,"[instance: <*> disk limit not specified, defaulting to unlimited",68
28,70,005b9f41,28,12,[instance: <*> Claim successful,71
29,91,6c8466b8,29,11,[instance: <*> VM Started (Lifecycle Event),92
30,93,80ff1ab5,30,26,[instance: <*> During sync_power_state the instance has a pending task (spawning). Skip.,94
31,113,0e9094e0,31,23,[instance: <*> Instance spawned successfully.,114
32,114,c161423c,32,31,[instance: <*> Took <*> seconds to spawn the instance on the hypervisor.,115
33,117,01b41746,33,17,[instance: <*> Took <*> seconds to build instance.,118
34,123,732653ea,34,2,Successfully synced instances from host <*>,124
35,139,535d418b,35,10,Running instance usage audit for host <*> from <*> to <*> instances.,140
36,141,4ffcf4e8,36,15,[instance: <*> Deleting instance files <*>,142
37,142,5f08293e,37,6,[instance: <*> Deletion of <*> complete,143
38,145,cccbe73b,38,32,[instance: <*> Took <*> seconds to deallocate network for instance.,146
39,154,bd00e0e9,39,4,"[instance: <*> Attempting claim: memory <*> MB, disk <*> GB, vcpus <*> CPU",155
40,155,256e1127,40,8,"[instance: <*> Total memory: <*> MB, used: <*> MB",156
41,157,80f68b2b,41,13,"[instance: <*> Total disk: <*> GB, used: <*> GB",158
42,158,b8a88bd6,42,7,"[instance: <*> disk limit not specified, defaulting to unlimited",159
43,161,e2f085e6,43,12,[instance: <*> Claim successful,162
44,189,7708177a,44,11,[instance: <*> VM Started (Lifecycle Event),190
45,191,65d180af,45,26,[instance: <*> During sync_power_state the instance has a pending task (spawning). Skip.,192
46,206,786a91de,46,23,[instance: <*> Instance spawned successfully.,207
47,207,a56eae48,47,31,[instance: <*> Took <*> seconds to spawn the instance on the hypervisor.,208
48,210,c64e9a6f,48,17,[instance: <*> Took <*> seconds to build instance.,211
49,229,f14c5abf,49,15,[instance: <*> Deleting instance files <*>,230
50,230,6f56d452,50,6,[instance: <*> Deletion of <*> complete,231
51,233,e9d0784d,51,32,[instance: <*> Took <*> seconds to deallocate network for instance.,234
52,239,13866240,52,9,Base or swap file too young to remove: <*>,240
53,245,7590ec79,53,4,"[instance: <*> Attempting claim: memory <*> MB, disk <*> GB, vcpus <*> CPU",246
54,246,5c7850e2,54,8,"[instance: <*> Total memory: <*> MB, used: <*> MB",247
55,248,649e86f7,55,13,"[instance: <*> Total disk: <*> GB, used: <*> GB",249
56,249,5df477ea,56,7,"[instance: <*> disk limit not specified, defaulting to unlimited",250
57,252,4fe0a741,57,12,[instance: <*> Claim successful,253
58,277,969d3364,58,11,[instance: <*> VM Started (Lifecycle Event),278
59,280,35dde0d1,59,26,[instance: <*> During sync_power_state the instance has a pending task (spawning). Skip.,281
60,296,6ce9a7c1,60,23,[instance: <*> Instance spawned successfully.,297
61,297,2605f93b,61,31,[instance: <*> Took <*> seconds to spawn the instance on the hypervisor.,298
62,300,eda188bf,62,17,[instance: <*> Took <*> seconds to build instance.,301
63,320,bbcd9e5a,63,15,[instance: <*> Deleting instance files <*>,321
64,321,e08a3401,64,6,[instance: <*> Deletion of <*> complete,322
65,324,e57c7fa8,65,32,[instance: <*> Took <*> seconds to deallocate network for instance.,325
66,336,eadb12e0,66,4,"[instance: <*> Attempting claim: memory <*> MB, disk <*> GB, vcpus <*> CPU",337
67,337,ef553333,67,8,"[instance: <*> Total memory: <*> MB, used: <*> MB",338
68,339,ed76bf1b,68,13,"[instance: <*> Total disk: <*> GB, used: <*> GB",340
69,340,5c7643a5,69,7,"[instance: <*> disk limit not specified, defaulting to unlimited",341
70,343,56aac259,70,12,[instance: <*> Claim successful,344
71,364,4a70bfeb,71,11,[instance: <*> VM Started (Lifecycle Event),365
72,367,79d153de,72,26,[instance: <*> During sync_power_state the instance has a pending task (spawning). Skip.,368
73,384,f3a905f0,73,23,[instance: <*> Instance spawned successfully.,385
74,385,1441b454,74,31,[instance: <*> Took <*> seconds to spawn the instance on the hypervisor.,386
75,390,55451064,75,17,[instance: <*> Took <*> seconds to build instance.,391
76,413,7cf51959,76,15,[instance: <*> Deleting instance files <*>,414
77,414,ae14661e,77,6,[instance: <*> Deletion of <*> complete,415
78,417,565b21c4,78,32,[instance: <*> Took <*> seconds to deallocate network for instance.,418
79,433,f8d97fcb,79,4,"[instance: <*> Attempting claim: memory <*> MB, disk <*> GB, vcpus <*> CPU",434
80,434,8bf9e8e0,80,8,"[instance: <*> Total memory: <*> MB, used: <*> MB",435
81,436,3e7493a4,81,13,"[instance: <*> Total disk: <*> GB, used: <*> GB",437
82,437,312a2157,82,7,"[instance: <*> disk limit not specified, defaulting to unlimited",438
83,440,0764a0e7,83,12,[instance: <*> Claim successful,441
84,464,a8257450,84,11,[instance: <*> VM Started (Lifecycle Event),465
85,467,af3d2ec8,85,26,[instance: <*> During sync_power_state the instance has a pending task (spawning). Skip.,468
86,481,f0b190b5,86,23,[instance: <*> Instance spawned successfully.,482
87,482,d34a1812,87,31,[instance: <*> Took <*> seconds to spawn the instance on the hypervisor.,483
88,485,d81308f4,88,17,[instance: <*> Took <*> seconds to build instance.,486
89,499,184964e0,89,15,[instance: <*> Deleting instance files <*>,500
90,500,cfbf2f9a,90,6,[instance: <*> Deletion of <*> complete,501
91,505,6fad0bd4,91,32,[instance: <*> Took <*> seconds to deallocate network for instance.,506
92,515,36c8168a,92,4,"[instance: <*> Attempting claim: memory <*> MB, disk <*> GB, vcpus <*> CPU",516
93,516,11fb6a5b,93,8,"[instance: <*> Total memory: <*> MB, used: <*> MB",517
94,518,7b7a4ed6,94,13,"[instance: <*> Total disk: <*> GB, used: <*> GB",519
95,519,733790f8,95,7,"[instance: <*> disk limit not specified, defaulting to unlimited",520
96,522,22dde80f,96,12,[instance: <*> Claim successful,523
97,546,d21fe1db,97,11,[instance: <*> VM Started (Lifecycle Event),547
98,549,a2720818,98,26,[instance: <*> During sync_power_state the instance has a pending task (spawning). Skip.,550
99,569,7b12cfa1,99,23,[instance: <*> Instance spawned successfully.,570
100,570,6e92053b,100,31,[instance: <*> Took <*> seconds to spawn the instance on the hypervisor.,571
101,573,9b70c7ef,101,17,[instance: <*> Took <*> seconds to build instance.,574
102,592,1ec3df98,102,15,[instance: <*> Deleting instance files <*>,593
103,593,ee751829,103,6,[instance: <*> Deletion of <*> complete,594
104,596,c585bb16,104,32,[instance: <*> Took <*> seconds to deallocate network for instance.,597
105,608,619872ee,105,4,"[instance: <*> Attempting claim: memory <*> MB, disk <*> GB, vcpus <*> CPU",609
106,609,398732e9,106,8,"[instance: <*> Total memory: <*> MB, used: <*> MB",610
107,611,f2645eab,107,13,"[instance: <*> Total disk: <*> GB, used: <*> GB",612
108,612,8c5e76ba,108,7,"[instance: <*> disk limit not specified, defaulting to unlimited",613
109,615,f11cab63,109,12,[instance: <*> Claim successful,616
110,639,36ef4b8d,110,11,[instance: <*> VM Started (Lifecycle Event),640
111,641,7e1123f4,111,26,[instance: <*> During sync_power_state the instance has a pending task (spawning). Skip.,642
112,654,41c623ba,112,18,The instance sync for host <*> did not match. Re-created its InstanceList.,655
113,660,421a018c,113,23,[instance: <*> Instance spawned successfully.,661
114,661,e17abb44,114,31,[instance: <*> Took <*> seconds to spawn the instance on the hypervisor.,662
115,666,a5e85223,115,17,[instance: <*> Took <*> seconds to build instance.,667
116,688,21901094,116,15,[instance: <*> Deleting instance files <*>,689
117,689,4be45bb0,117,6,[instance: <*> Deletion of <*> complete,690
118,692,3a4bd817,118,32,[instance: <*> Took <*> seconds to deallocate network for instance.,693
119,708,f05bde5c,119,4,"[instance: <*> Attempting claim: memory <*> MB, disk <*> GB, vcpus <*> CPU",709
120,709,d2d5dc89,120,8,"[instance: <*> Total memory: <*> MB, used: <*> MB",710
121,711,226ee9a4,121,13,"[instance: <*> Total disk: <*> GB, used: <*> GB",712
122,712,07ca3863,122,7,"[instance: <*> disk limit not specified, defaulting to unlimited",713
123,715,ce30162b,123,12,[instance: <*> Claim successful,716
124,736,42d95fbd,124,11,[instance: <*> VM Started (Lifecycle Event),737
125,738,5662b44f,125,26,[instance: <*> During sync_power_state the instance has a pending task (spawning). Skip.,739
126,756,01a37b01,126,23,[instance: <*> Instance spawned successfully.,757
127,757,9bb168c4,127,31,[instance: <*> Took <*> seconds to spawn the instance on the hypervisor.,758
128,760,0bbdf7a7,128,17,[instance: <*> Took <*> seconds to build instance.,761
129,777,b64db88b,129,15,[instance: <*> Deleting instance files <*>,778
130,778,efc42737,130,6,[instance: <*> Deletion of <*> complete,779
131,781,24c75b0a,131,32,[instance: <*> Took <*> seconds to deallocate network for instance.,782
132,793,7201e1ad,132,4,"[instance: <*> Attempting claim: memory <*> MB, disk <*> GB, vcpus <*> CPU",794
133,794,c72f54c7,133,8,"[instance: <*> Total memory: <*> MB, used: <*> MB",795
134,796,25b9a526,134,13,"[instance: <*> Total disk: <*> GB, used: <*> GB",797
135,797,b7c3b5e3,135,7,"[instance: <*> disk limit not specified, defaulting to unlimited",798
