EventId,EventTemplate,Occurrences
56ab45ba,<*> open through proxy <*> HTTPS,954
dff2fdce,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",354
0dc9f004,"<*> close, <*> bytes (<*> <*>) sent, <*> bytes <*> <*>) received, lifetime <*>",299
562370b9,"<*> close, <*> bytes sent, <*> bytes (<*> <*>) received, lifetime <*>",161
3ced113c,"<*> close, <*> bytes (<*> <*>) sent, <*> bytes received, lifetime <*>",120
cb4cfc43,<*> error : A connection request was canceled before the completion.,31
89c754fa,<*> error : Could not connect to proxy <*> - connection attempt failed with error 10061,25
00188feb,<*> error : Could not connect to proxy <*> - Could not resolve <*> error 11001,19
2b71c77d,"<*> error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code <*>",17
bd37133d,<*> error : Could not connect through proxy <*> - Proxy closed the connection unexpectedly.,3
b1fe74a1,<*> open through proxy <*> SOCKS5,2
7ee9a59a,"<*> close, <*> bytes <*> KB) sent, <*> bytes <*> KB) received, lifetime <*>",1
6bedeeba,<*> error : Could not connect to proxy <*> - connection attempt failed with error <*>,1
c7052d0a,<*> error : Could not connect to proxy <*> - Could not resolve <*> error <*>,1
8e7ba661,"<*> close, <*> bytes (151 KB) sent, <*> bytes <*> KB) received, lifetime <*>",1
eacd6090,"<*> close, <*> bytes sent, <*> bytes <*> KB) received, lifetime <*>",1
a40bb140,"<*> close, <*> bytes <*> <*>) sent, <*> bytes (<*> <*>) received, lifetime <*>",1
df340a34,"<*> close, <*> bytes <*> KB) sent, 815 bytes received, lifetime <1 sec",1
67a81f07,"<*> close, 588 bytes sent, 215882 bytes <*> KB) received, lifetime <*>",1
f1ce655f,"<*> close, <*> bytes <*> KB) sent, 1671 bytes <*> KB) received, lifetime <*>",1
b701120f,"<*> close, 983 bytes sent, <*> bytes <*> <*>) received, lifetime <*>",1
ff04907e,"<*> close, 983 bytes sent, <*> bytes <*> KB) received, lifetime <*>",1
ab960c02,"<*> close, 0 bytes sent, 0 bytes received, lifetime <*>",1
00243462,"<*> close, 466 bytes sent, 125682 bytes (122 KB) received, lifetime <1 sec",1
aef2dbe7,"<*> close, <*> bytes sent, 18846 bytes <*> KB) received, lifetime <1 sec",1
743a1cae,"<*> close, 326 bytes sent, <*> bytes <*> KB) received, lifetime <*>",1
