EventId,EventTemplate,Occurrences
15498983,Times: total = <*> boot = <*> init = <*> finish = <*>,375
9ba7fdc2,Got assigned task <*>,305
ae0572db,Running task <*> in stage <*> (TID <*>,305
33da0487,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,300
d7f24216,Found block <*> locally,257
7d93e8ed,Block <*> stored as bytes in memory (estimated size <*> free <*> KB),149
3d6e0eb0,"Partition <*> not found, computing it",75
f1a8cca8,Input split: <*>,45
6c90e140,Started reading broadcast variable <*>,37
c0edc03b,Reading broadcast variable <*> took <*> ms,37
9a5790d1,<*> Committed,30
a899e693,File Output Committer Algorithm version is <*>,30
e967b817,Saved output of task <*> to <*>,30
7bb9d001,"Changing view acls to: yarn,curi",4
29bc3dfc,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",2
f5a68e94,Successfully started service 'sparkExecutorActorSystem' on port <*>,2
a352752c,Server created on <*>,1
b923f8c3,Slf4jLogger started,1
e4c5fa8f,"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",1
ab59d05a,MemoryStore started with capacity <*> GB,1
e99571c6,Starting remoting,1
06cc9899,Connecting to driver: <*>,1
9ffef012,Created local directory at <*>,1
932c104e,Registered signal handlers for <*> INT],1
8671f9ed,"mapred.tip.id is deprecated. Instead, use mapreduce.task.id",1
863158e5,"mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id",1
6e5305e4,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",1
5a5c5838,Successfully registered with driver,1
508e4f7f,Starting executor ID <*> on host <*>,1
27a2a4ad,Remoting started; listening on addresses <*>,1
1c507e44,Registered BlockManager,1
17f432d4,Trying to register BlockManager,1
8ae18a42,"mapred.job.id is deprecated. Instead, use mapreduce.job.id",1
