EventId,EventTemplate,Occurrences
6391d957,data_thread() got not answer from any <*> datasource,819
ef226888,synchronized to <*> stratum <*>,568
1cfe3a76,<*> ********************** NEW SWEEP ********************,62
9db750e6,<*> No configuration change required,62
eb0cfa2a,<*> No topology change,62
3be46d32,session closed for user root,24
5947eee3,(root) CMD (run-parts <*>,19
095f4872,session opened for user root by <*>,19
f4ef1422,Reading included configuration file: <*>,17
49f6bba5,removing chargen,16
c2ff3b1b,DHCPDISCOVER from <*> via eth1: network A_net: no free leases,15
eb02d8a9,"PCI interrupt <*> -> GSI <*> (level, low) -> IRQ <*>",11
f3156356,PCI Interrupt Routing Table <*>,10
33823f8f,<*> Connection refused by <*>,10
23929b89,<*>,10
fadd4d28,unable to qualify my own domain name <*> -- using short name,10
f64bd41d,RRD_update <*> illegal attempt to update using time <*> when last update time is <*> (minimum one second step),10
3bd3ed69,DHCPREQUEST for <*> from <*> via eth1: unknown lease <*>,9
708630cc,Wait for ready failed before probe !,6
c5862456,"Trace cache: <*> uops, L1 D cache: <*>",5
c47c3599,Registered protocol family <*>,5
182a3d2f,My unqualified host name <*> unknown; sleeping for retry,5
e0625398,DHCPOFFER on <*> to <*> via eth1,5
b35e89c2,DHCPDISCOVER from <*> via eth1,5
7c7ba3fe,PCI Interrupt Link <*> (IRQs <*> disabled.,5
ee83b678,Physical Processor ID: <*>,5
9ee8ca01,<*> cache: <*>,5
460b8859,LAPIC <*> enabled),4
712fbe4d,Processor <*> (supports C1),4
a56daf2e,(C) <*> Netfilter core team,4
2bd14d50,LAPIC_NMI <*> high edge <*>,4
a4430800,registered new driver hiddev,4
4cf08297,DHCPREQUEST for <*> from <*> via eth1,3
f2f7a33e,connection lost: 'Connection closed.',3
880f1546,Local disconnected: Connection closed.,3
a0162353,mounted filesystem with ordered data <*>,3
848d9c3a,<*> used by <*>,3
81d6fba7,apic_id <*> version <*> address <*> GSI <*>,3
61157a08,DHCPACK on <*> to <*> via eth1,3
cafdce56,not allocating divert_blk for non-ethernet device lo,2
6101631b,<*> (bus <*> bus_irq <*> global_irq <*> dfl dfl),2
eabf7ffa,<*> AUX port at <*> irq <*>,2
cd2a6bd5,<*> autorun <*>,2
565e71b1,<*> Intel(R) <*> Network Connection,2
b42be2bb,Now running on <*>,2
b3dc57c4,allocating divert_blk for <*>,2
9b1751bd,succeeded,2
8a9afe3f,User <*> coming from <*> authenticated.,2
953a8d97,Autodetecting RAID arrays.,2
99132f5d,kernel time sync disabled <*>,2
7ce70afa,autorun <*>,2
ff635931,Using IOAPIC for interrupt routing,2
3735007d,connection from <*>,2
0d5ddf5d,PCI Interrupt Link <*> (IRQs <*>,2
25a072d1,Warning: we failed to resolve data source name <*> an18 <*> an78 <*> an81 <*> an87 an88 <*>,2
144d91a4,Mounting NFS filesystems: succeeded,2
4e48601f,Registering netfilter hooks,1
c3fac8e7,Using <*> MHz <*> timer.,1
1d7c8312,RNG not detected,1
1a2ac521,Creating Topspin <*> entries:,1
c59678c6,Warning: we failed to resolve data source name <*>,1
c87fe378,Hash tables configured (established <*> bind <*>,1
c648b2ba,syslog-ng version <*> starting,1
c9d8cba9,probe new device <*> bus 2:slot <*>,1
18455a45,Warning: we failed to resolve data source name <*>,1
cb9d44d1,<*> ak Exp $,1
cc3d2433,Warning: we failed to resolve data source name <*>,1
cccb11e7,Warning: we failed to resolve data source name <*>,1
2188fc64,Interpreter enabled,1
beef2512,Direct-Access ANSI SCSI revision: <*>,1
bfcd95ed,Installing public key data,1
cdb4bef8,Warning: we failed to resolve data source name <*> cn788 <*> cn818 <*> cn878 <*> cn881 <*> cn888 <*>,1
b82099c6,IOAPIC <*>,1
b79ffc59,Disabled at runtime.,1
b6fc3d7a,Warning: we failed to resolve data source name <*>,1
b6d701a5,colour VGA+ <*>,1
b5659518,Warning: we failed to resolve data source name <*> cn18 <*> cn78 <*> cn81 <*> cn88 <*>,1
22c1c2b6,"routing cache hash table of <*> buckets, <*>",1
25830347,rpc.statd startup succeeded,1
a9781187,Local APIC address <*>,1
a8b7eb25,error: Bind to port <*> on <*> failed: Address already in <*>,1
a60bce0b,Using MMCONFIG at <*>,1
25ea518d,Starting in permissive mode,1
a48a4202,<*> sda2 <*>,1
177da6c1,Warning: we failed to resolve data source name <*> bn818 <*> bn888 <*>,1
d5dd09eb,Warning: we failed to resolve data source name <*> an188 <*>,1
d5980a9c,PCI Root Bridge <*>,1
1284c498,Warning: we failed to resolve data source name <*>,1
04ea23b0,Power Button (FF) <*>,1
f927eeab,Using software bounce buffering for IO <*>,1
f80ebcf5,<*> DELL PE BKC <*> MSFT <*> @ <*>,1
f65d1522,RRD_update <*> illegal attempt to update using time <*> when last update time is <*> (minimum one second step),1
089f18f6,<*> HID core driver,1
f522ad29,Warning: we failed to resolve data source name <*> bn81 <*> bn88 <*>,1
09f718ce,xinetd startup succeeded,1
f36e8103,<*>,1
0add0991,Warning: we failed to resolve data source name <*>,1
0b137edc,MCFG <*> DELL PE BKC <*> MSFT <*> @ <*>,1
f251fb42,Warning: we failed to resolve data source name <*> an788 <*> an818 <*> an878 <*> an881 <*> an887 an888 <*>,1
0d65fce7,SPCR <*> DELL PE BKC <*> MSFT <*> @ <*>,1
edcddc07,Warning: we failed to resolve data source name <*>,1
13481907,Mounted root <*> filesystem).,1
a3b3ca94,Using configuration type <*>,1
e8ca34b7,Using <*> based timekeeping.,1
e80ba886,<*> tftp <*>,1
e7fc75d3,scanning scsi channel <*> for logical drives,1
e7db57c4,syslog-ng startup succeeded,1
e7cc2496,<*> fastboot <*>,1
e652840d,Server listening on :: port <*>,1
e5fe6b9c,Assuming <*> system bus speed for PIO modes; override with <*>,1
e594c23b,<*> initialised: <*>,1
e3539859,Unregistering netfilter hooks,1
16483862,no floppy controllers found,1
dd13dd64,Warning: we failed to resolve data source name <*>,1
d89e5477,time reset <*> s,1
d71f6b17,RSDT <*> DELL PE BKC <*> MSFT <*> @ <*>,1
264d5edd,gmetad startup succeeded,1
a2351676,<*> mouse device common for all mice,1
4e6045e6,<*> (Release Date: Fri Dec <*> EST <*>,1
a0545d96,Warning: we failed to resolve data source name <*>,1
7461ee05,Warning: we failed to resolve data source name <*>,1
73ed15a4,Warning: we failed to resolve data source name <*>,1
3956ae6c,<*> (Kernel Module GPG key),1
712394d8,Cannot open file <*> for writing (No such file or directory),1
3c74f147,<*> DELL PE BKC <*> MSFT <*> @ <*>,1
6f83c3f4,Warning: we failed to resolve data source name <*>,1
6be61616,Intel(R) <*> CPU <*> stepping <*>,1
6b5e49ed,<*> NIC Link is Up <*> Mbps Full Duplex,1
6a604788,asking for cache data failed,1
67a28f15,<*> Model: <*> SCSI BP Rev: <*>,1
657e921e,IOAPIC <*>,1
3f023526,xinetd Version <*> started with libwrap loadavg options compiled <*>,1
61ddf178,(supports <*>,1
491b5cf3,<*>,1
4d12f6fa,assuming drive cache: write through,1
5f09be64,Warning: we failed to resolve data source name <*>,1
5d2be451,PCI Interrupt Link <*> (IRQs <*>,1
5c218f8e,Warning: we failed to resolve data source name <*>,1
5b4fee34,Processor ANSI SCSI revision: <*>,1
4d20657c,Received SNMP packet(s) from <*>,1
5833a967,Device: <*> Temperature changed <*> Celsius to <*> Celsius since last report,1
5742405a,Warning: we failed to resolve data source name <*>,1
56c8a3e3,<*> DELL PE BKC <*> MSFT <*> @ <*>,1
4d427333,Warning: we failed to resolve data source name <*>,1
54f6f651,Warning: we failed to resolve data source name <*> cn188 <*>,1
5340900e,Warning: we failed to resolve data source name <*>,1
52f5ac8e,Warning: we failed to resolve data source name <*> dn188 <*>,1
4fb9993c,Transparent bridge - <*>,1
4e8904d6,fw <*> bios <*>,1
74a25d6b,MegaRAID Model: LD <*> Rev: <*>,1
75765837,Disk quotas <*>,1
79af7456,Changing permissions on special file <*>,1
8c112e82,Version <*> Starting,1
2752726e,probe of <*> failed with error <*>,1
9f2ec7ba,md driver <*>,1
9f26ab18,Warning: we failed to resolve data source name <*>,1
279d4fa2,Unknown cmd <*> on <*>,1
2d44d780,Starting ts_fixup: succeeded,1
2db65c57,Detected <*> MHz processor.,1
2f758fc3,PCI Hot Plug PCI Core version: <*>,1
98467215,<*> DELL PE BKC <*> MSFT <*> @ <*>,1
30c0ff51,Registering secondary module capability,1
9460c3d1,scanning scsi channel <*> [Phy <*> for non-raid devices,1
91f4af36,Compressed image found at block <*>,1
8d48c09b,Warning: we failed to resolve data source name <*>,1
8c1f7859,Warning: we failed to resolve data source name <*> dn18 <*> dn78 <*> dn81 <*> dn87 dn88 <*>,1
8bd4b5f8,initializing netlink socket (disabled),1
7a555835,Probing PCI hardware (bus <*>,1
324936f2,Warning: we failed to resolve data source name <*> dn788 <*> dn818 <*> dn878 <*> dn881 <*> dn888 <*>,1
33336686,Warning: we failed to resolve data source name <*>,1
84d10a1e,initialized,1
37026deb,<*> id: <*> base: <*>,1
836ea819,Subsystem revision <*>,1
7f533fb9,Initializing.,1
7f146802,LSI Logic MegaRAID driver,1
7d73b4c5,portmap startup succeeded,1
019bb08c,Warning: we failed to resolve trusted host name <*>,1
7cb0fa8a,Warning: we failed to resolve data source name <*>,1
37f6c5f9,<*> (Release Date: Mon Sep <*>,1
7c08ee8a,IOAPIC <*>,1
7be80732,RSDP <*> DELL ) @ <*>,1
0188b48f,Started working: <*> available service,1
