low_row_index,mapped_drain_index,drain_eventid,uni_row_index,uni_eventid_original,uni_eventtemplate,drain_LineId
0,0,3be46d32,0,95,session closed for user root,1
1,1,095f4872,1,31,session opened for user root by <*>,2
2,2,5947eee3,2,58,(root) CMD (run-parts <*>,3
3,39,6391d957,3,60,data_thread() got not answer from any <*> datasource,40
4,45,ef226888,4,63,synchronized to <*> stratum <*>,46
5,55,1cfe3a76,5,15,<*> ********************** NEW SWEEP ********************,56
6,62,eb0cfa2a,6,96,<*> No topology change,63
7,63,9db750e6,7,29,<*> No configuration change required,64
8,73,880f1546,8,88,Local disconnected: Connection closed.,74
9,74,f2f7a33e,9,57,connection lost: 'Connection closed.',75
10,95,fadd4d28,10,83,unable to qualify my own domain name <*> -- using short name,96
11,97,23929b89,11,46,<*>,98
12,98,33823f8f,12,8,<*> Connection refused by <*>,99
13,127,b35e89c2,13,115,DHCPDISCOVER from <*> via eth1,128
14,128,e0625398,14,6,DHCPOFFER on <*> to <*> via eth1,129
15,131,c2ff3b1b,15,40,DHCPDISCOVER from <*> via eth1: network A_net: no free leases,132
16,138,61157a08,16,79,DHCPACK on <*> to <*> via eth1,139
17,139,4cf08297,17,25,DHCPREQUEST for <*> from <*> via eth1,140
18,140,e80ba886,18,117,<*> tftp <*>,141
19,141,3bd3ed69,19,53,DHCPREQUEST for <*> from <*> via eth1: unknown lease <*>,142
20,403,f64bd41d,20,84,RRD_update <*> illegal attempt to update using time <*> when last update time is <*> (minimum one second step),404
21,458,99132f5d,21,12,kernel time sync disabled <*>,459
22,459,d89e5477,22,51,time reset <*> s,460
23,565,4d20657c,23,42,Received SNMP packet(s) from <*>,566
24,1161,182a3d2f,24,108,My unqualified host name <*> unknown; sleeping for retry,1162
25,1181,3956ae6c,25,146,<*> (Kernel Module GPG key),1182
26,1182,61ddf178,26,129,(supports <*>,1183
27,1183,f80ebcf5,27,82,<*> DELL PE BKC <*> MSFT <*> @ <*>,1184
28,1184,98467215,28,82,<*> DELL PE BKC <*> MSFT <*> @ <*>,1185
29,1185,56c8a3e3,29,82,<*> DELL PE BKC <*> MSFT <*> @ <*>,1186
30,1186,37026deb,30,128,<*> id: <*> base: <*>,1187
31,1187,6101631b,31,77,<*> (bus <*> bus_irq <*> global_irq <*> dfl dfl),1188
32,1189,657e921e,32,89,IOAPIC <*>,1190
33,1190,7c08ee8a,33,89,IOAPIC <*>,1191
34,1191,b82099c6,34,89,IOAPIC <*>,1192
35,1192,848d9c3a,35,43,<*> used by <*>,1193
36,1195,2188fc64,36,35,Interpreter enabled,1196
37,1196,460b8859,37,149,LAPIC <*> enabled),1197
38,1200,2bd14d50,38,18,LAPIC_NMI <*> high edge <*>,1201
39,1204,a9781187,39,19,Local APIC address <*>,1205
40,1205,3c74f147,40,82,<*> DELL PE BKC <*> MSFT <*> @ <*>,1206
41,1206,0b137edc,41,151,MCFG <*> DELL PE BKC <*> MSFT <*> @ <*>,1207
42,1207,0d5ddf5d,42,109,PCI Interrupt Link <*> (IRQs <*>,1208
43,1208,5d2be451,43,109,PCI Interrupt Link <*> (IRQs <*>,1209
44,1210,7c7ba3fe,44,148,PCI Interrupt Link <*> (IRQs <*> disabled.,1211
45,1215,f3156356,45,21,PCI Interrupt Routing Table <*>,1216
46,1225,d5980a9c,46,45,PCI Root Bridge <*>,1226
47,1226,eb02d8a9,47,126,"PCI interrupt <*> -> GSI <*> (level, low) -> IRQ <*>",1227
48,1237,04ea23b0,48,134,Power Button (FF) <*>,1238
49,1238,712fbe4d,49,62,Processor <*> (supports C1),1239
50,1242,7be80732,50,73,RSDP <*> DELL ) @ <*>,1243
51,1243,d71f6b17,51,97,RSDT <*> DELL PE BKC <*> MSFT <*> @ <*>,1244
52,1244,0d65fce7,52,22,SPCR <*> DELL PE BKC <*> MSFT <*> @ <*>,1245
53,1245,836ea819,53,4,Subsystem revision <*>,1246
54,1246,ff635931,54,143,Using IOAPIC for interrupt routing,1247
55,1247,6be61616,55,86,Intel(R) <*> CPU <*> stepping <*>,1248
56,1248,9ee8ca01,56,70,<*> cache: <*>,1249
57,1253,ee83b678,57,74,Physical Processor ID: <*>,1254
58,1258,c5862456,58,130,"Trace cache: <*> uops, L1 D cache: <*>",1259
59,1263,b6d701a5,59,78,colour VGA+ <*>,1264
60,1264,a0162353,60,5,mounted filesystem with ordered data <*>,1265
61,1267,cb9d44d1,61,54,<*> ak Exp $,1268
62,1268,81d6fba7,62,30,apic_id <*> version <*> address <*> GSI <*>,1269
63,1271,22c1c2b6,63,103,"routing cache hash table of <*> buckets, <*>",1272
64,1272,2f758fc3,64,27,PCI Hot Plug PCI Core version: <*>,1273
65,1273,e7cc2496,65,101,<*> fastboot <*>,1274
66,1274,c47c3599,66,139,Registered protocol family <*>,1275
67,1278,f927eeab,67,1,Using software bounce buffering for IO <*>,1279
68,1279,7a555835,68,132,Probing PCI hardware (bus <*>,1280
69,1280,4fb9993c,69,104,Transparent bridge - <*>,1281
70,1282,a60bce0b,70,150,Using MMCONFIG at <*>,1283
71,1283,a3b3ca94,71,110,Using configuration type <*>,1284
72,1284,91f4af36,72,99,Compressed image found at block <*>,1285
73,1285,b79ffc59,73,85,Disabled at runtime.,1286
74,1286,7f533fb9,74,38,Initializing.,1287
75,1287,4e48601f,75,111,Registering netfilter hooks,1288
76,1288,25ea518d,76,102,Starting in permissive mode,1289
77,1289,e3539859,77,50,Unregistering netfilter hooks,1290
78,1290,c87fe378,78,2,Hash tables configured (established <*> bind <*>,1291
79,1291,beef2512,79,116,Direct-Access ANSI SCSI revision: <*>,1292
80,1292,5b4fee34,80,147,Processor ANSI SCSI revision: <*>,1293
81,1293,75765837,81,87,Disk quotas <*>,1294
82,1294,13481907,82,52,Mounted root <*> filesystem).,1295
83,1295,74a25d6b,83,41,MegaRAID Model: LD <*> Rev: <*>,1296
84,1296,67a28f15,84,140,<*> Model: <*> SCSI BP Rev: <*>,1297
85,1297,84d10a1e,85,44,initialized,1298
86,1298,8bd4b5f8,86,47,initializing netlink socket (disabled),1299
87,1299,f36e8103,87,46,<*>,1300
88,1300,e594c23b,88,120,<*> initialised: <*>,1301
89,1301,b3dc57c4,89,121,allocating divert_blk for <*>,1302
90,1303,cafdce56,90,23,not allocating divert_blk for non-ethernet device lo,1304
91,1304,089f18f6,91,93,<*> HID core driver,1305
92,1305,565e71b1,92,141,<*> Intel(R) <*> Network Connection,1306
93,1306,6b5e49ed,93,24,<*> NIC Link is Up <*> Mbps Full Duplex,1307
94,1308,16483862,94,124,no floppy controllers found,1309
95,1309,1d7c8312,95,7,RNG not detected,1310
96,1310,708630cc,96,145,Wait for ready failed before probe !,1311
97,1316,e5fe6b9c,97,56,Assuming <*> system bus speed for PIO modes; override with <*>,1317
98,1317,279d4fa2,98,71,Unknown cmd <*> on <*>,1318
99,1318,a56daf2e,99,32,(C) <*> Netfilter core team,1319
100,1322,bfcd95ed,100,94,Installing public key data,1323
101,1323,cd2a6bd5,101,65,<*> autorun <*>,1324
102,1325,953a8d97,102,75,Autodetecting RAID arrays.,1326
103,1327,7ce70afa,103,107,autorun <*>,1328
104,1329,9f2ec7ba,104,106,md driver <*>,1330
105,1330,4e6045e6,105,14,<*> (Release Date: Fri Dec <*> EST <*>,1331
106,1331,37f6c5f9,106,131,<*> (Release Date: Mon Sep <*>,1332
107,1332,4e8904d6,107,98,fw <*> bios <*>,1333
108,1333,c9d8cba9,108,123,probe new device <*> bus 2:slot <*>,1334
109,1334,a2351676,109,80,<*> mouse device common for all mice,1335
110,1335,491b5cf3,110,46,<*>,1336
111,1336,25830347,111,68,rpc.statd startup succeeded,1337
112,1337,7d73b4c5,112,113,portmap startup succeeded,1338
113,1338,2d44d780,113,122,Starting ts_fixup: succeeded,1339
114,1339,8c112e82,114,90,Version <*> Starting,1340
115,1340,7f146802,115,92,LSI Logic MegaRAID driver,1341
116,1341,9460c3d1,116,61,scanning scsi channel <*> [Phy <*> for non-raid devices,1342
117,1342,e7fc75d3,117,55,scanning scsi channel <*> for logical drives,1343
118,1343,6a604788,118,48,asking for cache data failed,1344
