EventId,EventTemplate,Occurrences
45a3ec5d,Interrupted while waiting for message on queue,314
9879a9ab,Received connection request <*>,299
036ce310,Connection broken for id <*> my id = <*> error =,291
273e53f2,Interrupting SendWorker,266
7a2ec7d0,Send worker leaving thread,262
1e7a3631,Cannot open channel to <*> at election address <*>,86
37ce0325,Established session <*> with negotiated timeout <*> for client <*>,50
abe76bf8,Accepted socket connection from <*>,48
61a003ea,Processed session termination for sessionid: <*>,47
c2a27ab9,Client attempting to renew session <*> at <*>,44
20d23992,Closed socket connection for client <*> which had sessionid <*>,44
f8c6d06b,Expiring session <*> timeout of <*> exceeded,40
1bc7bc65,Connection request from old client <*> will be dropped if server is in r-o mode,39
286299e2,Notification time out: <*>,37
ecefe136,caught end of stream exception,37
f311a57e,******* GOODBYE <*> ********,19
cd9a2201,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LEADING (n.state), <*> (n.sid), <*> (n.peerEPoch), LOOKING (my state)",12
0cf47064,Unexpected exception causing shutdown while sock still open,12
8dc08652,Server environment:user.dir=/,8
bed3680d,Closed socket connection for client <*> (no session established for client),4
00078e14,LOOKING,4
3204f3ff,autopurge.purgeInterval set to <*>,3
1caefedb,Revalidating client: <*>,3
ecf6827a,Exception causing close of session <*> due to java.io.IOException: ZooKeeperServer not running,3
a1237171,FOLLOWING - LEADER ELECTION TOOK - <*>,2
5bd1f197,minSessionTimeout set to <*>,2
4c5926a1,Getting a snapshot from leader,2
dfd8b545,Snapshotting: <*> to <*>,2
c172d526,FOLLOWING,2
d961f4e8,Server environment:java.vendor=Oracle Corporation,2
d459c04c,Starting quorum peer,1
4cbab665,My election bind port: <*>,1
ed297523,"Have smaller server identifier, so dropping the connection: <*>",1
e1caa208,New election. My id =  <*> proposed <*>,1
da7d60d2,tickTime set to <*>,1
8c716832,autopurge.snapRetainCount set to <*>,1
5e51912e,Follower sid: <*> : info : org.apache.zookeeper.server.quorum.QuorumPeer$QuorumServer@33557fe4,1
c7ef5ae9,shutdown of request processor complete,1
689b0f5e,maxSessionTimeout set to <*>,1
63d9783e,Unexpected Exception:,1
ae80a1f9,"Server environment:zookeeper.version=3.4.5--1, built on <*> GMT",1
a9459b27,Reading snapshot <*>,1
a3e8a36b,Have quorum of supporters; starting up and setting last processed zxid: <*>,1
9d86801d,Sending DIFF,1
9cb3def4,First is <*>,1
2a7add7e,Got user-level KeeperException when processing <*> type:create cxid:0x55b8bb0f <*> txntype:-1 reqpath:n/a Error Path:/home/curi/.zookeeper Error:KeeperErrorCode = NodeExists for /home/curi/.zookeeper,1
