EventId,EventTemplate
0,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>
1,Receiving block <*> src: <*> dest: <*>
2,Deleting block <*> file <*>
3,BLOCK* ask <*> to replicate <*> to datanode(s) <*>
4,<*> Served block <*> to <*>
5,<*> Starting thread to transfer block <*> to <*>
6,<*> exception while serving <*> to <*>
7,Verification succeeded for <*>
8,BLOCK* NameSystem.delete: <*> is added to invalidSet of <*>
9,BLOCK* NameSystem.allocateBlock: <*>
10,BLOCK* ask <*> to delete  <*>
11,PacketResponder <*> for block <*> terminating
12,Received block <*> src: <*> dest: <*> of size <*>
13,Received block <*> of size <*> from <*>
