Content,EventId,EventTemplate
Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),21,Component State Change: Component <*> is in the unavailable state <*>
clusterAddMember  (command 1902),14,clusterAddMember  (command <*>
risBoot  (command 1903),6,risBoot  (command <*>
bootGenvmunix  (command 1903),2,bootGenvmunix  (command <*>
boot  (command 1911),3,boot  (command <*>
wait  (command 1975),1,wait  (command <*>
halt  (command 1982),33,halt  (command <*>
Command has completed successfully,12,Command has completed successfully
Targeting domains:node-D3 and nodes:node-[104-127] child of command 1963,16,Targeting <*> and <*> child of command <*>
Targeting domains:node-D7 and nodes:node-[224\ 228\ 232],22,Targeting <*> and <*>
Targeting domains:node-D0 and nodes:node-0,22,Targeting <*> and <*>
Targeting domains:node-D[0\ 5] and nodes:node-[27\ 191],22,Targeting <*> and <*>
psu failure\ ambient=28,31,psu failure\ <*>
Temperature (41C) exceeds warning threshold,25,Temperature <*> exceeds warning threshold
ClusterFileSystem: There is no server for ServerFileSystem domain storage234,20,ClusterFileSystem: There is no server for ServerFileSystem domain <*>
NIFF: node node-69 detected a failed network connection on network 5.5.224.0 via interface alt0,28,NIFF: node <*> detected a failed network connection on network <*> via interface alt0
ServerFileSystem: An ServerFileSystem domain panic has occurred on storage442,9,ServerFileSystem: An ServerFileSystem domain panic has occurred on <*>
Fan speeds ( 3552 3534 3375 **** 3515 3479 ),41,Fan speeds ( <*> **** <*> )
Fan speeds ( 3534 3534 3375 **** 3497 3479 ),41,Fan speeds ( <*> **** <*> )
power/control problem,27,power/control problem
Link error,38,Link error
Link in reset,17,Link in reset
Link error on broadcast tree Interconnect-0T00:00:2:1,29,Link error on broadcast tree <*>
ServerFileSystem: ServerFileSystem domain root14_local is full,42,ServerFileSystem: ServerFileSystem domain <*> is full
ClusterFileSystem: ServerFileSystem domain cluster_root_backup is no longer served by node node-96,32,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node <*>
running,23,running
running,23,running
running,23,running
running,23,running
running,23,running
running,23,running
running,23,running
blocked,15,blocked
blocked,15,blocked
running,23,running
