EventId,EventTemplate
0,boot  (command <*>
1,clusterAddMember  (command <*>
2,NIFF: node <*> detected a failed network connection on network <*> via interface alt0
3,Fan speeds ( <*> **** <*> )
4,risBoot  (command <*>
5,Linkerror event interval expired
6,<*>
7,blocked
8,Link error on broadcast tree <*>
9,NIFF: node <*> has detected an available network connection on network <*> via interface ee0
10,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok>
11,Component State Change: Component <*> is in the unavailable state <*>
12,halt  (command <*>
13,power/control problem
14,warning
15,bootGenvmunix  (command <*>
16,not responding
17,not-responding
18,closing
19,boot (command <*> Error: HALT asserted\  cannot continue
20,Targeting <*> and <*> child of command <*>
21,Link in reset
22,risBoot (command <*> Error: Timed out while waiting for SRM prompt: <ABORT code completed>
23,Command has completed successfully
24,configured out
25,link errors remain current
26,Link error
27,Temperature <*> exceeds warning threshold
28,Failed subcommands <*>
29,critical
30,starting
31,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node <*>
32,running
33,normal
34,wait  (command <*>
35,ServerFileSystem: ServerFileSystem domain <*> is full
36,Targeting <*> and <*>
37,active
38,psu failure\ <*>
39,ServerFileSystem: An ServerFileSystem domain panic has occurred on <*>
40,ClusterFileSystem: There is no server for ServerFileSystem domain <*>
41,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>
42,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>
