Content,EventId,EventTemplate
Created MRAppMaster for application appattempt_1445144423722_0020_000001,19,Created MRAppMaster for application <*>
Executing with tokens:,24,Executing with tokens:
"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: 20 cluster_timestamp: 1445144423722 } attemptId: 1 } keyId: -127633188)",39,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: <*>"
Using mapred newApiCommitter.,3,Using mapred newApiCommitter.
OutputCommitter set in config null,45,OutputCommitter set in config null
OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,85,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter
Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,20,Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler
Default file system [hdfs://msra-sa-41:9000],28,Default file system <*>
Emitting job history data to the timeline server is not enabled,4,Emitting job history data to the timeline server is not enabled
loaded properties from hadoop-metrics2.properties,90,loaded properties from <*>
Scheduled snapshot period at 10 second(s).,61,Scheduled snapshot period at <*> second(s).
MRAppMaster metrics system started,6,MRAppMaster metrics system started
Adding job token for job_1445144423722_0020 to jobTokenSecretManager,13,Adding job token for <*> to jobTokenSecretManager
Not uberizing job_1445144423722_0020 because: not enabled; too many maps; too much input;,78,Not uberizing <*> because: not enabled; too many maps; too much input;
Input size for job job_1445144423722_0020 = 1256521728. Number of splits = 10,92,Input size for job <*> = <*> Number of splits = <*>
Number of reduces for job job_1445144423722_0020 = 1,70,Number of reduces for job <*> = <*>
job_1445144423722_0020Job Transitioned from NEW to INITED,51,<*> Transitioned from NEW to INITED
"MRAppMaster launching normal, non-uberized, multi-container job job_1445144423722_0020.",9,"MRAppMaster launching normal, <*> job <*>"
Using callQueue class java.util.concurrent.LinkedBlockingQueue,15,Using callQueue class java.util.concurrent.LinkedBlockingQueue
Starting Socket Reader #1 for port 62260,96,Starting Socket Reader <*> for port <*>
Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,44,Adding protocol <*> to the server
