Content,EventId,EventTemplate
onStandStepChanged 3579,65,onStandStepChanged <*>
onExtend:1514038530000 14 0 4,44,<*>
onReceive action: android.intent.action.SCREEN_ON,14,onReceive action: android.intent.action.SCREEN_ON
processHandleBroadcastAction action:android.intent.action.SCREEN_ON,57,processHandleBroadcastAction action:android.intent.action.SCREEN_ON
flush sensor data,12,flush sensor data
 getTodayTotalDetailSteps = 1514038440000##6993##548365##8661##12266##27164404,13, getTodayTotalDetailSteps = <*>
setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,44,<*>
calculateCaloriesWithCache totalCalories=126775,3,calculateCaloriesWithCache <*>
calculateAltitudeWithCache totalAltitude=240,40,calculateAltitudeWithCache <*>
REPORT : 7007 5002 150089 240,23,REPORT : <*>
setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269,44,<*>
setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951,44,<*>
setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461,44,<*>
setTodayTotalDetailSteps=1514038440000##7012##548365##8661##12741##27176464,44,<*>
setTodayTotalDetailSteps=1514038440000##7013##548365##8661##12836##27176966,44,<*>
setTodayTotalDetailSteps=1514038440000##7014##548365##8661##12931##27177463,44,<*>
setTodayTotalDetailSteps=1514038440000##7015##548365##8661##13026##27177962,44,<*>
setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13121##27179330,44,<*>
isScreenOn true,4,isScreenOn true
"screen status unknown,think screen on",34,"screen status unknown,think screen on"
setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13216##27179417,44,<*>
setTodayTotalDetailSteps=1514038440000##7018##548365##8661##13311##27179732,44,<*>
setTodayTotalDetailSteps=1514038440000##7019##548365##8661##13406##27180468,44,<*>
setTodayTotalDetailSteps=1514038440000##7020##548365##8661##13501##27180976,44,<*>
setTodayTotalDetailSteps=1514038440000##7021##548365##8661##13596##27181971,44,<*>
setTodayTotalDetailSteps=1514038440000##7022##548365##8661##13691##27182468,44,<*>
setTodayTotalDetailSteps=1514038440000##7023##548365##8661##13786##27182973,44,<*>
setTodayTotalDetailSteps=1514038440000##7024##548365##8661##13881##27183469,44,<*>
setTodayTotalDetailSteps=1514038440000##7025##548365##8661##13976##27183974,44,<*>
setTodayTotalDetailSteps=1514038440000##7026##548365##8661##14071##27184972,44,<*>
setTodayTotalDetailSteps=1514038440000##7027##548365##8661##14166##27185467,44,<*>
setTodayTotalDetailSteps=1514038440000##7028##548365##8661##14261##27185977,44,<*>
setTodayTotalDetailSteps=1514038440000##7029##548365##8661##14356##27186469,44,<*>
setTodayTotalDetailSteps=1514038440000##7030##548365##8661##14451##27187468,44,<*>
setTodayTotalDetailSteps=1514038440000##7031##548365##8661##14546##27187968,44,<*>
setTodayTotalDetailSteps=1514038440000##7032##548365##8661##14641##27188471,44,<*>
setTodayTotalDetailSteps=1514038440000##7033##548365##8661##14736##27189469,44,<*>
setTodayTotalDetailSteps=1514038440000##7034##548365##8661##14831##27189969,44,<*>
setTodayTotalDetailSteps=1514038440000##7035##548365##8661##14926##27190469,44,<*>
setTodayTotalDetailSteps=1514038440000##7036##548365##8661##15021##27190970,44,<*>
setTodayTotalDetailSteps=1514038440000##7037##548365##8661##15116##27191969,44,<*>
setTodayTotalDetailSteps=1514038440000##7038##548365##8661##15211##27192478,44,<*>
setTodayTotalDetailSteps=1514038440000##7039##548365##8661##15306##27192971,44,<*>
setTodayTotalDetailSteps=1514038440000##7040##548365##8661##15401##27193971,44,<*>
setTodayTotalDetailSteps=1514038440000##7041##548365##8661##15496##27194480,44,<*>
setTodayTotalDetailSteps=1514038440000##7042##548365##8661##15591##27195470,44,<*>
setTodayTotalDetailSteps=1514038440000##7044##548365##8661##15686##27196480,44,<*>
setTodayTotalDetailSteps=1514038440000##7045##548365##8661##15781##27196970,44,<*>
setTodayTotalDetailSteps=1514038440000##7047##548365##8661##15876##27197972,44,<*>
setTodayTotalDetailSteps=1514038440000##7048##548365##8661##15971##27198970,44,<*>
setTodayTotalDetailSteps=1514038440000##7050##548365##8661##16066##27199969,44,<*>
setTodayTotalDetailSteps=1514038440000##7052##548365##8661##16161##27200470,44,<*>
setTodayTotalDetailSteps=1514038440000##7053##548365##8661##16256##27202475,44,<*>
setTodayTotalDetailSteps=1514038500000##7054##548458##8661##16256##27204469,44,<*>
onExtend:1514038561000 0 0 0,44,<*>
setTodayTotalDetailSteps=1514038500000##7054##548551##8661##16256##27205469,44,<*>
onExtend:1514038639000 0 0 4,44,<*>
setTodayTotalDetailSteps=1514038560000##7054##548552##8661##16256##27283470,44,<*>
onExtend:1514038641000 2 0 4,44,<*>
setTodayTotalDetailSteps=1514038560000##7056##548553##8661##16256##27284971,44,<*>
onExtend:1514038641000 2 0 4,44,<*>
setTodayTotalDetailSteps=1514038560000##7058##548554##8661##16256##27285475,44,<*>
onExtend:1514038642000 2 0 4,44,<*>
setTodayTotalDetailSteps=1514038560000##7060##548555##8661##16256##27285968,44,<*>
onExtend:1514038642000 2 0 4,44,<*>
setTodayTotalDetailSteps=1514038560000##7062##548556##8661##16256##27286470,44,<*>
onExtend:1514038643000 2 0 4,44,<*>
setTodayTotalDetailSteps=1514038560000##7064##548557##8661##16256##27286970,44,<*>
onExtend:1514038643000 2 0 4,44,<*>
setTodayTotalDetailSteps=1514038560000##7066##548558##8661##16256##27287469,44,<*>
onExtend:1514038644000 2 0 4,44,<*>
setTodayTotalDetailSteps=1514038560000##7068##548559##8661##16256##27287972,44,<*>
onExtend:1514038644000 2 0 4,44,<*>
setTodayTotalDetailSteps=1514038560000##7070##548560##8661##16256##27288471,44,<*>
onExtend:1514038645000 1 0 4,44,<*>
setTodayTotalDetailSteps=1514038560000##7071##548561##8661##16256##27288973,44,<*>
onExtend:1514038645000 3 0 4,44,<*>
setTodayTotalDetailSteps=1514038560000##7074##548562##8661##16256##27289470,44,<*>
onExtend:1514038648000 0 0 0,44,<*>
setTodayTotalDetailSteps=1514038560000##7074##548563##8661##16256##27292475,44,<*>
onExtend:1514038665000 1 0 4,44,<*>
setTodayTotalDetailSteps=1514038560000##7075##548564##8661##16256##27309470,44,<*>
onExtend:1514038666000 2 0 4,44,<*>
setTodayTotalDetailSteps=1514038560000##7077##548565##8661##16256##27309969,44,<*>
onExtend:1514038666000 2 0 4,44,<*>
setTodayTotalDetailSteps=1514038560000##7079##548566##8661##16256##27310473,44,<*>
onExtend:1514038667000 2 0 4,44,<*>
setTodayTotalDetailSteps=1514038560000##7081##548567##8661##16256##27310970,44,<*>
onExtend:1514038667000 2 0 4,44,<*>
setTodayTotalDetailSteps=1514038560000##7083##548568##8661##16256##27311472,44,<*>
onExtend:1514038668000 1 0 4,44,<*>
setTodayTotalDetailSteps=1514038560000##7084##548569##8661##16256##27311970,44,<*>
onExtend:1514038668000 2 0 4,44,<*>
setTodayTotalDetailSteps=1514038560000##7086##548570##8661##16256##27312467,44,<*>
onExtend:1514038669000 2 0 4,44,<*>
setTodayTotalDetailSteps=1514038560000##7088##548571##8661##16256##27312967,44,<*>
onExtend:1514038669000 2 0 4,44,<*>
setTodayTotalDetailSteps=1514038560000##7090##548572##8661##16256##27313468,44,<*>
onExtend:1514038670000 2 0 4,44,<*>
setTodayTotalDetailSteps=1514038560000##7092##548573##8661##16256##27313974,44,<*>
onExtend:1514038670000 2 0 4,44,<*>
setTodayTotalDetailSteps=1514038560000##7094##548574##8661##16256##27314468,44,<*>
onExtend:1514038671000 1 0 4,44,<*>
setTodayTotalDetailSteps=1514038560000##7095##548575##8661##16256##27314968,44,<*>
onExtend:1514038671000 2 0 4,44,<*>
setTodayTotalDetailSteps=1514038560000##7097##548576##8661##16256##27315469,44,<*>
onExtend:1514038672000 2 0 4,44,<*>
setTodayTotalDetailSteps=1514038560000##7099##548577##8661##16256##27315983,44,<*>
onExtend:1514038672000 2 0 4,44,<*>
