EventId,EventTemplate
0,initEnviroument
1,startSync hiSyncOption = <*> = <*> who = <*>
2,uploadStaticsToDB() onResult  type = <*> obj=true
3,stepSyncOrNot appSynTimes is <*>
4,setGoalNotifiShownRecord <*> false
5,"startInsertSportSync start auto sync,app is <*>"
6,"checkCurrentDay a new day comes , reset basicSyncCondition, currentDay is <*> oldDay is <*>"
7,processHandleBroadcastAction action:android.intent.action.SCREEN_ON
8,next <*>
9,"insertHiHealthData() size = 4,app = <*> Data Type = <*> = com.huawei.health,writeStatType = <*>"
10,"screen status unknown,think screen on"
11,reStartStepCounter
12,Alarm uploadStaticsToDB <*>
13,flush sensor data
14,tryToRecordAsBasicStepData bWrite true
15,needAutoSync autoSyncSwitch is open
16,insertHiHealthData() checkAppType  <*> appID = <*>
17,bulkSaveDetailHiHealthData() size = <*> = <*>
18,new date <*>
19,saveHealthDetailData() saveOneDetailData fail hiHealthData = <*> = <*>
20,<*>
21,timeStamp <*>
22,registersensorsuccess: true
23,"insertHiHealthData() bulkSaveDetailHiHealthData fail errorCode = 4,errorMessage = ERR_DATA_INSERT"
24,initUserPrivacy the userPrivacy is true
25,setWriteDBLastDataMinute success
26, getStepCounterStatus= true
27,setBasicStandardSteps <*>
28, getTodayTotalDetailSteps = <*>
29,sendSyncFailedBroadcast
30,closeNotification...
31,calculateCaloriesWithCache <*>
32,saveStatData() type <*> = <*> = <*> is <*>
33,theDayChanged <*>
34,deleteHealthNotification()
35,reload : <*> restar <*>
36,clear()
37,onStandStepChanged <*>
38,flushTempCacheToDB by stand
39,"getAppContext() isAppValid health or wear, packageName = com.huawei.health"
40,calculateAltitudeWithCache <*>
41,getTodaySportData <*>
42,onReceive action: android.intent.action.SCREEN_ON
43,flush2DB result success
44,REPORT : <*>
45,"initUserPrivacy the userPrivacy switch is open, start push user data!"
46,getBinderPackageName packageName = com.huawei.health
47,startListenerChange subscribeList = <*>
48,startTimer start autoSync
49,stepSyncOrNot appSynTimes is <*> statsyncTimes is <*>
50,isScreenOn true
51,saveHealthDetailData() deviceID = <*>
52,"checkFirstSyncByType no such data in db ,type is <*> deviceCode is <*>"
53,InsertCallBack() onSuccess  type = <*> data=true
54,upLoadOneMinuteDataToEngine <*>
55,"initDataPrivacy the dataPrivacy switch is open, start push health data!"
56,getStepCounterStatus
57,writeDataToDB size <*>
58,saveRealTimeHealthDatasStat() size = <*> = <*>
59,uploadStaticsToDB failed message=true
60, getDiffTotalSteps= <*>
61,"startInsertSportSync first <*> steps sync,do all sync"
62,checkInsertStatus stepSum or calorieSum is enough
63,insertHiHealthData() end totalTime = <*>
64,initDataPrivacy the dataPrivacy is true
65,InsertEvent success <*>
66, getTodayBasicStandardSteps= <*>
67,ifCanSync not! no cloud version
