EventId,EventTemplate
0,Linux agpgart interface <*> (c) Dave Jones
1,klogd startup succeeded
2,Failure registering capabilities with the kernel
3,Intel machine check reporting enabled on <*>
4,apm: BIOS version <*> Flags <*> (Driver version <*>
5,ACPI: ACPI tables contain no PCI IRQ routing entries
6,Initializing <*>
7,connection from <*> (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 <*>
8,connection from <*> at <*> Jul <*>
9,usbcore: registered <*> driver usbfs
10,mtrr: <*>
11,connection from <*> (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul <*>
12,removing device node '/udev/vcsa2'
13,ANONYMOUS FTP LOGIN FROM <*>  (anonymous)
14,PID hash table entries: <*> (order <*> bytes)
15,BIOS-e820: 0000000007eae000 - <*> (reserved)
16,PCI: Probing PCI hardware <*>
17,mapped 4G/4G trampoline to <*>
18,ACPI: Subsystem revision <*>
19,"Normal zone: <*> pages, LIFO <*>"
20,VFS: Disk quotas <*>
21,Received SNMP packet(s) from <*>
22,notify question section contains no SOA
23,User unknown timed out after <*> seconds at Sat Jun <*>
24,connection from <*> (82-68-222-195.dsl.in-addr.zen.co.uk) at Sun Jul <*>
25,ACPI: Interpreter disabled.
26,connection from <*> (aml-sfh-3310b.adsl.wanadoo.nl) at Sun Jul <*>
27,connection from <*> at Sat Jul <*>
28,BIOS-e820: <*> - 0000000007eae000 (usable)
29,CPU: L2 cache: <*>
30,SELinux:  Starting in permissive mode
31,ALERT exited abnormally with <*>
32,SELinux:  Registering netfilter hooks
33,rpc.idmapd startup succeeded
34,connection from <*> (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul  <*>
35,audit: initializing netlink socket (disabled)
36,Built <*> zonelists
37,audit(1122475266.4294965305:0): initialized
38,klogd <*> log source = /proc/kmsg started.
39,Enabling fast FPU save and restore... done.
40,Capability LSM initialized
41,Enabling unmasked SIMD FPU exception support... done.
42,connection from <*> (24-54-76-216.bflony.adelphia.net) at Fri Jun <*>
43,Kernel command line: ro root=LABEL=/ rhgb quiet
44,DMI <*> present.
45,connection from <*> () at Thu Jul  7 <*>
46,ACPI disabled because your bios is from <*> and too <*>
47,*** info [mice.c(1766)]:
48,Initializing Cryptographic API
49,connection from <*> () at Tue Jul  5 <*>
50,Authentication failed from <*> Permission denied in replay cache code
51,connection from <*> at <*> Jul  <*>
52,Initializing random number generator:  succeeded
53,PCI: Using configuration type <*>
54,kernel.core_uses_pid = <*>
55,getpeername (ftpd): Transport endpoint is not connected
56,restart.
57,"There is already a security framework initialized, register_security failed."
58,Bringing up loopback interface:  succeeded
59,portmap startup succeeded
60,connection from <*> at Tue Jul <*>
