EventId,EventTemplate
0,AirPort: Link Down on awdl0. Reason <*> (Unspecified).
1,AppleActuatorDeviceUserClient::start Entered
2,Telling CSI to go low power.
3,network changed: <*> DNS! Proxy SMB
4,en0: channel changed to <*>
5,<*> - intel_rp = <*> dlla_reporting_supported = <*>
6,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring."
7,Internal name did not resolve to internal address!
8,Wake reason: EC.SleepTimer (SleepTimer)
9,<*> observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>
10,<IMMacNotificationCenterManager: <*>   DND Enabled: YES
11,CCProfileMonitor::freeResources done
12,network changed: DNS*
13,hibernate_teardown completed - discarded <*>
14,"SecOSStatusWith <*> Error Domain=NSOSStatusErrorDomain <*> ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}"
15,Sandbox: <*> network-outbound <*>
16,<*> Setting the AWDL operation mode from AUTO to SUSPENDED
17,ARPT: <*> framerdy <*> bmccmd <*> framecnt <*>
18,hibernate_machine_init reading
19,Wake reason: ?
20,jemmytest
21,the url = <*>
22,hibernate_setup(0) took <*> ms
23,"[CardDAVPlugin-ERROR] -getPrincipalInfo:[_controller <*> Error Domain=NSURLErrorDomain <*> ""The Internet connection appears to be offline."" <*> {Error Domain=kCFErrorDomainCFNetwork <*> ""The Internet connection appears to be offline."" <*> NSLocalizedDescription=The Internet connection appears to be offline.}}, <*> _kCFStreamErrorCodeKey=8, NSLocalizedDescription=The Internet connection appears to be offline.}"
24,"ARPT: <*> IOPMPowerSource Information: onWake,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': <*>"
25,assertion failed: <*> com.apple.telemetry + <*>
26,<*> Class TSUCustomFormatData is implemented in both /Library/QuickLook/iWork.qlgenerator/Contents/MacOS/iWork and /System/Library/PrivateFrameworks/OfficeImport.framework/Versions/A/OfficeImport. One of the two will be used. Which one is undefined.
27,<*> (Fig) signalled <*>
28,PMStats: Hibernate read took <*> ms
29,[com.apple.calendar.store.log.caldav.queue] [Adding [<CalDAVAccountRefreshQueueableOperation: <*> Sequence: <*> to failed operations.]
30,-[NETClientConnection effectiveBundleID] using process name apsd as bundle ID (this is expected for daemons without bundle ID
31,hibernate_teardown_pmap_structs done: last_valid_compact_indx <*>
32,Could not get event name for stream/token: <*> Request for stale data
33,AppleCamIn::systemWakeCall - messageType = <*>
34,hibernate_page_list_setall found pageCount <*>
35,<*> : Finished generating hashes
36,Sandbox: <*> mach-lookup com.apple.networkd
37,"CCDataTap::profileRemoved, Owner: <*> Name: StateSnapshots"
38,hibernate_page_list_setall time: <*> ms
39,<*> <<<< CRABS >>>> crabsWaitForLoad: <*> Wait time out - <*> (msRequestTimeout <*>
40,"[com.apple.calendar.store.log.caldav.queue] [Account refresh failed with error: Error Domain=CoreDAVHTTPStatusErrorDomain <*> ""(null)"" <*> CalDAVErrFromRefresh=YES, CoreDAVHTTPHeaders=<CFBasicHash <*> = immutable dict, count = <*> entries => <*> : Connection = <CFString <*> = ""keep-alive""} <*> : Content-Type = text/html <*> : Content-Length = <*> : Server = nginx <*> : Date = <CFString <*> = ""Fri, <*> Jul <*> GMT""} } }]"
41,ARPT: <*> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq <*> Ack <*> Win size <*>
42,full wake promotion (reason <*> ms
43,ARPT: <*> AQM agg results <*> len hi/lo: <*>
44,Sandbox: <*> mach-lookup com.apple.networking.captivenetworksupport
45,efi pagecount <*>
46,<IMMacNotificationCenterManager: <*>    NC Disabled: NO
47,hibernate_alloc_pages act <*> inact <*> anon <*> throt <*> spec <*> wire <*> wireinit <*>
48,<*> -[KSOmahaServer updateInfosForUpdateResponse:updateRequest:infoStore:upToDateTickets:updatedTickets:events:errors:] Response passed CUP validation.
49,could discard act <*> inact <*> purgeable <*> spec <*> cleaned <*>
50,network changed: DNS* Proxy
51,wake time set <*> s
52,AppleActuatorDevice::stop Entered
53,<<<< MediaValidator >>>> <*> Unrecognized codec <*> Failed codec specific check.
54,<*> mv_LowLevelCheckIfVideoPlayableUsingDecoder signalled <*> (kFigMediaValidatorError_VideoCodecNotSupported) (video codec <*> at  line <*>
55,[IOBluetoothHostController::setConfigState] calling registerService
56,Error returned from iconservicesagent: (null)
57,"hibernate_newruntime_map time: <*> ms, IOPolledFilePollersOpen(), ml_get_interrupts_enabled <*>"
58,AppleThunderboltGenericHAL::earlyWake - complete - took <*> milliseconds
59,bitmap_size <*> previewSize <*> writing <*> pages @ <*>
60,"NETWORK: requery, <*> items, fQueryRetries, <*> fLastRetryTimestamp, <*>"
61,"<*> -[KSAgentApp performSelfUpdateWithEngine:] Checking for self update with Engine: <*> path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore"" <*> path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore.lock"" locked=NO > >> <*> isProcessing=NO <*> currentActionErrors=0 <*> actionQueue=( ) > delegate=(null) <*> path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/Servers""> <*> >"
62,CFNetwork SSLHandshake failed <*>
63,<*> : BTLE scanner Powered Off
64,ARPT: <*> wl0: MDNS: IPV4 Addr: <*>
65,CCIOReporterFormatter::refreshSubscriptionsFromStreamRegistry clearing out any previous subscriptions
66,"<IMMacNotificationCenterManager: <*> Updating enabled: YES   (Topics: ( ""com.apple.private.alloy.icloudpairing"", ""com.apple.private.alloy.continuity.encryption"", ""com.apple.private.alloy.continuity.activity"", ""com.apple.ess"", ""com.apple.private.ids"", ""com.apple.private.alloy.phonecontinuity"", ""com.apple.madrid"", ""com.apple.private.ac"", ""com.apple.private.alloy.phone.auth"", ""com.apple.private.alloy.keychainsync"", ""com.apple.private.alloy.fmf"", ""com.apple.private.alloy.sms"", ""com.apple.private.alloy.screensharing"", ""com.apple.private.alloy.maps"", ""com.apple.private.alloy.thumper.keys"", ""com.apple.private.alloy.continuity.tethering"" ))"
67,network changed: <*> DNS+ Proxy+ SMB
68,Got an XPC error: Connection invalid
69,WARNING: <*> font data isn't in the correct format required by the Adobe Type <*> Font Format specification.
70,-[NETClientConnection evaluateCrazyIvan46] CI46 - Perform CrazyIvan46! <*>
71,INIT -- Host controller is published
72,USBMSC Identifier (non-unique): <*>
73,Unexpected payload found for message <*> dataLen <*>
74,"Unable to simultaneously satisfy constraints: ( <*> h=-&- v=-&- <*>   (Names: <*> h=-&- v=-&- <*>   (Names: <*> h=-&- v=--& <*> h=-&- v=-&- <*>   (Names: <*> h=-&- v=-&- <*>   (Names: <*> )>"" )  Will attempt to recover by breaking constraint <*> h=-&- v=-&- <*>   (Names: <*> )>  Set the NSUserDefault NSConstraintBasedLayoutVisualizeMutuallyExclusiveConstraints to YES to have -[NSWindow visualizeConstraints:] automatically called when this happens.  And/or, break on objc_exception_throw to catch this in the debugger."
75,en0: BSSID changed to <*>
76,ARPT: <*> wl0: setup_keepalive: Remote IP: <*>
77,CCFile::captureLog Received Capture notice id: <*> reason = <*>
78,[com.apple.calendar.store.log.caldav.coredav] [Refusing to parse response to PROPPATCH because of content-type: [text/html; <*>
79,schedule invalidation <DYTransport <*> error: lost transport connection <*>
80,<*> Class TSUAtomicLRUCache is implemented in both /Library/QuickLook/iWork.qlgenerator/Contents/MacOS/iWork and /System/Library/PrivateFrameworks/OfficeImport.framework/Versions/A/OfficeImport. One of the two will be used. Which one is undefined.
81,AirPort: Link Up on en0
82,<*> dealloc
83,Checking iCDP status for DSID <*>
84,button report: <*>
85,IOPolledFilePollersOpen(0) <*> ms
86,<*> KSHelperReceiveAllData() KSHelperTool read <*> bytes from stdin.
87,-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record.
88,CCXPCService::setStreamEventHandler Registered for notification callback.
89,<*> <<<< Boss >>>> figPlaybackBossPrerollCompleted: unexpected preroll-complete notification
90,CGXDisplayDidWakeNotification <*> posting kCGSDisplayDidWake
91,"Configuration Notice: ASL Module ""com.apple.performance"" claims selected messages. Those messages may not appear in standard system log files or in the ASL database."
92,AppleCamIn::wakeEventHandlerThread
93,mDNS_DeregisterInterface: Frequent transitions for interface awdl0 <*>
94,PM response took <*> ms <*> powerd)
95,url host = www.baidu.com
96,en0: manual intervention required!
97,ARPT: <*> wl0: setup_keepalive: Local port: <*> Remote port: <*>
98,dnssd_clientstub ConnectToServer: connect() failed <*> Socket:4 <*> Operation not permitted
99,in6_unlink_ifa: IPv6 address <*> has no prefix
100,<*> : BTLE scanning stopped
101,-[SFLListManager(ServiceReplyProtocol) notifyChanges:toListWithIdentifier:] Notified of item changes to list with identifier com.apple.LSSharedFileList.RecentApplications
102,<*> FigAgglomeratorSetObjectForKey signalled <*> (kFigStringConformerError_ParamErr) <*> key) at <*> line <*>
103,PM response took <*> ms <*> WeChat)
104,RTC: PowerByCalendarDate setting ignored
105,enabling <*> for plug-in <*> /System/Library/CoreServices/Weather.app/Contents/PlugIns/com.apple.ncplugin.weather.appex
106,BuildActDeviceEntry enter
107,Unrecognized XSSimpleTypeDefinition: OneOff
108,Arranged view frame: <*>
109,**** [IOBluetoothFamily][ProcessBluetoothTransportShowsUpActionWL] -- Connected to the transport successfully -- <*> -- <*> -- <*> ****
110,<*> main() ksfetch fetching URL (<NSMutableURLRequest: <*> { URL: <*> }) to <*>
111,hibernate_machine_init: state <*> image pages <*> sum was <*> imageSize <*> image1Size <*> conflictCount <*> nextFree <*>
112,hibernate_page_list_setall(preflight <*> start
113,############################## _getSysMsgList
114,"IOPMrootDomain: idle cancel, state <*>"
115,"[CardDAVPlugin-ERROR] -getPrincipalInfo:[_controller <*> Error Domain=NSURLErrorDomain <*> ""The request timed out."" <*> {Error Domain=kCFErrorDomainCFNetwork <*> ""The request timed out."" <*> _kCFStreamErrorDomainKey=4, NSLocalizedDescription=The request timed out.}}, <*> _kCFStreamErrorDomainKey=4, <*> NSLocalizedDescription=The request timed out.}"
116,network changed: <*> DNS Proxy SMB
117,[HID] [ATC] [Error] AppleDeviceManagementHIDEventService::start Could not make a string from out connection notification key
118,ARPT: <*> AQM agg params <*> maxlen hi/lo <*> minlen <*> adjlen <*>
119,"Opened file /var/log/SleepWakeStacks.bin, size <*> extents <*> maxio <*> ssd <*>"
120,TBT W <*> [x]
121,Daemon connection invalidated!
122,**** [IOBluetoothFamily][ProcessBluetoothTransportShowsUpActionWL] -- calling IOBluetoothFamily's registerService() -- <*> -- <*> -- <*> ****
123,vm_compressor_fastwake_warmup completed - took <*> msecs
124,**** [BroadcomBluetoothHostController][SetupController] -- Delay HCI Reset by <*>  ****
125,hibernate_rebuild_pmap_structs done: last_valid_compact_indx <*>
126,Central manager is not powered on
127,en0: Supported channels <*>
128,Unable to start NetBIOS name service:
129,<IMMacNotificationCenterManager: <*> notification observer: com.apple.FaceTime   notification: __CFNotification <*> {name = _NSDoNotDisturbEnabledNotification}
130,[HID] [ATC] AppleDeviceManagementHIDEventService::processWakeReason Wake reason: Host <*>
131,<*> - retries = <*>
132,RTC: Maintenance <*> sleep <*>
133,"<*> Suspending AWDL, enterQuietMode(true)"
134,tcp_connection_destination_perform_socket_connect <*> connectx to <*> failed: <*> Network is unreachable
135,"Path not allowed in target domain: type = pid, path = /System/Library/StagedFrameworks/Safari/SafariShared.framework/Versions/A/XPCServices/com.apple.Safari.SearchHelper.xpc/Contents/MacOS/com.apple.Safari.SearchHelper error = <*> The specified service did not ship in the requestor's bundle, origin = <*>"
136,Location icon should now be in state 'Inactive'
137,WARNING: hibernate_page_list_setall skipped <*> xpmapped pages
138,-deviceDeltaY is deprecated for NSScrollWheel. Please use -scrollingDeltaY.
139,ARPT: <*> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
140,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error <*> ""Account identity not set"" UserInfo={NSDescription=Account identity not set}"
141,"Opened file /var/vm/sleepimage, size <*> extents <*> maxio <*> ssd <*>"
142,"Google Chrome <*> triggered unnest of range <*> of DYLD shared region in VM map <*> While not abnormal for debuggers, this increases system memory footprint until the target exits."
143,network changed: <*> DNS- Proxy-
