EventId,EventTemplate
0,"<*> close, <*> bytes <*> KB) sent, 1671 bytes <*> KB) received, lifetime <*>"
1,"<*> close, <*> bytes sent, <*> bytes <*> KB) received, lifetime <*>"
2,<*> open through proxy <*> SOCKS5
3,"<*> close, <*> bytes <*> KB) sent, <*> bytes <*> KB) received, lifetime <*>"
4,"<*> close, <*> bytes <*> KB) sent, 815 bytes received, lifetime <1 sec"
5,"<*> close, 0 bytes sent, 0 bytes received, lifetime <*>"
6,"<*> close, 326 bytes sent, <*> bytes <*> KB) received, lifetime <*>"
7,"<*> close, 466 bytes sent, 125682 bytes (122 KB) received, lifetime <1 sec"
8,"<*> close, <*> bytes sent, 18846 bytes <*> KB) received, lifetime <1 sec"
9,<*> error : Could not connect to proxy <*> - connection attempt failed with error <*>
10,<*> open through proxy <*> HTTPS
11,<*> error : A connection request was canceled before the completion.
12,"<*> error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code <*>"
13,<*> error : Could not connect to proxy <*> - Could not resolve <*> error <*>
14,"<*> close, <*> bytes (151 KB) sent, <*> bytes <*> KB) received, lifetime <*>"
15,<*> error : Could not connect through proxy <*> - Proxy closed the connection unexpectedly.
16,"<*> close, 983 bytes sent, <*> bytes <*> KB) received, lifetime <*>"
17,"<*> close, 588 bytes sent, 215882 bytes <*> KB) received, lifetime <*>"
