EventId,EventTemplate
0,Starting in permissive mode
1,registered new driver hiddev
2,<*> autorun <*>
3,DHCPREQUEST for <*> from <*> via eth1
4,colour VGA+ <*>
5,Disk quotas <*>
6,Device: <*> Temperature changed <*> Celsius to <*> Celsius since last report
7,<*> ********************** NEW SWEEP ********************
8,synchronized to <*> stratum <*>
9,Power Button (FF) <*>
10,<*> No configuration change required
11,"PCI interrupt <*> -> GSI <*> (level, low) -> IRQ <*>"
12,xinetd Version <*> started with libwrap loadavg options compiled <*>
13,Mounted root <*> filesystem).
14,<*> Intel(R) <*> Network Connection
15,Compressed image found at block <*>
16,Hash tables configured (established <*> bind <*>
17,Intel(R) <*> CPU <*> stepping <*>
18,(supports <*>
19,Changing permissions on special file <*>
20,Received SNMP packet(s) from <*>
21,fw <*> bios <*>
22,xinetd startup succeeded
23,allocating divert_blk for <*>
24,Warning: we failed to resolve data source name <*> an188 <*>
25,Started working: <*> available service
26,Installing public key data
27,LAPIC <*> enabled)
28,PCI Interrupt Routing Table <*>
29,RRD_update <*> illegal attempt to update using time <*> when last update time is <*> (minimum one second step)
30,apic_id <*> version <*> address <*> GSI <*>
31,"Trace cache: <*> uops, L1 D cache: <*>"
32,Unknown cmd <*> on <*>
33,Warning: we failed to resolve data source name <*> an18 <*> an78 <*> an81 <*> an87 an88 <*>
34,<*> tftp <*>
35,Starting ts_fixup: succeeded
36,probe of <*> failed with error <*>
37,Physical Processor ID: <*>
38,<*> NIC Link is Up <*> Mbps Full Duplex
39,Mounting NFS filesystems: succeeded
40,Interpreter enabled
41,session closed for user root
42,scanning scsi channel <*> [Phy <*> for non-raid devices
43,Server listening on :: port <*>
44,DHCPDISCOVER from <*> via eth1: network A_net: no free leases
45,Local APIC address <*>
46,time reset <*> s
47,<*> mouse device common for all mice
48,Registered protocol family <*>
49,kernel time sync disabled <*>
50,Using IOAPIC for interrupt routing
51,Warning: we failed to resolve data source name <*> cn18 <*> cn78 <*> cn81 <*> cn88 <*>
52,Processor ANSI SCSI revision: <*>
53,Version <*> Starting
54,<*> Connection refused by <*>
55,PCI Interrupt Link <*> (IRQs <*>
56,no floppy controllers found
