Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,-1.00,26,8,0.503,0.000,0.294,0.000,0.000,0.000
Linux,-1.00,146,118,0.198,0.191,0.765,0.466,0.576,0.515
Apache,-1.00,9,6,0.694,0.694,0.400,0.444,0.667,0.533
Zookeeper,-1.00,53,50,0.944,0.502,0.738,0.509,0.540,0.524
Hadoop,-1.00,127,114,0.536,0.279,0.656,0.409,0.456,0.432
HealthApp,-1.00,90,75,0.424,0.235,0.558,0.356,0.427,0.388
OpenStack,-1.00,219,43,0.150,0.021,0.122,0.046,0.233,0.076
HPC,-1.00,58,46,0.662,0.637,0.500,0.362,0.457,0.404
Mac,-1.00,439,341,0.459,0.241,0.559,0.269,0.346,0.303
OpenSSH,-1.00,36,26,0.410,0.508,0.387,0.361,0.500,0.419
Spark,-1.00,38,36,0.758,0.364,0.811,0.553,0.583,0.568
Thunderbird,-1.00,192,149,0.785,0.067,0.622,0.344,0.443,0.387
BGL,-1.00,147,120,0.812,0.348,0.472,0.252,0.308,0.277
HDFS,-1.00,21,14,0.567,0.354,0.400,0.238,0.357,0.286
