Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,-1.00,16,11,0.692,0.521,0.519,0.438,0.636,0.519
Linux,-1.00,335,338,0.778,0.114,0.749,0.325,0.322,0.324
Apache,-1.00,29,29,1.000,0.256,1.000,0.276,0.276,0.276
Zookeeper,-1.00,76,89,0.993,0.820,0.885,0.697,0.596,0.642
Hadoop,-1.00,241,236,0.922,0.587,0.910,0.548,0.559,0.553
HealthApp,-1.00,480,156,0.862,0.342,0.450,0.133,0.410,0.201
OpenStack,-1.00,41,48,0.821,0.141,0.697,0.341,0.292,0.315
HPC,-1.00,229,74,0.792,0.734,0.389,0.122,0.378,0.185
Mac,-1.00,695,626,0.941,0.332,0.871,0.281,0.312,0.295
OpenSSH,-1.00,40,38,0.707,0.033,0.872,0.150,0.158,0.154
Spark,-1.00,249,236,0.888,0.419,0.878,0.406,0.428,0.416
BGL,-1.00,294,320,0.923,0.414,0.730,0.279,0.256,0.267
HDFS,-1.00,45,46,1.000,0.915,0.967,0.556,0.543,0.549
