Label,Timestamp,Date,Node,Time,NodeRepeat,Type,Component,Level,Content,EventId
-,1117838570,2005.06.03,R02-M1-N0-C:J12-U11,2005-06-03-15.42.50.675872,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected,3aa50e45
-,1117842440,2005.06.03,R23-M0-NE-C:J05-U01,2005-06-03-16.47.20.730545,R23-M0-NE-C:J05-U01,RAS,KERNEL,INFO,63543 double-hummer alignment exceptions,6265c739
-,1117848119,2005.06.03,R16-M1-N2-C:J17-U01,2005-06-03-18.21.59.871925,R16-M1-N2-C:J17-U01,RAS,KERNEL,INFO,"CE sym 2, at 0x0b85eee0, mask 0x05",cb2160e4
APPREAD,1117869872,2005.06.04,R04-M1-N4-I:J18-U11,2005-06-04-00.24.32.432192,R04-M1-N4-I:J18-U11,RAS,APP,FATAL,ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33569,150b1306
-,1117955341,2005.06.05,R25-M0-N7-C:J02-U01,2005-06-05-00.09.01.903373,R25-M0-N7-C:J02-U01,RAS,KERNEL,INFO,generating core.2275,070de4aa
-,1117984246,2005.06.05,R30-M1-N3-C:J02-U01,2005-06-05-08.10.46.344235,R30-M1-N3-C:J02-U01,RAS,KERNEL,FATAL,force load/store alignment...............0,9f7cd7e7
-,1118112700,2005.06.06,R23-M0-N0-I:J18-U01,2005-06-06-19.51.40.376079,R23-M0-N0-I:J18-U01,RAS,KERNEL,INFO,ciod: cpu 0 at treeaddr 438 sent unrecognized message 0xffffffff,a553aad2
-,1118193358,2005.06.07,R11-M0-NC-I:J18-U01,2005-06-07-18.15.58.583443,R11-M0-NC-I:J18-U01,RAS,APP,FATAL,ciod: LOGIN chdir(/p/gb2/glosli/8M_5000K/t800) failed: No such file or directory,4983ff07
-,1118271740,2005.06.08,R03-M1-N9-C:J09-U11,2005-06-08-16.02.20.600478,R03-M1-N9-C:J09-U11,RAS,KERNEL,INFO,"1 ddr errors(s) detected and corrected on rank 0, symbol 25, bit 1",d3e73bc3
KERNDTLB,1118536327,2005.06.11,R30-M0-N9-C:J16-U01,2005-06-11-17.32.07.581048,R30-M0-N9-C:J16-U01,RAS,KERNEL,FATAL,data TLB error interrupt,38a7307d
-,1118699850,2005.06.13,R22-M0-NC-I:J18-U01,2005-06-13-14.57.30.126106,R22-M0-NC-I:J18-U01,RAS,KERNEL,INFO,ciod: Message code 0 is not 51 or 4294967295,473b1afe
KERNSTOR,1118709403,2005.06.13,R10-M1-N5-C:J15-U11,2005-06-13-17.36.43.927885,R10-M1-N5-C:J15-U11,RAS,KERNEL,FATAL,data storage interrupt,d2c9db9b
-,1118709955,2005.06.13,R10-M0-N1-C:J17-U11,2005-06-13-17.45.55.674418,R10-M0-N1-C:J17-U11,RAS,KERNEL,FATAL,instruction address: 0x00004ed8,a31b789f
-,1118767015,2005.06.14,R24-M1-N3-C:J16-U01,2005-06-14-09.36.55.370589,R24-M1-N3-C:J16-U01,RAS,KERNEL,FATAL,data address: 0x00000002,ac8a6999
-,1118767283,2005.06.14,R20-M1-N3-C:J14-U01,2005-06-14-09.41.23.815131,R20-M1-N3-C:J14-U01,RAS,KERNEL,FATAL,machine check: i-fetch......................0,74814646
-,1118767381,2005.06.14,R20-M0-N2-C:J13-U11,2005-06-14-09.43.01.478244,R20-M0-N2-C:J13-U11,RAS,KERNEL,FATAL,program interrupt: illegal instruction......0,cc8ff6de
-,1118769530,2005.06.14,R27-M1-NA-C:J16-U11,2005-06-14-10.18.50.161104,R27-M1-NA-C:J16-U11,RAS,KERNEL,FATAL,exception syndrome register: 0x00800000,cce08081
-,1118769991,2005.06.14,R26-M0-NA-C:J04-U11,2005-06-14-10.26.31.242578,R26-M0-NA-C:J04-U11,RAS,KERNEL,FATAL,data store interrupt caused by dcbf.........0,9851467f
-,1118770603,2005.06.14,R24-M1-NE-C:J15-U11,2005-06-14-10.36.43.928442,R24-M1-NE-C:J15-U11,RAS,KERNEL,FATAL,store operation.............................1,40c9c002
-,1118770646,2005.06.14,R27-M1-N9-C:J11-U11,2005-06-14-10.37.26.925212,R27-M1-N9-C:J11-U11,RAS,KERNEL,FATAL,machine state register: 0x00002000,4f884f50
-,1118770954,2005.06.14,R26-M0-N4-C:J15-U11,2005-06-14-10.42.34.598602,R26-M0-N4-C:J15-U11,RAS,KERNEL,FATAL,"problem state (0=sup,1=usr).......0",6a308701
-,1118771001,2005.06.14,R26-M1-NF-C:J11-U11,2005-06-14-10.43.21.582308,R26-M1-NF-C:J11-U11,RAS,KERNEL,FATAL,floating point instr. enabled.....1,4a855bbd
-,1118771075,2005.06.14,R24-M0-NF-C:J09-U01,2005-06-14-10.44.35.353282,R24-M0-NF-C:J09-U01,RAS,KERNEL,FATAL,auxiliary processor.........................0,f28dcd0f
-,1118771085,2005.06.14,R27-M1-ND-C:J09-U01,2005-06-14-10.44.45.851799,R27-M1-ND-C:J09-U01,RAS,KERNEL,FATAL,machine check enable..............0,511c1d0d
-,1118771115,2005.06.14,R26-M0-N5-C:J11-U11,2005-06-14-10.45.15.849740,R26-M0-N5-C:J11-U11,RAS,KERNEL,FATAL,floating pt ex mode 0 enable......0,23b2adc8
-,1118771302,2005.06.14,R27-M1-N8-C:J09-U11,2005-06-14-10.48.22.614188,R27-M1-N8-C:J09-U11,RAS,KERNEL,FATAL,debug interrupt enable............0,2ec4bdb1
-,1118771384,2005.06.14,R21-M1-N6-C:J13-U11,2005-06-14-10.49.44.238733,R21-M1-N6-C:J13-U11,RAS,KERNEL,FATAL,byte ordering exception.....................0,3971a417
-,1118771469,2005.06.14,R27-M1-N9-C:J03-U01,2005-06-14-10.51.09.848118,R27-M1-N9-C:J03-U01,RAS,KERNEL,FATAL,data address space................0,ae9a7a4f
-,1118771528,2005.06.14,R26-M0-NF-C:J15-U01,2005-06-14-10.52.08.434393,R26-M0-NF-C:J15-U01,RAS,KERNEL,FATAL,core configuration register: 0x00002000,e19f7ea0
-,1118771679,2005.06.14,R21-M1-N5-C:J05-U11,2005-06-14-10.54.39.063056,R21-M1-N5-C:J05-U11,RAS,KERNEL,FATAL,program interrupt: fp cr update.............0,39f84cff
-,1118771823,2005.06.14,R26-M1-ND-C:J05-U11,2005-06-14-10.57.03.800229,R26-M1-ND-C:J05-U11,RAS,KERNEL,FATAL,guaranteed instruction cache block touch.0,55addd29
-,1118771875,2005.06.14,R20-M1-NB-C:J11-U11,2005-06-14-10.57.55.166387,R20-M1-NB-C:J11-U11,RAS,KERNEL,FATAL,program interrupt: fp cr field .............0,df88d884
-,1118772022,2005.06.14,R26-M0-N6-C:J14-U11,2005-06-14-11.00.22.056566,R26-M0-N6-C:J14-U11,RAS,KERNEL,FATAL,icache prefetch depth....................0,3777cdd1
-,1118772188,2005.06.14,R20-M0-N3-C:J06-U11,2005-06-14-11.03.08.491655,R20-M0-N3-C:J06-U11,RAS,KERNEL,FATAL,wait state enable.................0,198c56f7
-,1118772337,2005.06.14,R24-M0-N7-C:J06-U01,2005-06-14-11.05.37.845720,R24-M0-N7-C:J06-U01,RAS,KERNEL,FATAL,critical input interrupt enable...0,1c2a9320
-,1118772810,2005.06.14,R27-M0-N9-C:J12-U01,2005-06-14-11.13.30.870052,R27-M0-N9-C:J12-U01,RAS,KERNEL,FATAL,special purpose registers:,f7c382bd
-,1118772877,2005.06.14,R27-M1-N3-C:J04-U11,2005-06-14-11.14.37.821210,R27-M1-N3-C:J04-U11,RAS,KERNEL,FATAL,lr:00004ed0 cr:28244842 xer:20000002 ctr:00086000,d7cb53a5
-,1118772927,2005.06.14,R27-M0-N6-C:J02-U11,2005-06-14-11.15.27.823191,R27-M0-N6-C:J02-U11,RAS,KERNEL,FATAL,rts internal error,af999985
-,1118773252,2005.06.14,R20-M1-N0-C:J10-U01,2005-06-14-11.20.52.106874,R20-M1-N0-C:J10-U01,RAS,KERNEL,FATAL,debug wait enable.................0,fe410cc8
-,1118773618,2005.06.14,R25-M1-N7-C:J09-U11,2005-06-14-11.26.58.490506,R25-M1-N7-C:J09-U11,RAS,KERNEL,FATAL,instruction address space.........0,940724cb
-,1118773941,2005.06.14,R20-M1-NA-C:J04-U01,2005-06-14-11.32.21.174785,R20-M1-NA-C:J04-U01,RAS,KERNEL,FATAL,disable store gathering..................0,228fcad4
-,1118784453,2005.06.14,R07-M0-N6-C:J11-U01,2005-06-14-14.27.33.186273,R07-M0-N6-C:J11-U01,RAS,KERNEL,INFO,total of 1 ddr error(s) detected and corrected,147cfcff
-,1119309833,2005.06.20,R14-M1-N0-I:J18-U01,2005-06-20-16.23.53.944371,R14-M1-N0-I:J18-U01,RAS,APP,FATAL,"ciod: Error loading /home/draeger/testQboxhang-nozerobytebug-nosleepyescomm: invalid or missing program image, No such file or directory",57138c88
APPCHILD,1119319455,2005.06.20,R12-M1-NC-I:J18-U11,2005-06-20-19.04.15.002425,R12-M1-NC-I:J18-U11,RAS,APP,FATAL,ciod: Error creating node map from file /p/gb2/cabot/miranda/newmaps/8k_128x64x1_8x4x4.map: No child processes,4496b375
-,1119802781,2005.06.26,R07-M1-N0-C:J15-U11,2005-06-26-09.19.41.368208,R07-M1-N0-C:J15-U11,RAS,KERNEL,INFO,program interrupt,0d02c0e2
-,1119977619,2005.06.28,R02-M1-NE,2005-06-28-09.53.39.479164,R02-M1-NE,NULL,DISCOVERY,WARNING,Node card is not fully functional,a2335b6b
-,1120231520,2005.07.01,UNKNOWN_LOCATION,2005-07-01-08.25.20.466953,UNKNOWN_LOCATION,NULL,DISCOVERY,INFO,Ido chip status changed: FF:F2:9F:16:E2:23:00:0D:60:E9:1D:DC ip=10.0.0.151 v=9 t=4 status=M Fri Jul 01 08:16:53 PDT 2005,34832905
-,1120241131,2005.07.01,R37-M1-N4,2005-07-01-11.05.31.120732,R37-M1-N4,NULL,DISCOVERY,SEVERE,Can not get assembly information for node card,9d5d6232
-,1120591331,2005.07.05,R32-M0-N4-I:J18-U01,2005-07-05-12.22.11.843446,R32-M0-N4-I:J18-U01,RAS,KERNEL,INFO,ciod: Missing or invalid fields on line 1 of node map file /home/auselton/bgl/64mps.sequential.mapfile,46c02138
-,1120658382,2005.07.06,R27-M1-N1-C:J02-U11,2005-07-06-06.59.42.777345,R27-M1-N1-C:J02-U11,RAS,KERNEL,INFO,1 torus receiver z+ input pipe error(s) (dcr 0x02f0) detected and corrected,d6e5f01c
-,1120908821,2005.07.09,R20-M0-N8-I:J18-U01,2005-07-09-04.33.41.091472,R20-M0-N8-I:J18-U01,RAS,KERNEL,INFO,ciod: duplicate canonical-rank 31 to logical-rank 0 mapping at line 3 of node map file /p/gb2/pakin1/sweep3d-5x5x400-10mk-3mmi-1024pes-sweep/sweep.map,088bafb1
KERNRTSP,1121115817,2005.07.11,R01-M0-N1-C:J09-U11,2005-07-11-14.03.37.675251,R01-M0-N1-C:J09-U11,RAS,KERNEL,FATAL,rts panic! - stopping execution,220716fc
-,1121383222,2005.07.14,R01-M0-N0-I:J18-U11,2005-07-14-16.20.22.672549,R01-M0-N0-I:J18-U11,RAS,APP,FATAL,ciod: Error creating node map from file /home/pakin1/sweep3d-2.2b/results/random1-8x32x32x2.map: Permission denied,97976721
-,1121408299,2005.07.14,R23-M0-N0-I:J18-U01,2005-07-14-23.18.19.684786,R23-M0-N0-I:J18-U01,RAS,KERNEL,INFO,ciod: Z coordinate 32 exceeds physical dimension 32 at line 33 of node map file /p/gb2/pakin1/contention-32768cpes-torus/xyzt-1x1x32768x1.map,dd143159
KERNTERM,1121727206,2005.07.18,R20-M1-N8-C:J12-U01,2005-07-18-15.53.26.229596,R20-M1-N8-C:J12-U01,RAS,KERNEL,FATAL,"rts: kernel terminated for reason 1001rts: bad message header: invalid cpu, type=42315, cpu=105, index=1207960804, total=2691015",2fbf058f
-,1121900469,2005.07.20,R33-M1-N3-C:J02-U01,2005-07-20-16.01.09.861175,R33-M1-N3-C:J02-U01,RAS,KERNEL,INFO,8 floating point alignment exceptions,1ae4a1e2
-,1123021638,2005.08.02,UNKNOWN_LOCATION,2005-08-02-15.27.18.161989,UNKNOWN_LOCATION,NULL,DISCOVERY,INFO,New ido chip inserted into the database: FF:F2:9F:15:1F:72:00:0D:60:EA:E0:8D ip=10.7.0.13 v=9 t=2,cec4c1e9
-,1123025954,2005.08.02,R23-M0-N7,2005-08-02-16.39.14.159918,R23-M0-N7,NULL,HARDWARE,SEVERE,NodeCard is not fully functional,12c46e92
-,1123030687,2005.08.02,R00-M0-N2,2005-08-02-17.58.07.084868,R00-M0-N2,NULL,DISCOVERY,ERROR,"Node card status: ALERT 0, ALERT 1, ALERT 2, ALERT 3 is (are) active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is not asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD is asserted. PGOOD error latch is clear. MPGOOD is OK. MPGOOD error latch is clear. The 2.5 volt rail is OK. The 1.5 volt rail is OK.",86a5b6eb
-,1123030693,2005.08.02,R00-M0-ND,2005-08-02-17.58.13.994269,R00-M0-ND,NULL,DISCOVERY,INFO,"Node card VPD check: U11 node in processor card slot J16 do not match. VPD ecid 04DF80A7942FFFFF0C081AE08CD2, found 0000000000000000000000000000",19083ffd
-,1123110662,2005.08.03,NULL,2005-08-03-16.11.02.839771,NULL,RAS,MMCS,ERROR,"idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",e3703b8d
-,1123176466,2005.08.04,R71-M0-NC,2005-08-04-10.27.46.284345,R71-M0-NC,NULL,DISCOVERY,ERROR,Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The 2.5 volt rail is OK. The 1.5 volt rail is OK.,5ceb0a30
-,1123195190,2005.08.04,UNKNOWN_LOCATION,2005-08-04-15.39.50.374720,UNKNOWN_LOCATION,NULL,DISCOVERY,INFO,Ido chip status changed: FF:F2:9F:15:7E:6E:00:0D:60:EA:81:91 ip=10.0.1.155 v=13 t=1 status=M Thu Aug 04 15:31:25 PDT 2005,d9ec2e41
-,1123262593,2005.08.05,R25-M1-N2,2005-08-05-10.23.13.029850,R25-M1-N2,NULL,HARDWARE,WARNING,"PrepareForService shutting down NodeCard(mLctn(R25-M1-N2), mCardSernum(203231503833343000000000594c31304b34333431303158), mLp(FF:F2:9F:16:CF:0F:00:0D:60:E9:30:F0), mIp(10.2.2.80), mType(4)) as part of Service Action 310",f1a5d851
-,1123614572,2005.08.09,R00-M0-N6-C:J03-U11,2005-08-09-12.09.32.252222,R00-M0-N6-C:J03-U11,RAS,KERNEL,FATAL,rts tree/torus link training failed: wanted: B C X+ X- Y+ Y- Z+ Z- got: B C X- Y- Z+ Z-,c42200c4
-,1123652286,2005.08.09,R15-M0-NC-C:J04-U11,2005-08-09-22.38.06.850691,R15-M0-NC-C:J04-U11,RAS,KERNEL,INFO,1 tree receiver 2 in re-synch state event(s) (dcr 0x019a) detected,afd081b3
-,1123914312,2005.08.12,R44-M0-N8-I:J18-U01,2005-08-12-23.25.12.135766,R44-M0-N8-I:J18-U01,RAS,APP,FATAL,"ciod: Error loading /bgl/apps/scaletest/performance/MINIBEN/mb_243_0810/allreduce.rts: invalid or missing program image, Exec format error",c65da9e1
APPSEV,1124071359,2005.08.14,R21-M0-N8-I:J18-U11,2005-08-14-19.02.39.467287,R21-M0-N8-I:J18-U11,RAS,APP,FATAL,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:42213: Link has been severed,f9d6f989
KERNTERM,1124167519,2005.08.15,R71-M0-NA-C:J12-U11,2005-08-15-21.45.19.228173,R71-M0-NA-C:J12-U11,RAS,KERNEL,FATAL,rts: kernel terminated for reason 1003,130bb340
-,1124394179,2005.08.18,R30-M0-N0-I:J18-U01,2005-08-18-12.42.59.378202,R30-M0-N0-I:J18-U01,RAS,KERNEL,INFO,ciod: generated 64 core files for program /bgl/apps/swl-prep/ibm-swl/functional/sppm_chkpt/run/sppm,11b69b8b
-,1125082053,2005.08.26,R62-M1-N3-C:J04-U01,2005-08-26-11.47.33.903841,R62-M1-N3-C:J04-U01,RAS,KERNEL,INFO,iar 003a90fc dear 00b360e8,1b700d02
-,1125225358,2005.08.28,R54-M0-NC-I:J18-U01,2005-08-28-03.35.58.673640,R54-M0-NC-I:J18-U01,RAS,KERNEL,INFO,"NFS Mount failed on bglio716, slept 15 seconds, retrying (1)",07342848
KERNMNTF,1125552593,2005.08.31,R42-M1-NC-I:J18-U11,2005-08-31-22.29.53.058583,R42-M1-NC-I:J18-U11,RAS,KERNEL,FATAL,Lustre mount FAILED : bglio559 : point /p/gb1,f80a5ed5
-,1126211891,2005.09.08,R63-M1-NC-I:J18-U11,2005-09-08-13.38.11.467298,R63-M1-NC-I:J18-U11,RAS,KERNEL,INFO,ciod: pollControlDescriptors: Detected the debugger died.,2355b700
-,1126211906,2005.09.08,R62-M1-NC-I:J18-U11,2005-09-08-13.38.26.477794,R62-M1-NC-I:J18-U11,RAS,KERNEL,INFO,"ciod: In packet from node 91.0 (R62-M1-Nf-C:J03-U11), message code 2 is not 3 or 4294967295 (softheader=003b005b 00030000 00000001 00000000)",2eb8058c
-,1126526629,2005.09.12,R20-M1-N8-C:J13-U11,2005-09-12-05.03.49.910676,R20-M1-N8-C:J13-U11,RAS,KERNEL,INFO,suppressing further interrupts of same type,ea3efa0b
-,1127264516,2005.09.20,R05-M0-N1-C:J06-U11,2005-09-20-18.01.56.398119,R05-M0-N1-C:J06-U11,RAS,KERNEL,FATAL,rts: bad message header: expecting type 57 instead of type 3 (softheader=00131db8 81aa0003 00000002 00000000) PSR0=00001f01 PSR1=00000000 PRXF=00000002 PIXF=00000007,67d49f9f
