LogId,Node,Component,State,Time,Flag,Content
134681,node-246,unix.hw,state_change.unavailable,1077804742,1,Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973)
2568643,node-70,action,start,1074119817,1,clusterAddMember  (command 1902)
2571927,node-28,action,start,1074125371,1,risBoot  (command 1903)
2572286,node-17,action,start,1074126278,1,bootGenvmunix  (command 1903)
2575909,node-162,action,start,1074178193,1,boot  (command 1911)
2601401,node-184,action,start,1074298390,1,wait  (command 1975)
2608062,node-238,action,start,1074461014,1,halt  (command 1982)
2566692,1897,boot_cmd,success,1073991950,1,Command has completed successfully
2599204,1971,boot_cmd,new,1074297378,1,Targeting domains:node-D3 and nodes:node-[104-127] child of command 1963
70088,2206,shutdown_cmd,new,1077059790,1,Targeting domains:node-D7 and nodes:node-[224\ 228\ 232]
451683,3223,boot_cmd,new,1098825780,1,Targeting domains:node-D0 and nodes:node-0
38390,3344,boot_cmd,new,1104070308,1,Targeting domains:node-D[0\ 5] and nodes:node-[27\ 191]
51338,node-3,node,psu,1106496000,1,psu failure\ ambient=28
147394,Interconnect-0N00,switch_module,temphigh,1129812510,1,Temperature (41C) exceeds warning threshold
2594656,node-D0,clusterfilesystem,clusterfilesystem.no_server,1074279038,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage234
365140,node-69,unix.hw,net.niff.down,1085075228,1,NIFF: node node-69 detected a failed network connection on network 5.5.224.0 via interface alt0
180537,node-D0,clusterfilesystem,fdmn.panic,1131228351,1,ServerFileSystem: An ServerFileSystem domain panic has occurred on storage442
268543,Interconnect-0N00,switch_module,fan,1119372267,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 )
380336,Interconnect-0N00,switch_module,fan,1141884709,1,Fan speeds ( 3534 3534 3375 **** 3497 3479 )
27385,Interconnect-0N02,switch_module,control,1101771720,1,power/control problem
30700,Interconnect-1T00,switch_module,bcast-error,1076189965,1,Link error
285855,Interconnect-1T00,switch_module,bcast-error,1080298218,1,Link in reset
26281,Interconnect-0T00,switch_module,bcast-error,1124878893,1,Link error on broadcast tree Interconnect-0T00:00:2:1
191911,node-D4,clusterfilesystem,fdmn.full,1077949575,1,ServerFileSystem: ServerFileSystem domain root14_local is full
2558879,node-D3,clusterfilesystem,clusterfilesystem.not_served,1073126274,1,ClusterFileSystem: ServerFileSystem domain cluster_root_backup is no longer served by node node-96
2286759,full,partition,status,1061219795,-1,running
2274013,full,partition,status,1060340885,-1,running
2556866,full,partition,status,1072881064,1,running
2279427,full,partition,status,1060773635,-1,running
2279283,full,partition,status,1060744865,-1,running
2273811,full,partition,status,1060324505,-1,running
2272849,full,partition,status,1060239078,-1,running
2561542,full,partition,status,1073427660,1,blocked
2561161,full,partition,status,1073359530,1,blocked
2313012,full,partition,status,1061552195,-1,running
2277349,full,partition,status,1060507389,-1,running
2567354,node-147,node,status,1074098611,1,not responding
2567534,node-97,node,status,1074098640,1,configured out
2579921,node-140,node,status,1074216940,1,running
2579951,node-170,node,status,1074216940,1,running
2580020,node-239,node,status,1074216940,1,running
2590658,node-123,node,status,1074262967,1,running
2287804,full,partition,status,1061267556,-1,running
2271403,full,partition,status,1060163570,-1,running
2608517,full,partition,status,1074462770,1,running
2590751,node-216,node,status,1074262967,1,running
2599698,node-D5,domain,status,1074297720,1,inconsistent nodesets node-160 0x0001edfe <ok> node-161 0x1001fdfe <ok> node-162 0x1001fdfe <ok> node-163 0x1001fdfe <ok>
2601823,node-49,node,status,1074298784,1,running
2601830,node-56,node,status,1074298784,1,running
2601896,node-122,node,status,1074298784,0,running
2601953,node-144,node,status,1074299123,1,running
2602004,node-195,node,status,1074299123,1,running
41982,node-202,node,status,1076539387,1,running
41798,node-17,node,status,1076539387,1,running
44677,node-112,node,status,1076542145,1,running
45685,node-109,node,status,1076544000,1,active
47913,node-163,node,status,1076619203,1,running
47952,node-202,node,status,1076619203,1,running
76769,node-61,node,status,1077207138,1,running
114954,node-206,node,status,1077744705,1,running
114862,node-114,node,status,1077744705,1,running
100048,node-215,node,status,1077649605,1,running
160937,node-D1,domain,status,1077875820,1,inconsistent nodesets node-32 0x00000002 <ok> node-34 0x000001fe <ok> node-33 0x000001fe <ok> node-35 0x000001fe <ok>
178780,node-147,node,status,1077897241,0,running
178781,node-148,node,status,1077897241,1,running
219135,node-99,node,status,1078470966,1,running
219117,node-81,node,status,1078470966,1,running
200920,node-165,node,status,1078122733,1,running
264741,node-209,node,status,1079261513,0,running
264395,node-196,node,status,1079255686,1,active
264038,full,partition,status,1079249252,1,running
263641,full,partition,status,1079248586,1,running
263068,node-173,node,status,1079245564,1,running
262650,node-139,node,status,1079243475,1,running
262432,full,partition,status,1079241153,1,running
261973,full,partition,status,1079220450,1,blocked
261582,node-161,node,status,1079216417,1,running
260233,node-166,node,status,1079127020,1,running
260225,node-254,node,status,1079127019,1,running
260158,node-155,node,status,1079127017,1,running
259819,node-212,node,status,1079111625,1,running
259458,node-30,node,status,1079081093,1,running
250426,node-250,node,status,1079054309,1,running
250337,node-161,node,status,1079054308,1,running
239558,node-164,node,status,1079019273,1,running
239458,node-64,node,status,1079019273,1,running
277642,node-165,node,status,1079618688,1,running
277686,node-209,node,status,1079618688,1,running
284353,node-23,node,status,1080145602,1,running
284195,full,partition,status,1080133799,1,running
277540,node-119,node,status,1079618410,0,running
277540,node-119,node,status,1079618410,0,running
277545,node-124,node,status,1079618410,0,running
300968,full,partition,status,1081932726,1,running
310009,node-13,node,status,1082040658,1,running
329774,node-235,node,status,1083207608,0,running
329596,node-57,node,status,1083207607,1,running
316706,node-90,node,status,1082894753,1,running
340207,node-245,node,status,1083317700,0,running
329646,node-107,node,status,1083207607,0,running
340120,node-158,node,status,1083317700,0,running
340209,node-247,node,status,1083317700,0,running
366141,node-95,node,status,1085078720,1,running
366113,node-67,node,status,1085078720,1,running
371329,full,partition,status,1085797473,1,running
370250,full,partition,status,1085689890,1,blocked
369970,full,partition,status,1085682780,1,blocked
369300,node-79,node,status,1085569402,1,running
369186,node-168,node,status,1085568282,0,running
379999,node-231,node,status,1086028827,0,running
379995,node-227,node,status,1086028827,0,running
379993,node-225,node,status,1086028827,0,running
379872,node-103,node,status,1086028827,0,running
379859,node-90,node,status,1086028826,1,running
371602,node--tc6,tserver,status,1085921002,1,not-responding
379912,node-144,node,status,1086028827,0,running
386689,full,partition,status,1087478923,1,running
386783,node-224,node,status,1087499940,1,active
392804,node-41,node,status,1088023736,0,running
392696,node-126,node,status,1088023734,0,running
392653,node-51,node,status,1088023733,1,running
392736,node-198,node,status,1088023734,0,running
392729,node-159,node,status,1088023734,0,running
392693,node-123,node,status,1088023734,0,running
398501,node-235,node,status,1089811825,1,running
410509,node-221,node,status,1091255504,1,running
413605,node-154,node,status,1092321126,1,running
413350,node-41,node,status,1092320602,1,running
416005,full,partition,status,1092949734,1,running
418211,node-D0,domain,status,1093628640,1,inconsistent nodesets node-1 0x000001fc <ok> node-2 0x000001fc <ok> node-7 0x000001fc <ok> node-4 0x000001fc <ok> node-6 0x000001fc <ok> node-5 0x000001fc <ok> node-3 0x000001fc <ok> node-14 0x0003fdfc <ok> node-13 0x0003fdfc <ok> node-12 0x0003fdfc <ok> node-10 0x0003fdfc <ok> node-16 0x0003fdfc <ok> node-15 0x0003fdfc <ok>
417113,full,partition,status,1093473150,1,blocked
421363,full,partition,status,1094571984,1,running
421349,node-18,node,status,1094571950,1,running
432939,node-254,node,status,1095349520,0,running
425174,node-109,node,status,1095341304,1,running
425071,node-174,node,status,1095341277,1,active
432838,node-153,node,status,1095349520,0,running
432843,node-158,node,status,1095349520,1,running
448690,node-48,node,status,1098394861,1,running
449708,full,partition,status,1098490050,1,blocked
453178,full,partition,status,1098987334,1,running
448744,node-102,node,status,1098394861,0,running
24011,node-77,node,status,1100788549,1,running
24024,node-90,node,status,1100788549,1,running
24139,node-205,node,status,1100788549,0,running
30351,full,partition,status,1102218393,1,running
24181,node-247,node,status,1100788549,1,running
