LogId,Node,Component,State,Time,Flag,Content,EventId
134681,node-246,unix.hw,state_change.unavailable,1077804742,1,Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),bca6441c
2568643,node-70,action,start,1074119817,1,clusterAddMember  (command 1902),b6d38bd5
2571927,node-28,action,start,1074125371,1,risBoot  (command 1903),e5e34e3d
2572286,node-17,action,start,1074126278,1,bootGenvmunix  (command 1903),76727c51
2575909,node-162,action,start,1074178193,1,boot  (command 1911),8d336518
2601401,node-184,action,start,1074298390,1,wait  (command 1975),28889bc4
2608062,node-238,action,start,1074461014,1,halt  (command 1982),ffd891af
2566692,1897,boot_cmd,success,1073991950,1,Command has completed successfully,b09e9fef
2599204,1971,boot_cmd,new,1074297378,1,Targeting domains:node-D3 and nodes:node-[104-127] child of command 1963,defee58d
70088,2206,shutdown_cmd,new,1077059790,1,Targeting domains:node-D7 and nodes:node-[224\ 228\ 232],2794dcdf
451683,3223,boot_cmd,new,1098825780,1,Targeting domains:node-D0 and nodes:node-0,868b6038
38390,3344,boot_cmd,new,1104070308,1,Targeting domains:node-D[0\ 5] and nodes:node-[27\ 191],f8d968b5
51338,node-3,node,psu,1106496000,1,psu failure\ ambient=28,78fe0fa3
147394,Interconnect-0N00,switch_module,temphigh,1129812510,1,Temperature (41C) exceeds warning threshold,3b219fff
2594656,node-D0,clusterfilesystem,clusterfilesystem.no_server,1074279038,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage234,97e2eb74
365140,node-69,unix.hw,net.niff.down,1085075228,1,NIFF: node node-69 detected a failed network connection on network 5.5.224.0 via interface alt0,34e03c38
180537,node-D0,clusterfilesystem,fdmn.panic,1131228351,1,ServerFileSystem: An ServerFileSystem domain panic has occurred on storage442,291f390d
268543,Interconnect-0N00,switch_module,fan,1119372267,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),95b8bff4
380336,Interconnect-0N00,switch_module,fan,1141884709,1,Fan speeds ( 3534 3534 3375 **** 3497 3479 ),38884487
27385,Interconnect-0N02,switch_module,control,1101771720,1,power/control problem,e13d082a
30700,Interconnect-1T00,switch_module,bcast-error,1076189965,1,Link error,3458891f
285855,Interconnect-1T00,switch_module,bcast-error,1080298218,1,Link in reset,db5aa7f9
26281,Interconnect-0T00,switch_module,bcast-error,1124878893,1,Link error on broadcast tree Interconnect-0T00:00:2:1,13afdb97
191911,node-D4,clusterfilesystem,fdmn.full,1077949575,1,ServerFileSystem: ServerFileSystem domain root14_local is full,a8108a6e
2558879,node-D3,clusterfilesystem,clusterfilesystem.not_served,1073126274,1,ClusterFileSystem: ServerFileSystem domain cluster_root_backup is no longer served by node node-96,bafedd1e
2286759,full,partition,status,1061219795,-1,running,75101dcd
2274013,full,partition,status,1060340885,-1,running,75101dcd
2556866,full,partition,status,1072881064,1,running,75101dcd
2279427,full,partition,status,1060773635,-1,running,75101dcd
2279283,full,partition,status,1060744865,-1,running,75101dcd
2273811,full,partition,status,1060324505,-1,running,75101dcd
2272849,full,partition,status,1060239078,-1,running,75101dcd
2561542,full,partition,status,1073427660,1,blocked,61326117
2561161,full,partition,status,1073359530,1,blocked,61326117
2313012,full,partition,status,1061552195,-1,running,75101dcd
2277349,full,partition,status,1060507389,-1,running,75101dcd
2567354,node-147,node,status,1074098611,1,not responding,b02b9741
2567534,node-97,node,status,1074098640,1,configured out,8cfafe98
2579921,node-140,node,status,1074216940,1,running,75101dcd
2579951,node-170,node,status,1074216940,1,running,75101dcd
2580020,node-239,node,status,1074216940,1,running,75101dcd
2590658,node-123,node,status,1074262967,1,running,75101dcd
2287804,full,partition,status,1061267556,-1,running,75101dcd
2271403,full,partition,status,1060163570,-1,running,75101dcd
2608517,full,partition,status,1074462770,1,running,75101dcd
2590751,node-216,node,status,1074262967,1,running,75101dcd
2599698,node-D5,domain,status,1074297720,1,inconsistent nodesets node-160 0x0001edfe <ok> node-161 0x1001fdfe <ok> node-162 0x1001fdfe <ok> node-163 0x1001fdfe <ok>,445dbb18
2601823,node-49,node,status,1074298784,1,running,75101dcd
2601830,node-56,node,status,1074298784,1,running,75101dcd
2601896,node-122,node,status,1074298784,0,running,75101dcd
2601953,node-144,node,status,1074299123,1,running,75101dcd
2602004,node-195,node,status,1074299123,1,running,75101dcd
41982,node-202,node,status,1076539387,1,running,75101dcd
41798,node-17,node,status,1076539387,1,running,75101dcd
44677,node-112,node,status,1076542145,1,running,75101dcd
45685,node-109,node,status,1076544000,1,active,c76a5e84
47913,node-163,node,status,1076619203,1,running,75101dcd
47952,node-202,node,status,1076619203,1,running,75101dcd
76769,node-61,node,status,1077207138,1,running,75101dcd
114954,node-206,node,status,1077744705,1,running,75101dcd
114862,node-114,node,status,1077744705,1,running,75101dcd
100048,node-215,node,status,1077649605,1,running,75101dcd
160937,node-D1,domain,status,1077875820,1,inconsistent nodesets node-32 0x00000002 <ok> node-34 0x000001fe <ok> node-33 0x000001fe <ok> node-35 0x000001fe <ok>,1793c40e
178780,node-147,node,status,1077897241,0,running,75101dcd
178781,node-148,node,status,1077897241,1,running,75101dcd
219135,node-99,node,status,1078470966,1,running,75101dcd
219117,node-81,node,status,1078470966,1,running,75101dcd
200920,node-165,node,status,1078122733,1,running,75101dcd
264741,node-209,node,status,1079261513,0,running,75101dcd
264395,node-196,node,status,1079255686,1,active,c76a5e84
264038,full,partition,status,1079249252,1,running,75101dcd
263641,full,partition,status,1079248586,1,running,75101dcd
263068,node-173,node,status,1079245564,1,running,75101dcd
262650,node-139,node,status,1079243475,1,running,75101dcd
262432,full,partition,status,1079241153,1,running,75101dcd
261973,full,partition,status,1079220450,1,blocked,61326117
261582,node-161,node,status,1079216417,1,running,75101dcd
260233,node-166,node,status,1079127020,1,running,75101dcd
260225,node-254,node,status,1079127019,1,running,75101dcd
260158,node-155,node,status,1079127017,1,running,75101dcd
259819,node-212,node,status,1079111625,1,running,75101dcd
259458,node-30,node,status,1079081093,1,running,75101dcd
250426,node-250,node,status,1079054309,1,running,75101dcd
250337,node-161,node,status,1079054308,1,running,75101dcd
239558,node-164,node,status,1079019273,1,running,75101dcd
239458,node-64,node,status,1079019273,1,running,75101dcd
277642,node-165,node,status,1079618688,1,running,75101dcd
277686,node-209,node,status,1079618688,1,running,75101dcd
