Month,Date,Time,Level,Component,PID,Content
Jun,14,15:16:01,combo,sshd(pam_unix),19939,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4
Jun,14,15:16:02,combo,sshd(pam_unix),19937,check pass; user unknown
Jun,15,02:04:59,combo,sshd(pam_unix),20882,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root
Jun,15,04:06:18,combo,su(pam_unix),21416,session opened for user cyrus by (uid=0)
Jun,15,04:06:19,combo,su(pam_unix),21416,session closed for user cyrus
Jun,15,04:06:20,combo,logrotate,,ALERT exited abnormally with [1]
Jun,17,07:07:00,combo,ftpd,29504,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005
Jun,18,02:23:10,combo,ftpd,31277,User unknown timed out after 900 seconds at Sat Jun 18 02:23:10 2005
Jun,19,04:08:57,combo,cups,,cupsd shutdown succeeded
Jun,19,04:09:02,combo,cups,,cupsd startup succeeded
Jun,19,04:09:11,combo,syslogd 1.4.1,,restart.
Jun,20,04:44:39,combo,snmpd,2318,Received SNMP packet(s) from 67.170.148.126
Jun,26,04:04:19,combo,cups,,cupsd shutdown succeeded
Jun,26,04:04:24,combo,cups,,cupsd startup succeeded
Jun,26,04:04:31,combo,syslogd 1.4.1,,restart.
Jun,30,20:53:04,combo,klogind,19272,Authentication failed from 163.27.187.39 (163.27.187.39): Permission denied in replay cache code
Jun,30,20:53:04,combo,klogind,19272,Kerberos authentication failed
Jun,30,20:53:04,combo,klogind,19287,Kerberos authentication failed
Jun,30,20:53:04,combo,klogind,19286,Kerberos authentication failed
Jun,30,20:53:04,combo,klogind,19271,Kerberos authentication failed
Jun,30,20:53:04,combo,klogind,19270,Kerberos authentication failed
Jun,30,20:53:04,combo,klogind,19269,Kerberos authentication failed
Jun,30,20:53:04,combo,klogind,19274,Authentication failed from 163.27.187.39 (163.27.187.39): Software caused connection abort
Jun,30,20:53:04,combo,klogind,19268,Kerberos authentication failed
Jun,30,20:53:04,combo,klogind,19288,Kerberos authentication failed
Jun,30,20:53:04,combo,klogind,19274,Kerberos authentication failed
Jun,30,20:53:06,combo,klogind,19266,Kerberos authentication failed
Jun,30,20:53:06,combo,klogind,19267,Kerberos authentication failed
Jun,30,20:53:06,combo,klogind,19278,Kerberos authentication failed
Jun,30,20:53:06,combo,klogind,19273,Kerberos authentication failed
Jun,30,20:53:06,combo,klogind,19276,Kerberos authentication failed
Jun,30,20:53:06,combo,klogind,19275,Kerberos authentication failed
