Content,EventId,EventTemplate
instruction cache parity error corrected,101,instruction cache parity error corrected
63543 double-hummer alignment exceptions,30,<*> double-hummer alignment exceptions
"CE sym 2, at 0x0b85eee0, mask 0x05",65,CE sym <*> at <*> mask <*>
ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33569,77,ciod: failed to read message prefix on control stream (CioStream socket to <*>
generating core.2275,27,generating <*>
force load/store alignment...............0,36,force load/store <*>
ciod: cpu 0 at treeaddr 438 sent unrecognized message 0xffffffff,70,ciod: cpu <*> at treeaddr <*> sent unrecognized message <*>
ciod: LOGIN chdir(/p/gb2/glosli/8M_5000K/t800) failed: No such file or directory,42,ciod: LOGIN <*> failed: No such file or directory
"1 ddr errors(s) detected and corrected on rank 0, symbol 25, bit 1",50,<*> ddr errors(s) detected and corrected on rank <*> symbol <*> bit <*>
data TLB error interrupt,9,data TLB error interrupt
ciod: Message code 0 is not 51 or 4294967295,78,ciod: Message code <*> is not <*> or <*>
data storage interrupt,94,data storage interrupt
instruction address: 0x00004ed8,97,instruction address: <*>
data address: 0x00000002,62,data address: <*>
machine check: i-fetch......................0,74,machine check: <*>
program interrupt: illegal instruction......0,40,program interrupt: illegal <*>
exception syndrome register: 0x00800000,20,exception syndrome register: <*>
data store interrupt caused by dcbf.........0,1,data store interrupt caused by <*>
store operation.............................1,45,store <*>
machine state register: 0x00002000,4,machine state register: <*>
"problem state (0=sup,1=usr).......0",26,problem state <*>
floating point instr. enabled.....1,54,floating point instr. <*>
auxiliary processor.........................0,13,auxiliary <*>
machine check enable..............0,44,machine check <*>
floating pt ex mode 0 enable......0,47,floating pt ex mode <*>
debug interrupt enable............0,35,debug interrupt <*>
byte ordering exception.....................0,76,byte ordering <*>
data address space................0,34,data address <*>
core configuration register: 0x00002000,103,core configuration register: <*>
program interrupt: fp cr update.............0,104,program interrupt: fp cr <*>
guaranteed instruction cache block touch.0,69,guaranteed instruction cache block <*>
program interrupt: fp cr field .............0,63,program interrupt: fp cr field <*>
icache prefetch depth....................0,80,icache prefetch <*>
wait state enable.................0,51,wait state <*>
critical input interrupt enable...0,2,critical input interrupt <*>
special purpose registers:,86,special purpose registers:
lr:00004ed0 cr:28244842 xer:20000002 ctr:00086000,37,<*>
rts internal error,21,rts internal error
debug wait enable.................0,93,debug wait <*>
instruction address space.........0,87,instruction address <*>
