EventId,EventTemplate
0,"Error receiving packet on tree network, expecting type <*> instead of type <*>"
1,core configuration register: <*>
2,<*> ffffffff ffffffff ffffffff
3,Machine State Register: <*>
4,<*> double-hummer alignment exceptions
5,Ido chip status changed: <*> status=M Fri Jul <*> PDT <*>
6,exception syndrome register: <*>
7,rts: bad message header: expecting type <*> instead of type <*>
8,special purpose registers:
9,byte ordering <*>
10,rts: kernel terminated for reason <*>
11,program interrupt: illegal <*>
12,ciod: Message code <*> is not <*> or <*>
13,Node card is not fully functional
14,instruction address: <*>
15,debug wait <*>
16,instruction address <*>
17,ciod: Error loading <*> program image too <*> > <*>
18,guaranteed instruction cache block <*>
19,<*> floating point alignment exceptions
20,"ciod: Error loading <*> invalid or missing program image, Exec format error"
21,<*> EDRAM error(s) (dcr <*> detected and corrected over <*> seconds
22,Node card VPD check: <*> node in processor card slot <*> do not match. VPD ecid <*> found <*>
23,<*> ddr error(s) detected and corrected on rank <*> symbol <*> over <*> seconds
24,program interrupt: fp cr <*>
25,data cache search parity error detected. attempting to correct
26,auxiliary <*>
27,fraction <*>
28,ciod: duplicate canonical-rank <*> to logical-rank <*> mapping at line <*> of node map file <*>
29,<*> ddr errors(s) detected and corrected on rank <*> symbol <*> bit <*>
30,program interrupt: fp cr field <*>
31,New ido chip inserted into the database: <*>
32,total of <*> ddr error(s) detected and corrected over <*> seconds
33,ciod: Received signal <*>
34,problem state <*>
35,data store interrupt caused by <*>
36,machine check: <*>
37,program interrupt
38,MACHINE CHECK DCR read timeout <*> iar <*> lr <*>
39,rts internal error
40,ciod: failed to read message prefix on control stream (CioStream socket to <*>
41,"rts: kernel terminated for reason <*> bad message header: invalid cpu, <*>"
42,wait state <*>
43,CE sym <*> at <*> mask <*>
44,ciod: Missing or invalid fields on line <*> of node map file <*>
45,<*> EDRAM error(s) (dcr <*> detected and corrected
46,<*> tree receiver <*> in re-synch state event(s) (dcr <*> detected over <*> seconds
47,generating <*>
48,floating pt ex mode <*>
49,PrepareForService shutting down <*> mType(4)) as part of Service Action <*>
50,minus normalized <*>
51,machine state register: <*>
52,force load/store <*>
53,"NFS Mount failed on <*> slept <*> seconds, retrying <*>"
54,data address: <*>
55,ciod: cpu <*> at treeaddr <*> sent unrecognized message <*>
56,ciod: Error creating node map from file <*> Permission denied
57,Lustre mount FAILED : <*> : block_id : location
58,data storage interrupt
59,"critical input interrupt <*> warning for torus z+ wire, suppressing further interrupts of same type"
60,"<*> total interrupts. <*> critical input interrupts. <*> microseconds total spent on critical input interrupts, <*> microseconds max time in a critical input interrupt."
61,icache prefetch <*>
62,Kernel detected <*> integer alignment exceptions <*> iar <*> dear <*> iar <*> dear <*> iar <*> dear <*> iar <*> dear <*> iar <*> dear <*> iar <*> dear <*> iar <*> dear <*> iar <*> dear <*>
63,Node card status: ALERT <*> ALERT <*> ALERT <*> ALERT <*> is (are) active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is not asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD is asserted. PGOOD error latch is clear. MPGOOD is OK. MPGOOD error latch is clear. The <*> volt rail is OK. The <*> volt rail is OK.
64,PrepareForService shutting down Node <*> mType(4)) as part of Service Action <*>
65,<*> torus sender z- retransmission error(s) (dcr <*> detected and corrected over <*> seconds
66,Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The <*> volt rail is OK. The <*> volt rail is OK.
67,Ido chip status changed: <*> status=M Thu Aug <*> PDT <*>
68,suppressing further interrupts of same type
69,critical input interrupt <*>
70,Can not get assembly information for node card
71,ciod: generated <*> core files for program <*>
72,shutdown complete
73,ciod: Error creating node map from file <*> No child processes
74,NodeCard is not fully functional
75,"idoproxydb hit ASSERT condition: ASSERT <*> Source file=idotransportmgr.cpp Source <*> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)"
76,ciod: Error reading message prefix on CioStream socket to <*> Connection timed out
77,floating point instr. <*>
78,size of scratchpad portion of <*>
79,Lustre mount FAILED : <*> : point <*>
80,disable store <*>
81,ciod: LOGIN <*> failed: No such file or directory
82,debug interrupt <*>
83,"ciod: Error loading <*> invalid or missing program image, No such file or directory"
84,ciod: In packet from node <*> message code <*> is not <*> or <*>
85,rts panic! - stopping execution
86,total of <*> ddr error(s) detected and corrected
