Content,EventId,EventTemplate
Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),40,Component State Change: Component <*> is in the unavailable state <*>
clusterAddMember  (command 1902),6,clusterAddMember  (command <*>
risBoot  (command 1903),21,risBoot  (command <*>
bootGenvmunix  (command 1903),3,bootGenvmunix  (command <*>
boot  (command 1911),29,boot  (command <*>
wait  (command 1975),0,wait  (command <*>
halt  (command 1982),1,halt  (command <*>
Command has completed successfully,23,Command has completed successfully
Targeting domains:node-D3 and nodes:node-[104-127] child of command 1963,30,Targeting <*> and <*> child of command <*>
Targeting domains:node-D7 and nodes:node-[224\ 228\ 232],4,Targeting <*> and <*>
Targeting domains:node-D0 and nodes:node-0,4,Targeting <*> and <*>
Targeting domains:node-D[0\ 5] and nodes:node-[27\ 191],4,Targeting <*> and <*>
psu failure\ ambient=28,10,psu failure\ <*>
Temperature (41C) exceeds warning threshold,38,Temperature <*> exceeds warning threshold
ClusterFileSystem: There is no server for ServerFileSystem domain storage234,39,ClusterFileSystem: There is no server for ServerFileSystem domain <*>
NIFF: node node-69 detected a failed network connection on network 5.5.224.0 via interface alt0,19,NIFF: node <*> detected a failed network connection on network <*> via interface alt0
ServerFileSystem: An ServerFileSystem domain panic has occurred on storage442,35,ServerFileSystem: An ServerFileSystem domain panic has occurred on <*>
Fan speeds ( 3552 3534 3375 **** 3515 3479 ),7,Fan speeds ( <*> **** <*> )
Fan speeds ( 3534 3534 3375 **** 3497 3479 ),7,Fan speeds ( <*> **** <*> )
power/control problem,18,power/control problem
Link error,42,Link error
Link in reset,11,Link in reset
Link error on broadcast tree Interconnect-0T00:00:2:1,33,Link error on broadcast tree <*>
ServerFileSystem: ServerFileSystem domain root14_local is full,17,ServerFileSystem: ServerFileSystem domain <*> is full
ClusterFileSystem: ServerFileSystem domain cluster_root_backup is no longer served by node node-96,8,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node <*>
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
blocked,36,blocked
blocked,36,blocked
running,14,running
running,14,running
not responding,31,not responding
configured out,16,configured out
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
inconsistent nodesets node-160 0x0001edfe <ok> node-161 0x1001fdfe <ok> node-162 0x1001fdfe <ok> node-163 0x1001fdfe <ok>,27,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok>
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
active,32,active
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
inconsistent nodesets node-32 0x00000002 <ok> node-34 0x000001fe <ok> node-33 0x000001fe <ok> node-35 0x000001fe <ok>,27,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok>
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
active,32,active
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
blocked,36,blocked
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
blocked,36,blocked
blocked,36,blocked
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
not-responding,34,not-responding
running,14,running
running,14,running
active,32,active
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
inconsistent nodesets node-1 0x000001fc <ok> node-2 0x000001fc <ok> node-7 0x000001fc <ok> node-4 0x000001fc <ok> node-6 0x000001fc <ok> node-5 0x000001fc <ok> node-3 0x000001fc <ok> node-14 0x0003fdfc <ok> node-13 0x0003fdfc <ok> node-12 0x0003fdfc <ok> node-10 0x0003fdfc <ok> node-16 0x0003fdfc <ok> node-15 0x0003fdfc <ok>,15,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>
blocked,36,blocked
running,14,running
running,14,running
running,14,running
running,14,running
active,32,active
running,14,running
running,14,running
running,14,running
blocked,36,blocked
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
running,14,running
blocked,36,blocked
running,14,running
running,14,running
running,14,running
running,14,running
