EventId,EventTemplate
0,ERROR IN CONTACTING RM.
1,<*> TaskAttempt Transitioned from UNASSIGNED to ASSIGNED
2,blacklistDisablePercent is <*>
3,maxTaskFailuresPerNode is <*>
4,All maps assigned. Ramping up all remaining <*>
5,<*> : <*>
6,Failed to renew lease for <*> for <*> seconds.  Will retry shortly ...
7,Using callQueue class java.util.concurrent.LinkedBlockingQueue
8,Started <*>
9,Diagnostics report from <*> Error: java.net.NoRouteToHostException: No Route to Host from  <*> to <*> failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see:  http://wiki.apache.org/hadoop/NoRouteToHost
10,MRAppMaster metrics system started
11,Scheduling a redundant attempt for task <*>
12,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: <*>"
13,"Thread Thread[eventHandlingThread,5,main] threw an Exception."
14,Processing the event EventType: CONTAINER_REMOTE_LAUNCH for container <*> taskAttempt <*>
15,Extract <*> to <*>
16,Auth successful for <*> (auth:SIMPLE)
17,Event Writer setup for JobId: <*> File: <*>
18,Opening proxy : <*>
19,After Scheduling: <*>
20,Error writing History Event: <*>
21,Shuffle port returned by ContainerManager for <*> : <*>
22,DataStreamer Exception
23,Address change detected. Old: <*> New: <*>
24,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter
25,Received completed container <*>
26,DFSOutputStream ResponseProcessor exception  for block <*>
27,Done acknowledgement from <*>
28,Added global filter 'safety' <*>
29,"Cannot assign container Container: [ContainerId: <*> NodeId: <*> NodeHttpAddress: <*> Resource: <*> Priority: <*> Token: Token { kind: ContainerToken, service: <*> }, ] for a map as either  container memory less than required <*> or no pending map tasks <*>"
30,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
31,Using mapred newApiCommitter.
32,Task: <*> exited : java.net.NoRouteToHostException: No Route to Host from  <*> to <*> failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see:  http://wiki.apache.org/hadoop/NoRouteToHost
33,After Scheduling: <*> ScheduledMaps:9 <*>
34,Instantiated MRClientService at <*>
35,adding path spec: /mapreduce/*
36,<*>
37,OutputCommitter set in config null
38,<*> Task Transitioned from SCHEDULED to RUNNING
39,Connecting to ResourceManager at <*>
40,Retrying connect to server: <*> Already tried <*> time(s); retry policy is <*> MILLISECONDS)
41,Before Scheduling: <*>
42,loaded properties from <*>
43,DefaultSpeculator.addSpeculativeAttempt <*> we are speculating <*>
44,Diagnostics report from <*> Container killed by the ApplicationMaster.
45,Error Recovery for block <*> in pipeline <*> bad datanode <*>
46,Created MRAppMaster for application <*>
47,Adding <*> tokens and <*> secret keys for NM use for launching container
48,"Recalculating schedule, <*>"
49,Assigned container <*> to <*>
50,JOB_CREATE <*>
51,TaskAttempt: <*> using containerId: <*> on NM: <*>
52,Executing with tokens:
53,JVM with ID : <*> asked for a task
54,Resolved <*> to <*>
55,<*> Task Transitioned from NEW to SCHEDULED
56,getResources() for <*> release= <*>
57,Putting shuffle token in serviceData
58,Emitting job history data to the timeline server is not enabled
59,Not uberizing <*> because: not enabled; too many maps; too much input;
60,Launching <*>
61,Http request log for http.requests.mapreduce is not defined
62,Web app /mapreduce started at <*>
63,Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler
64,IPC Server listener on <*> starting
65,Adding protocol <*> to the server
66,Number of reduces for job <*> = <*>
67,Slow ReadProcessor read fields took <*> ack: seqno: <*> status: SUCCESS status: ERROR downstreamAckTimeNanos: <*> targets: <*>
68,We launched <*> speculations.  Sleeping <*> milliseconds.
69,maxContainerCapability: <*>
70,Task succeeded with attempt <*>
71,Task cleanup failed for attempt <*>
72,Adding job token for <*> to jobTokenSecretManager
73,<*> failures on node <*>
74,JVM with ID: <*> given task: <*>
75,Progress of TaskAttempt <*> is : <*>
76,Starting Socket Reader <*> for port <*>
77,Reduce slow start threshold reached. Scheduling reduces.
78,The <*> file on the remote FS is <*>
79,Added <*> to list of failed maps
80,Added filter AM_PROXY_FILTER <*> to context mapreduce
81,Jetty bound to port <*>
82,Num completed Tasks: <*>
83,IPC Server Responder: starting
84,ATTEMPT_START <*>
85,Size of containertokens_dob is <*>
86,Got allocated containers <*>
87,KILLING <*>
88,Default file system <*>
89,Registered webapp guice modules
90,Processing the event EventType: JOB_SETUP
91,"MRAppMaster launching normal, <*> job <*>"
92,Logging to <*> via <*>
93,Container complete event for unknown container id <*>
94,<*> Transitioned from NEW to INITED
95,Input size for job <*> = <*> Number of splits = <*>
96,nodeBlacklistingEnabled:true
97,queue: default
98,Scheduled snapshot period at <*> second(s).
99,Upper limit on the thread pool size is <*>
