Content,EventId,EventTemplate
onStandStepChanged 3579,37,onStandStepChanged <*>
onExtend:1514038530000 14 0 4,20,<*>
onReceive action: android.intent.action.SCREEN_ON,42,onReceive action: android.intent.action.SCREEN_ON
processHandleBroadcastAction action:android.intent.action.SCREEN_ON,7,processHandleBroadcastAction action:android.intent.action.SCREEN_ON
flush sensor data,13,flush sensor data
 getTodayTotalDetailSteps = 1514038440000##6993##548365##8661##12266##27164404,28, getTodayTotalDetailSteps = <*>
setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,20,<*>
calculateCaloriesWithCache totalCalories=126775,31,calculateCaloriesWithCache <*>
calculateAltitudeWithCache totalAltitude=240,40,calculateAltitudeWithCache <*>
REPORT : 7007 5002 150089 240,44,REPORT : <*>
setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269,20,<*>
setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951,20,<*>
setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461,20,<*>
setTodayTotalDetailSteps=1514038440000##7012##548365##8661##12741##27176464,20,<*>
setTodayTotalDetailSteps=1514038440000##7013##548365##8661##12836##27176966,20,<*>
setTodayTotalDetailSteps=1514038440000##7014##548365##8661##12931##27177463,20,<*>
setTodayTotalDetailSteps=1514038440000##7015##548365##8661##13026##27177962,20,<*>
setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13121##27179330,20,<*>
isScreenOn true,50,isScreenOn true
"screen status unknown,think screen on",10,"screen status unknown,think screen on"
setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13216##27179417,20,<*>
setTodayTotalDetailSteps=1514038440000##7018##548365##8661##13311##27179732,20,<*>
setTodayTotalDetailSteps=1514038440000##7019##548365##8661##13406##27180468,20,<*>
setTodayTotalDetailSteps=1514038440000##7020##548365##8661##13501##27180976,20,<*>
setTodayTotalDetailSteps=1514038440000##7021##548365##8661##13596##27181971,20,<*>
setTodayTotalDetailSteps=1514038440000##7022##548365##8661##13691##27182468,20,<*>
setTodayTotalDetailSteps=1514038440000##7023##548365##8661##13786##27182973,20,<*>
