Content,EventId,EventTemplate
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,12,authentication failure; logname= <*> tty=NODEVssh ruser= <*>
check pass; user unknown,35,check pass; user unknown
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,36,authentication failure; logname= <*> tty=NODEVssh ruser= <*>  user=root
session opened for user cyrus by (uid=0),69,session opened for user <*> by <*>
session closed for user cyrus,8,session closed for user <*>
ALERT exited abnormally with [1],104,ALERT exited abnormally with <*>
connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,93,connection from <*> (24-54-76-216.bflony.adelphia.net) at Fri Jun <*>
User unknown timed out after 900 seconds at Sat Jun 18 02:23:10 2005,72,User unknown timed out after <*> seconds at Sat Jun <*>
cupsd shutdown succeeded,27,cupsd shutdown succeeded
cupsd startup succeeded,134,cupsd startup succeeded
restart.,82,restart.
Received SNMP packet(s) from 67.170.148.126,30,Received SNMP packet(s) from <*>
cupsd shutdown succeeded,27,cupsd shutdown succeeded
cupsd startup succeeded,134,cupsd startup succeeded
restart.,82,restart.
Authentication failed from 163.27.187.39 (163.27.187.39): Permission denied in replay cache code,74,Authentication failed from <*> Permission denied in replay cache code
Kerberos authentication failed,99,Kerberos authentication failed
Kerberos authentication failed,99,Kerberos authentication failed
Kerberos authentication failed,99,Kerberos authentication failed
Kerberos authentication failed,99,Kerberos authentication failed
Kerberos authentication failed,99,Kerberos authentication failed
Kerberos authentication failed,99,Kerberos authentication failed
Authentication failed from 163.27.187.39 (163.27.187.39): Software caused connection abort,115,Authentication failed from <*> Software caused connection abort
Kerberos authentication failed,99,Kerberos authentication failed
Kerberos authentication failed,99,Kerberos authentication failed
Kerberos authentication failed,99,Kerberos authentication failed
Kerberos authentication failed,99,Kerberos authentication failed
Kerberos authentication failed,99,Kerberos authentication failed
Kerberos authentication failed,99,Kerberos authentication failed
Kerberos authentication failed,99,Kerberos authentication failed
Kerberos authentication failed,99,Kerberos authentication failed
Kerberos authentication failed,99,Kerberos authentication failed
Kerberos authentication failed,99,Kerberos authentication failed
Kerberos authentication failed,99,Kerberos authentication failed
Kerberos authentication failed,99,Kerberos authentication failed
Kerberos authentication failed,99,Kerberos authentication failed
Kerberos authentication failed,99,Kerberos authentication failed
Kerberos authentication failed,99,Kerberos authentication failed
Kerberos authentication failed,99,Kerberos authentication failed
Kerberos authentication failed,99,Kerberos authentication failed
connection from 202.82.200.188 () at Fri Jul  1 07:57:30 2005,97,connection from <*> at Fri Jul  <*>
connection from 202.82.200.188 () at Fri Jul  1 07:57:30 2005,97,connection from <*> at Fri Jul  <*>
connection from 202.82.200.188 () at Fri Jul  1 07:57:30 2005,97,connection from <*> at Fri Jul  <*>
connection from 202.82.200.188 () at Fri Jul  1 07:57:30 2005,97,connection from <*> at Fri Jul  <*>
connection from 202.82.200.188 () at Fri Jul  1 07:57:30 2005,97,connection from <*> at Fri Jul  <*>
connection from 202.82.200.188 () at Fri Jul  1 07:57:30 2005,97,connection from <*> at Fri Jul  <*>
connection from 202.82.200.188 () at Fri Jul  1 07:57:30 2005,97,connection from <*> at Fri Jul  <*>
