EventId,EventTemplate
0,connection from <*> at Sun Jul <*>
1,connection from <*> (82-68-222-195.dsl.in-addr.zen.co.uk) at Sun Jul <*>
2,Setting network parameters:  succeeded
3,hcid startup succeeded
4,mapped 4G/4G trampoline to <*>
5,Enabling unmasked SIMD FPU exception support... done.
6,connection from <*> (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul  <*>
7,BIOS-e820: <*> - 0000000007eae000 (usable)
8,session closed for user <*>
9,ACPI: ACPI tables contain no PCI IRQ routing entries
10,Mount-cache hash table entries: <*> (order: <*> bytes)
11,zapping low mappings.
12,authentication failure; logname= <*> tty=NODEVssh ruser= <*>
13,isapnp: Scanning for PnP cards...
14,PCI: Using configuration type <*>
15,audit: initializing netlink socket (disabled)
16,PCI: Using IRQ router PIIX/ICH <*> at <*>
17,Dentry cache hash table entries: <*> (order: <*> bytes)
18,connection from <*> () at Tue Jul  5 <*>
19,SELinux:  Registering netfilter hooks
20,Real Time Clock Driver <*>
21,BIOS-provided physical RAM map:
22,"DMA zone: <*> pages, LIFO <*>"
23,"Normal zone: <*> pages, LIFO <*>"
24,Intel machine check reporting enabled on <*>
25,PCI: Invalid ACPI-PCI IRQ routing table
26,PCI: Probing PCI hardware <*>
27,cupsd shutdown succeeded
28,Couldn't authenticate user
29,PCI: Probing PCI hardware
30,Received SNMP packet(s) from <*>
31,isapnp: No Plug & Play device found
32,connection from <*> (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 <*>
33,Capability LSM initialized
34,CPU: <*> I cache: <*> D cache: <*>
35,check pass; user unknown
36,authentication failure; logname= <*> tty=NODEVssh ruser= <*>  user=root
37,Initializing <*>
38,DMI <*> present.
39,removing device node '/udev/vcsa2'
40,audit(1122475266.4294965305:0): initialized
41,"There is already a security framework initialized, register_security failed."
42,HCI daemon ver <*> started
43,connection from <*> at <*> Jul  <*>
44,connection from <*> (82-68-222-194.dsl.in-addr.zen.co.uk) at Sun Jul <*>
45,Failure registering capabilities with the kernel
46,BIOS-e820: 0000000007eae000 - <*> (reserved)
47,connection from <*> at Mon Jul <*>
48,NET: Registered protocol family <*>
49,VFS: Disk quotas <*>
50,klogd <*> log source = /proc/kmsg started.
51,"Total HugeTLB memory allocated, <*>"
52,connection from <*> at <*> Jul <*>
53,Enabling fast FPU save and restore... done.
54,creating device node '/udev/vcs2'
55,connection from <*> () at Thu Jul  7 <*>
56,Version <*> Starting
57,Inode-cache hash table entries: <*> (order: <*> bytes)
58,notify question section contains no SOA
59,<*> LOWMEM available.
60,apm: BIOS version <*> Flags <*> (Driver version <*>
61,mtrr: <*>
62,SELinux:  Initializing.
63,BIOS-e820: <*> - <*> (reserved)
64,PID hash table entries: <*> (order <*> bytes)
65,connection from <*> at Tue Jul <*>
66,Linux agpgart interface <*> (c) Dave Jones
67,POSIX conformance testing by UNIFIX
68,<*> HIGHMEM available.
69,session opened for user <*> by <*>
70,sdpd <*> started
71,Calibrating delay loop... <*> BogoMIPS
72,User unknown timed out after <*> seconds at Sat Jun <*>
73,sdpd startup succeeded
74,Authentication failed from <*> Permission denied in replay cache code
75,On node <*> totalpages: <*>
76,Security Scaffold <*> initialized
77,"HighMem zone: <*> pages, LIFO <*>"
78,Transparent bridge - <*>
79,Detected <*> processor.
80,usbcore: registered <*> driver usbfs
81,connection from <*> (dsl-082-083-227-067.arcor-ip.net) at Sun Jul <*>
82,restart.
83,Bringing up loopback interface:  succeeded
84,connection from <*> at Sat Jul  <*>
85,connection from <*> (host8.topspot.net) at Sun Jul <*>
86,ANONYMOUS FTP LOGIN FROM <*>  (anonymous)
87,imps2: Auto-detected intellimouse <*>
88,connection from <*> (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul <*>
89,Using tsc for high-res timesource
90,"Memory: 125312k/129720k available <*> kernel code, <*> reserved, 599k data, 144k init, <*> highmem)"
91,selinux_register_security:  Registering secondary module capability
92,You can enable it with acpi=force
93,connection from <*> (24-54-76-216.bflony.adelphia.net) at Fri Jun <*>
94,rpc.statd startup succeeded
95,portmap startup succeeded
96,connection from <*> (62.99.164.82.sh.interxion.inode.at) at Sun Jul  3 <*>
97,connection from <*> at Fri Jul  <*>
98,CPU: L2 cache: <*>
99,Kerberos authentication failed
100,CPU: Intel Pentium III (Coppermine) stepping <*>
101,Console: colour VGA+ <*>
102,irqbalance startup succeeded
103,connection from <*> (aml-sfh-3310b.adsl.wanadoo.nl) at Sun Jul <*>
104,ALERT exited abnormally with <*>
105,klogd startup succeeded
106,ACPI: Interpreter disabled.
107,"CPU <*> irqstacks, <*>"
108,SELinux:  Starting in permissive mode
109,rpc.idmapd startup succeeded
110,ROOT LOGIN ON <*>
111,getpeername (ftpd): Transport endpoint is not connected
112,connection from <*> at Sat Jul <*>
113,*** info [mice.c(1766)]:
114,BIOS-e820: <*> - <*> (usable)
115,Authentication failed from <*> Software caused connection abort
116,pci_hotplug: PCI Hot Plug PCI Core version: <*>
117,Linux Plug and Play Support <*> (c) Adam Belay
118,syslogd startup succeeded
119,Initializing Cryptographic API
120,Linux version <*> (bhcompile@bugs.build.redhat.com) (gcc version <*> (Red Hat Linux 3.3.3-7)) <*> Sat May 8 <*> EDT <*>
121,"PCI: PCI BIOS revision <*> entry at 0xfc0ce, last <*>"
122,Initializing random number generator:  succeeded
123,ACPI: Subsystem revision <*>
124,Dquot-cache hash table entries: <*> (order <*> bytes)
125,Intel machine check architecture supported.
126,connection from <*> at Fri Jul <*>
127,kernel.core_uses_pid = <*>
128,Checking 'hlt' instruction... OK.
129,Starting pcmcia:  succeeded
130,warning: can't <*> client address: Connection reset by peer
131,Built <*> zonelists
132,ACPI disabled because your bios is from <*> and too <*>
133,Kernel command line: ro root=LABEL=/ rhgb quiet
134,cupsd startup succeeded
