Content,EventId,EventTemplate
IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,24,<*> - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>
Thermal pressure state: 1 Memory pressure state: 0,11,Thermal pressure state: <*> Memory pressure state: <*>
FA||Url||taskID[2019352994] dealloc,64,<*> dealloc
ARPT: 620701.011328: AirPort_Brcm43xx::syncPowerState: WWEN[enabled],232,ARPT: <*> WWEN[enabled]
ARPT: 620702.879952: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],216,ARPT: <*> WWEN[disable]
mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF),233,mDNS_DeregisterInterface: Frequent transitions for interface awdl0 <*>
"ARPT: 620749.901374: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': 0,",251,"ARPT: <*> IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': <*>"
"ARPT: 620750.434035: wl0: wl_update_tcpkeep_seq: Original Seq: 3226706533, Ack: 3871687177, Win size: 4096",163,ARPT: <*> wl0: wl_update_tcpkeep_seq: Original Seq: <*> Ack: <*> Win size: <*>
ARPT: 620752.337198: ARPT: Wake Reason: Wake on Scan offload,84,ARPT: <*> ARPT: Wake Reason: Wake on Scan offload
__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,45,<*> observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>
IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,55,<*> Resuming AWDL
"ARPT: 620896.311264: wl0: MDNS: 0 SRV Recs, 0 TXT Recs",97,"ARPT: <*> wl0: MDNS: <*> SRV Recs, <*> TXT Recs"
AppleCamIn::systemWakeCall - messageType = 0xE0000340,56,AppleCamIn::systemWakeCall - messageType = <*>
"setting hostname to ""authorMacBook-Pro.local""",288,"setting hostname to ""authorMacBook-Pro.local"""
"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 439034 seconds.  Ignoring.",225,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring."
CCIOReporterFormatter::addRegistryChildToChannelDictionary streams 7,327,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams <*>
[09:21:58.929] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,278,<*> <<<< CRABS >>>> crabsFlumeHostAvailable: <*> Byte flume reports host available again.
IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,55,<*> Resuming AWDL
