EventId,EventTemplate
0,"arp_client_transmit(en0) failed, Network is down <*>"
1,CCFile::captureLog Received Capture notice id: <*> reason = <*>
2,host connection <NSXPCConnection: <*> connection from pid <*> invalidated
3,<*> Failed to read DnsConfig.
4,<*> | I | VoipWrapper  | <*>             | close video chat. llFriendUIN = <*>
5,Unrecognized attribute value: t:AbchPersonItemType
6,ARPT: <*> AQM agg results <*> len hi/lo: <*>
7,<*> main() Fetcher received a request: <NSMutableURLRequest: <*> { URL: <*> }
8,"SecOSStatusWith <*> Error Domain=NSOSStatusErrorDomain <*> ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}"
9,Wake reason: ?
10,"booter start at <*> ms smc <*> ms, <*> total <*> ms, dsply <*> ms, tramp <*> ms"
11,-deviceDeltaY is deprecated for NSScrollWheel. Please use -scrollingDeltaY.
12,"[CardDAVPlugin-ERROR] -getPrincipalInfo:[_controller <*> Error Domain=NSURLErrorDomain <*> ""The request timed out."" <*> {Error Domain=kCFErrorDomainCFNetwork <*> ""The request timed out."" <*> _kCFStreamErrorDomainKey=4, NSLocalizedDescription=The request timed out.}}, <*> _kCFStreamErrorDomainKey=4, <*> NSLocalizedDescription=The request timed out.}"
13,sigio_handler: sigio_handler_active != <*>
14,Daemon connection invalidated!
15,CCXPCService::setStreamEventHandler Registered for notification callback.
16,enabling <*> for plug-in <*> /System/Library/CoreServices/Weather.app/Contents/PlugIns/com.apple.ncplugin.weather.appex
17,**** [IOBluetoothHostControllerUSBTransport][start] -- completed -- result = TRUE -- <*> ****
18,no sleep images for WillPowerOffWithImages
19,mDNS_RegisterInterface: Frequent transitions for interface en0 <*>
20,hibernate_rebuild started
21,hibernate image path: /var/vm/sleepimage
22,<IMMacNotificationCenterManager: <*> notification observer: com.apple.FaceTime   notification: __CFNotification <*> {name = _NSDoNotDisturbEnabledNotification}
23,**** [IOBluetoothFamily][ProcessBluetoothTransportShowsUpActionWL] -- Connected to the transport successfully -- <*> -- <*> -- <*> ****
24,<*> - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>
