EventId,EventTemplate
0,Registered BlockManager
1,File Output Committer Algorithm version is <*>
2,Got assigned task <*>
3,Started reading broadcast variable <*>
4,Input split: <*>
5,Finished task <*> in stage <*> (TID <*> bytes result sent to driver
6,Slf4jLogger started
7,"mapred.job.id is deprecated. Instead, use mapreduce.job.id"
8,"Changing view acls to: yarn,curi"
9,Starting remoting
10,Starting executor ID <*> on host <*>
11,Trying to register BlockManager
12,Remoting started; listening on addresses <*>
13,"mapred.tip.id is deprecated. Instead, use mapreduce.task.id"
14,Created local directory at <*>
15,Reading broadcast variable <*> took <*> ms
16,Found block <*> locally
17,Registered signal handlers for <*> INT]
18,Block <*> stored as bytes in memory (estimated size <*> free <*> KB)
19,Connecting to driver: <*>
20,Server created on <*>
21,MemoryStore started with capacity <*> GB
22,Running task <*> in stage <*> (TID <*>
23,"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap"
24,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition"
25,<*> Committed
26,Successfully registered with driver
27,Times: total = <*> boot = <*> init = <*> finish = <*>
28,Successfully started service 'sparkExecutorActorSystem' on port <*>
29,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)"
30,"mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id"
31,"Partition <*> not found, computing it"
32,Saved output of task <*> to <*>
