EventId,EventTemplate
0,<*> Connection refused by <*>
1,DHCPREQUEST for <*> from <*> via eth1
2,Starting in permissive mode
3,"PCI interrupt <*> -> GSI <*> (level, low) -> IRQ <*>"
4,gmetad startup succeeded
5,Physical Processor ID: <*>
6,Transparent bridge - <*>
7,session closed for user root
8,Direct-Access ANSI SCSI revision: <*>
9,removing chargen
10,(root) CMD (run-parts <*>
11,Processor ANSI SCSI revision: <*>
12,initializing netlink socket (disabled)
13,DHCPREQUEST for <*> from <*> via eth1: unknown lease <*>
14,succeeded
15,Cannot open file <*> for writing (No such file or directory)
16,Hash tables configured (established <*> bind <*>
17,LAPIC <*> enabled)
18,Warning: we failed to resolve data source name <*> an788 <*> an818 <*> an878 <*> an881 <*> an887 an888 <*>
19,Using MMCONFIG at <*>
20,Unknown cmd <*> on <*>
21,<*> id: <*> base: <*>
22,IOAPIC <*>
23,mounted filesystem with ordered data <*>
24,DHCPDISCOVER from <*> via eth1
25,xinetd Version <*> started with libwrap loadavg options compiled <*>
26,Using IOAPIC for interrupt routing
27,Warning: we failed to resolve data source name <*> an188 <*>
28,Unregistering netfilter hooks
29,asking for cache data failed
30,<*> (Release Date: Mon Sep <*>
31,md driver <*>
32,connection lost: 'Connection closed.'
33,DHCPDISCOVER from <*> via eth1: network A_net: no free leases
34,Registering secondary module capability
35,<*> cache: <*>
36,probe of <*> failed with error <*>
37,<*> NIC Link is Up <*> Mbps Full Duplex
38,Warning: we failed to resolve data source name <*>
39,<*> ak Exp $
40,Disk quotas <*>
41,Intel(R) <*> CPU <*> stepping <*>
42,SPCR <*> DELL PE BKC <*> MSFT <*> @ <*>
43,session opened for user root by <*>
44,rpc.statd startup succeeded
45,"routing cache hash table of <*> buckets, <*>"
46,error: Bind to port <*> on <*> failed: Address already in <*>
47,Registering netfilter hooks
48,colour VGA+ <*>
49,MCFG <*> DELL PE BKC <*> MSFT <*> @ <*>
50,<*> AUX port at <*> irq <*>
51,kernel time sync disabled <*>
52,LSI Logic MegaRAID driver
53,<*> ********************** NEW SWEEP ********************
54,Warning: we failed to resolve data source name <*> bn818 <*> bn888 <*>
55,<*> No configuration change required
56,Warning: we failed to resolve data source name <*> cn18 <*> cn78 <*> cn81 <*> cn88 <*>
57,Probing PCI hardware (bus <*>
58,<*> Intel(R) <*> Network Connection
59,<*>
60,(supports <*>
61,data_thread() got not answer from any <*> datasource
62,User <*> coming from <*> authenticated.
63,Device: <*> Temperature changed <*> Celsius to <*> Celsius since last report
64,PCI Interrupt Link <*> (IRQs <*> disabled.
65,Interpreter enabled
66,RSDP <*> DELL ) @ <*>
67,fw <*> bios <*>
68,<*> DELL PE BKC <*> MSFT <*> @ <*>
69,<*> Model: <*> SCSI BP Rev: <*>
70,Local APIC address <*>
71,Using <*> based timekeeping.
72,Warning: we failed to resolve trusted host name <*>
73,<*> HID core driver
74,Assuming <*> system bus speed for PIO modes; override with <*>
